time,open,high,low,close,volume
2022-01-04 07:00:00,15.2,15.36,14.96,15.18,333300
2022-01-05 07:00:00,15.2,16.16,14.98,15.96,936900
2022-01-06 07:00:00,16.03,16.16,15.67,15.76,625300
2022-01-07 07:00:00,15.8,15.94,15.58,15.71,338400
2022-01-10 07:00:00,15.71,15.74,14.82,14.89,594800
2022-01-11 07:00:00,14.89,14.89,14.24,14.24,786200
2022-01-12 07:00:00,13.93,14.33,13.35,13.87,546400
2022-01-13 07:00:00,14.02,14.02,13.35,13.53,500400
2022-01-14 07:00:00,12.95,13.49,12.93,13.49,255800
2022-01-17 07:00:00,13.51,13.71,12.55,12.64,375500
2022-01-18 07:00:00,12.58,12.91,12.42,12.51,235400
2022-01-19 07:00:00,12.51,13.0,12.51,12.91,252100
2022-01-20 07:00:00,12.91,13.53,12.91,13.31,148200
2022-01-21 07:00:00,13.35,13.44,12.91,13.29,166500
2022-01-24 07:00:00,13.27,13.27,12.37,12.37,301400
2022-01-25 07:00:00,12.15,12.69,12.11,12.64,104600
2022-01-26 07:00:00,12.64,12.86,12.15,12.24,157300
2022-01-27 07:00:00,12.06,12.37,12.02,12.33,81900
2022-01-28 07:00:00,12.42,12.42,12.02,12.11,120300
2022-02-07 07:00:00,12.29,12.71,12.29,12.69,123800
2022-02-08 07:00:00,12.69,13.55,12.69,13.55,587400
2022-02-09 07:00:00,13.62,13.75,13.44,13.62,216700
2022-02-10 07:00:00,13.62,13.67,13.33,13.55,160000
2022-02-11 07:00:00,13.44,13.75,13.33,13.62,269400
2022-02-14 07:00:00,13.62,14.56,13.35,14.56,1093900
2022-02-15 07:00:00,14.87,15.22,14.65,14.69,778000
2022-02-16 07:00:00,14.73,15.27,14.73,15.09,545100
2022-02-17 07:00:00,15.09,15.49,14.87,15.27,607200
2022-02-18 07:00:00,15.27,15.62,15.05,15.45,491400
2022-02-21 07:00:00,15.49,15.51,14.91,15.36,446400
2022-02-22 07:00:00,15.18,15.36,14.91,15.36,506700
2022-02-23 07:00:00,15.54,16.25,15.4,15.98,1038500
2022-02-24 07:00:00,15.96,16.0,15.36,15.58,773000
2022-02-25 07:00:00,15.8,15.8,15.13,15.69,340100
2022-02-28 07:00:00,15.71,16.34,15.34,16.2,724500
2022-03-01 07:00:00,16.45,16.72,16.45,16.65,1098600
2022-03-02 07:00:00,16.69,17.58,16.51,17.49,1355400
2022-03-03 07:00:00,17.45,18.03,17.41,17.49,1204000
2022-03-04 07:00:00,17.41,17.89,17.36,17.47,595900
2022-03-07 07:00:00,17.27,17.92,17.05,17.47,1141300
2022-03-08 07:00:00,17.36,17.36,16.76,16.76,1143900
2022-03-09 07:00:00,16.56,17.36,16.56,17.2,792100
2022-03-10 07:00:00,17.76,18.41,17.49,18.41,1365700
2022-03-11 07:00:00,18.5,19.68,18.45,18.47,2076700
2022-03-14 07:00:00,18.27,18.9,18.03,18.47,754400
2022-03-15 07:00:00,18.43,19.59,17.45,18.47,1243400
