time,open,high,low,close,volume
2022-01-04 07:00:00,40.84,40.84,39.05,39.18,51400
2022-01-05 07:00:00,39.84,39.84,39.05,39.11,216500
2022-01-06 07:00:00,39.11,39.11,38.58,38.85,76700
2022-01-07 07:00:00,39.05,39.05,38.71,38.78,61100
2022-01-10 07:00:00,39.64,39.64,38.38,38.65,68900
2022-01-11 07:00:00,38.32,38.58,38.32,38.38,23300
2022-01-12 07:00:00,38.38,38.85,38.25,38.51,16800
2022-01-13 07:00:00,39.05,39.78,38.51,39.25,58000
2022-01-14 07:00:00,38.3,39.52,38.3,39.11,7400
2022-01-17 07:00:00,39.65,39.65,36.47,37.89,41300
2022-01-18 07:00:00,37.96,38.64,37.82,37.82,72600
2022-01-19 07:00:00,37.82,38.64,37.82,38.64,22800
2022-01-20 07:00:00,38.77,39.45,38.7,39.45,22100
2022-01-21 07:00:00,39.52,39.52,38.64,39.04,58000
2022-01-24 07:00:00,39.04,39.31,38.64,38.84,21700
2022-01-25 07:00:00,38.3,39.04,38.3,38.7,76400
2022-01-26 07:00:00,38.64,40.06,38.64,39.99,278100
2022-01-27 07:00:00,40.19,40.67,40.19,40.4,203700
2022-01-28 07:00:00,40.47,41.82,40.47,41.69,300400
2022-02-07 07:00:00,42.09,42.43,41.69,42.3,260500
2022-02-08 07:00:00,42.16,42.16,40.6,40.67,195900
2022-02-09 07:00:00,40.33,42.02,40.33,41.08,61900
2022-02-10 07:00:00,41.35,41.35,40.74,41.01,44400
2022-02-11 07:00:00,41.01,41.14,40.67,40.67,63500
2022-02-14 07:00:00,40.33,40.67,39.86,39.86,105500
2022-02-15 07:00:00,39.45,39.99,39.45,39.92,56600
2022-02-16 07:00:00,39.92,40.67,39.65,39.99,62500
2022-02-17 07:00:00,40.06,40.67,40.06,40.19,44600
2022-02-18 07:00:00,40.53,41.69,40.19,41.69,171400
2022-02-21 07:00:00,41.69,43.11,41.69,42.91,247300
2022-02-22 07:00:00,43.04,43.72,42.7,43.52,294100
2022-02-23 07:00:00,43.92,44.46,43.31,44.4,313200
2022-02-24 07:00:00,44.4,44.4,43.24,43.45,161100
2022-02-25 07:00:00,43.24,44.53,43.24,43.58,105600
2022-02-28 07:00:00,43.92,43.92,43.31,43.45,130300
2022-03-01 07:00:00,44.06,44.06,42.63,42.91,150700
2022-03-02 07:00:00,42.91,42.91,40.67,41.21,257500
2022-03-03 07:00:00,41.35,42.16,41.01,42.16,103000
2022-03-04 07:00:00,42.7,42.91,42.02,42.36,120900
2022-03-07 07:00:00,42.02,42.3,41.08,41.14,133400
2022-03-08 07:00:00,41.01,41.21,40.53,40.53,98900
2022-03-09 07:00:00,40.53,41.89,39.31,41.69,134200
2022-03-10 07:00:00,41.69,41.69,41.14,41.35,50900
2022-03-11 07:00:00,40.33,41.28,40.33,40.53,65200
2022-03-14 07:00:00,40.53,40.87,39.99,39.99,79800
2022-03-15 07:00:00,39.58,40.67,39.58,40.67,40400
2022-03-16 07:00:00,40.74,41.35,40.33,40.53,120900
2022-03-17 07:00:00,40.67,40.67,39.99,40.6,33500
2022-03-18 07:00:00,41.01,41.01,40.13,40.13,32200
2022-03-21 07:00:00,39.99,40.53,39.99,40.06,49500
2022-03-22 07:00:00,40.33,40.6,40.06,40.06,44900
2022-03-23 07:00:00,40.06,40.53,40.06,40.4,33700
2022-03-24 07:00:00,40.33,41.69,40.33,41.35,168000
2022-03-25 07:00:00,41.41,42.09,41.41,41.89,97300
2022-03-28 07:00:00,41.96,41.96,40.94,41.01,64500
2022-03-29 07:00:00,41.89,41.89,40.67,41.14,64200
2022-03-30 07:00:00,40.74,41.35,40.4,41.01,80400
2022-03-31 07:00:00,40.74,42.02,40.67,41.62,65100
2022-04-01 07:00:00,41.55,44.19,41.35,44.19,253400
2022-04-04 07:00:00,44.19,44.19,43.38,43.79,97800
2022-04-05 07:00:00,43.38,43.79,42.84,43.04,43200
2022-04-06 07:00:00,42.7,43.72,42.36,42.91,69700
2022-04-07 07:00:00,43.65,43.65,43.04,43.11,85400
2022-04-08 07:00:00,43.18,43.58,41.69,41.82,81500
2022-04-12 07:00:00,41.82,42.63,41.14,41.55,57800
2022-04-13 07:00:00,41.69,42.16,41.35,41.89,61500
2022-04-14 07:00:00,41.89,42.84,41.82,42.84,104700
2022-04-15 07:00:00,43.11,43.99,42.7,43.24,68100
2022-04-18 07:00:00,43.72,43.72,42.5,42.84,101200
2022-04-19 07:00:00,42.84,43.24,42.09,42.97,105300
2022-04-20 07:00:00,42.7,42.91,39.99,42.57,84500
2022-04-21 07:00:00,39.99,42.63,39.99,42.57,107400
2022-04-22 07:00:00,42.43,42.57,39.99,42.3,105800
2022-04-25 07:00:00,41.48,41.55,39.38,39.92,115000
2022-04-26 07:00:00,40.33,40.8,37.96,40.67,35600
2022-04-27 07:00:00,40.67,40.74,40.13,40.74,14900
