time,open,high,low,close,volume
2022-01-04 07:00:00,13.19,13.76,13.13,13.7,15555915
2022-01-05 07:00:00,13.76,13.99,13.53,13.65,9969719
2022-01-06 07:00:00,13.65,13.93,13.42,13.76,12958863
2022-01-07 07:00:00,13.93,14.1,13.76,13.88,10553724
2022-01-10 07:00:00,13.93,13.93,13.13,13.25,14213978
2022-01-11 07:00:00,13.31,13.42,13.02,13.13,7801512
2022-01-12 07:00:00,13.25,13.88,13.19,13.59,11893696
2022-01-13 07:00:00,13.59,13.93,13.13,13.36,9549314
2022-01-14 07:00:00,13.36,13.48,13.08,13.25,6121286
2022-01-17 07:00:00,13.36,13.82,13.13,13.19,10908283
2022-01-18 07:00:00,13.42,13.65,13.08,13.42,9612727
2022-01-19 07:00:00,13.53,13.88,13.36,13.36,6714611
2022-01-20 07:00:00,13.53,13.59,13.25,13.59,5311338
2022-01-21 07:00:00,13.53,14.5,13.42,14.28,31997188
2022-01-24 07:00:00,13.99,14.45,13.88,14.05,11111253
2022-01-25 07:00:00,14.05,14.39,13.7,14.28,10520211
2022-01-26 07:00:00,14.28,14.73,14.28,14.5,11673463
2022-01-27 07:00:00,14.68,14.96,14.39,14.56,9223629
2022-01-28 07:00:00,14.56,14.79,13.76,13.99,19954490
2022-02-07 07:00:00,14.39,15.59,14.39,15.42,18637487
2022-02-08 07:00:00,15.42,15.48,15.08,15.13,8356156
2022-02-09 07:00:00,15.25,15.42,14.9,15.08,10015356
2022-02-10 07:00:00,15.13,15.65,15.02,15.59,14873272
2022-02-11 07:00:00,15.59,16.05,15.48,15.53,16051404
2022-02-14 07:00:00,15.7,16.16,15.65,15.7,16643209
2022-02-15 07:00:00,15.7,15.82,15.19,15.3,16439501
2022-02-16 07:00:00,15.13,15.19,14.73,15.08,19905304
2022-02-17 07:00:00,15.08,15.19,14.85,15.08,6490954
2022-02-18 07:00:00,15.08,15.13,14.79,15.08,7395764
2022-02-21 07:00:00,15.53,16.16,14.85,15.02,9780847
2022-02-22 07:00:00,15.25,15.42,15.08,15.3,12285818
2022-02-23 07:00:00,15.3,16.27,15.19,15.93,23699031
2022-02-24 07:00:00,15.93,16.79,15.65,16.27,24652888
2022-02-25 07:00:00,16.5,16.5,15.65,15.7,14183226
2022-02-28 07:00:00,15.87,16.16,15.7,15.99,13517462
2022-03-01 07:00:00,16.16,16.16,15.7,15.93,11802280
2022-03-02 07:00:00,16.16,16.79,16.16,16.33,14740807
2022-03-03 07:00:00,16.33,16.62,15.93,16.22,15277424
2022-03-04 07:00:00,16.1,16.27,15.82,15.87,10994091
2022-03-07 07:00:00,16.5,17.07,16.22,16.85,23418671
2022-03-08 07:00:00,16.85,16.85,16.1,16.22,13649299
2022-03-09 07:00:00,16.39,16.9,16.16,16.62,14684551
2022-03-10 07:00:00,16.56,16.56,15.19,16.27,14676011
2022-03-11 07:00:00,16.39,16.85,15.59,15.76,14702994
2022-03-14 07:00:00,15.76,15.87,14.68,14.73,23003507
2022-03-15 07:00:00,14.73,14.79,14.22,14.68,12126250
2022-03-16 07:00:00,14.62,14.79,14.45,14.79,5338174
2022-03-17 07:00:00,14.79,14.85,14.45,14.68,5255199
2022-03-18 07:00:00,14.73,15.19,14.68,15.08,7200257
2022-03-21 07:00:00,15.08,15.3,14.96,15.3,7017278
2022-03-22 07:00:00,15.3,15.65,15.3,15.42,6219098
2022-03-23 07:00:00,15.48,15.53,15.19,15.3,6804355
2022-03-24 07:00:00,15.42,15.65,15.36,15.42,4240449
2022-03-25 07:00:00,15.42,15.42,15.19,15.25,4411074
2022-03-28 07:00:00,15.25,15.42,15.08,15.42,7069187
2022-03-29 07:00:00,15.19,15.53,15.13,15.42,6306835
2022-03-30 07:00:00,15.36,15.48,15.02,15.19,7108343
2022-03-31 07:00:00,15.19,15.25,14.85,14.9,4698248
2022-04-01 07:00:00,14.9,15.02,14.62,14.85,5757805
2022-04-04 07:00:00,14.85,15.19,14.85,14.96,4510225
2022-04-05 07:00:00,15.08,15.48,15.08,15.3,7338788
2022-04-06 07:00:00,15.3,15.3,15.08,15.3,3565178
2022-04-07 07:00:00,15.3,15.59,15.02,15.42,8190025
2022-04-08 07:00:00,15.36,15.42,15.02,15.08,5900162
2022-04-12 07:00:00,15.08,15.19,14.28,14.39,7464474
2022-04-13 07:00:00,14.68,14.73,14.28,14.68,3972320
2022-04-14 07:00:00,14.79,14.9,14.56,14.73,2529434
2022-04-15 07:00:00,14.62,15.02,14.62,14.73,4614769
2022-04-18 07:00:00,14.73,14.96,14.39,14.45,5389592
2022-04-19 07:00:00,14.45,14.79,14.28,14.5,4969974
2022-04-20 07:00:00,14.56,14.56,13.08,13.36,11863335
2022-04-21 07:00:00,13.65,13.7,12.05,12.62,9745407
2022-04-22 07:00:00,12.79,13.25,11.88,12.73,8565246
2022-04-25 07:00:00,12.73,12.85,11.19,11.31,7869877
2022-04-26 07:00:00,11.93,12.85,10.74,12.16,9214279
2022-04-27 07:00:00,12.22,12.33,11.88,12.28,4181253
