time,open,high,low,close,volume
2022-01-04 07:00:00,37.2,38.44,37.08,38.44,15488000
2022-01-05 07:00:00,40.3,41.07,39.91,41.07,10243800
2022-01-06 07:00:00,41.85,43.94,40.69,42.0,14234200
2022-01-07 07:00:00,41.62,44.87,41.07,44.87,10439800
2022-01-10 07:00:00,43.79,47.74,41.77,41.77,17062300
2022-01-11 07:00:00,42.62,44.64,41.31,43.86,16317400
2022-01-12 07:00:00,40.84,40.84,40.84,40.84,977500
2022-01-13 07:00:00,38.01,38.01,38.01,38.01,268900
2022-01-14 07:00:00,35.38,35.38,35.38,35.38,601900
2022-01-17 07:00:00,32.94,32.94,32.94,32.94,1274800
2022-01-18 07:00:00,30.65,30.65,30.65,30.65,77700
2022-01-19 07:00:00,28.52,28.52,28.52,28.52,124100
2022-01-20 07:00:00,26.54,30.15,26.54,26.54,39729000
2022-01-21 07:00:00,27.9,28.36,27.2,28.36,8134500
2022-01-24 07:00:00,29.06,29.06,26.39,26.39,8466800
2022-01-25 07:00:00,24.57,25.57,24.57,24.57,18365400
2022-01-26 07:00:00,25.26,25.42,22.86,22.86,15912100
2022-01-27 07:00:00,21.27,22.09,21.27,21.27,10495500
2022-01-28 07:00:00,20.89,22.32,19.88,21.7,12220000
2022-02-07 07:00:00,22.01,23.21,21.74,22.71,7338500
2022-02-08 07:00:00,22.47,22.47,21.12,21.12,11735500
2022-02-09 07:00:00,19.65,21.89,19.65,21.39,16859500
2022-02-10 07:00:00,21.7,22.59,21.39,22.05,6959200
2022-02-11 07:00:00,21.62,21.89,20.69,20.81,8061300
2022-02-14 07:00:00,20.11,21.39,19.88,20.34,10164200
2022-02-15 07:00:00,20.38,21.39,20.38,21.16,6996600
2022-02-16 07:00:00,21.78,22.63,21.31,22.63,11386900
2022-02-17 07:00:00,23.02,23.99,22.63,22.63,14225100
2022-02-18 07:00:00,22.16,24.18,22.16,24.18,10754600
2022-02-21 07:00:00,25.11,25.85,24.88,25.85,14288600
2022-02-22 07:00:00,25.15,26.74,24.72,26.12,23262800
2022-02-23 07:00:00,26.35,27.71,25.65,27.16,10747100
2022-02-24 07:00:00,27.05,27.51,25.26,25.96,13635700
2022-02-25 07:00:00,26.74,26.74,25.42,25.5,9656900
2022-02-28 07:00:00,25.5,26.16,24.95,24.95,8462200
2022-03-01 07:00:00,24.8,26.27,24.8,25.88,9173200
2022-03-02 07:00:00,25.96,26.35,25.26,25.5,7197200
2022-03-03 07:00:00,25.57,25.85,24.99,25.3,8485600
2022-03-04 07:00:00,25.42,26.58,25.38,25.96,10417100
2022-03-07 07:00:00,25.96,26.62,25.5,25.77,8824400
2022-03-08 07:00:00,25.5,25.69,24.02,24.1,11866900
2022-03-09 07:00:00,24.41,24.61,22.82,23.48,10461500
2022-03-10 07:00:00,24.1,24.41,23.87,23.91,4572600
2022-03-11 07:00:00,23.87,23.91,22.9,23.06,7587200
2022-03-14 07:00:00,22.94,23.37,22.13,22.47,7034300
2022-03-15 07:00:00,22.67,23.64,22.67,23.6,4809600
2022-03-16 07:00:00,24.14,24.41,23.64,23.79,4461300
2022-03-17 07:00:00,24.1,24.18,23.68,23.68,3874700
2022-03-18 07:00:00,23.68,24.41,23.48,23.91,5085000
2022-03-21 07:00:00,24.02,24.95,24.02,24.76,11584600
2022-03-22 07:00:00,25.19,26.47,25.11,26.47,16822300
2022-03-23 07:00:00,26.89,27.09,26.0,26.12,10027800
2022-03-24 07:00:00,26.08,26.5,25.88,26.04,9384100
2022-03-25 07:00:00,25.57,26.31,25.19,25.46,13260300
2022-03-28 07:00:00,24.02,24.84,23.71,23.87,14815800
2022-03-29 07:00:00,24.18,25.42,23.95,25.03,7414700
2022-03-30 07:00:00,24.8,25.03,23.29,23.44,14175700
2022-03-31 07:00:00,24.02,24.1,23.56,23.71,6202500
2022-04-01 07:00:00,23.64,25.19,23.33,25.19,8112700
2022-04-04 07:00:00,25.19,25.19,24.22,24.45,7143600
2022-04-05 07:00:00,23.87,24.8,23.87,24.45,5531400
2022-04-06 07:00:00,24.33,25.54,24.06,24.8,9821300
2022-04-07 07:00:00,25.11,25.11,24.18,24.41,3814300
2022-04-08 07:00:00,24.41,24.68,23.68,23.71,3289900
2022-04-12 07:00:00,23.71,23.95,22.09,22.09,6816300
2022-04-13 07:00:00,22.13,22.47,20.81,22.47,7036100
2022-04-14 07:00:00,22.47,22.63,21.78,22.47,3006000
2022-04-15 07:00:00,22.36,23.48,22.09,22.94,5564200
2022-04-18 07:00:00,22.71,22.71,21.35,21.78,5069200
2022-04-19 07:00:00,22.09,22.2,20.27,20.27,6221700
2022-04-20 07:00:00,20.19,20.69,18.87,18.87,9482300
2022-04-21 07:00:00,17.55,17.9,17.55,17.55,11807300
2022-04-22 07:00:00,18.52,18.52,16.35,18.52,11020400
2022-04-25 07:00:00,18.13,18.6,17.24,17.24,3690000
2022-04-26 07:00:00,16.04,17.9,16.04,17.82,9989800
2022-04-27 07:00:00,17.28,17.94,16.86,17.75,4366700
2022-04-28 07:00:00,17.79,18.44,17.63,17.9,5128200
2022-04-29 07:00:00,17.82,18.52,17.75,18.29,4557200
2022-05-04 07:00:00,18.1,18.44,17.44,17.44,3543800
2022-05-05 07:00:00,17.79,17.82,16.35,17.05,3918800
2022-05-06 07:00:00,16.47,16.93,15.96,15.96,4644500
2022-05-09 07:00:00,15.73,15.81,14.88,14.88,4356300
2022-05-10 07:00:00,13.95,15.0,13.95,14.88,5951600
2022-05-11 07:00:00,15.03,15.89,14.88,15.89,4101300
2022-05-12 07:00:00,16.0,16.62,14.88,15.27,6018600
2022-05-13 07:00:00,15.5,15.62,14.22,14.26,8234900
2022-05-16 07:00:00,15.0,15.23,14.34,14.49,3816900
2022-05-17 07:00:00,14.41,15.5,14.34,15.5,4519600
2022-05-18 07:00:00,15.73,16.2,15.5,15.5,4271900
2022-05-19 07:00:00,15.03,15.65,14.88,15.07,4454900
2022-05-20 07:00:00,15.15,16.12,15.15,16.12,8172100
2022-05-23 07:00:00,16.39,17.24,15.89,16.12,9542800
2022-05-24 07:00:00,16.27,16.97,15.85,16.97,4605400
2022-05-25 07:00:00,17.05,17.82,16.78,17.55,7047400
2022-05-26 07:00:00,17.51,17.59,17.01,17.01,6669700
2022-05-27 07:00:00,17.05,17.48,16.97,17.01,5662100
2022-05-30 07:00:00,17.2,17.32,16.7,16.93,4202800
2022-05-31 07:00:00,16.93,17.75,16.7,17.2,5632800
2022-06-01 07:00:00,17.28,17.71,17.17,17.28,3949400
2022-06-02 07:00:00,17.32,17.51,16.62,16.74,4005500
2022-06-03 07:00:00,16.66,16.82,15.89,16.39,5116100
2022-06-06 07:00:00,16.39,16.51,15.34,15.5,6218000
2022-06-07 07:00:00,15.5,16.12,14.65,16.12,6212700
2022-06-08 07:00:00,15.93,16.74,15.93,16.51,4259400
2022-06-09 07:00:00,16.51,16.74,16.12,16.2,3401700
2022-06-10 07:00:00,15.89,16.39,15.5,15.5,3984200
2022-06-13 07:00:00,14.88,15.19,14.41,14.41,5725400
2022-06-14 07:00:00,14.1,14.72,13.95,14.26,3631600
2022-06-15 07:00:00,14.26,14.57,13.29,13.56,4838800
2022-06-16 07:00:00,13.79,14.03,13.56,13.83,2750200
2022-06-17 07:00:00,13.56,13.56,12.9,12.9,3728500
2022-06-20 07:00:00,13.14,13.37,12.01,12.01,3751300
2022-06-21 07:00:00,11.78,12.17,11.2,11.55,5332900
2022-06-22 07:00:00,12.21,12.32,11.93,12.32,3140900
2022-06-23 07:00:00,12.63,13.06,12.36,13.06,2987100
2022-06-24 07:00:00,13.14,13.68,12.83,13.06,4061600
2022-06-27 07:00:00,13.1,13.45,12.86,13.33,2962500
2022-06-28 07:00:00,13.33,13.87,13.33,13.41,3291000
2022-06-29 07:00:00,13.25,13.56,13.02,13.1,2651500
2022-06-30 07:00:00,13.17,13.25,12.28,12.28,3638100
2022-07-01 07:00:00,12.17,12.75,11.82,12.59,3541300
2022-07-04 07:00:00,12.86,13.06,12.67,12.67,2358500
2022-07-05 07:00:00,12.79,13.06,12.63,12.86,2660300
2022-07-06 07:00:00,12.59,13.29,12.4,12.79,3062800
2022-07-07 07:00:00,12.98,13.17,12.79,13.14,2126300
2022-07-08 07:00:00,13.48,14.03,13.37,14.03,6121100
2022-07-11 07:00:00,14.34,14.69,14.03,14.14,6308400
2022-07-12 07:00:00,14.14,14.88,14.1,14.76,3650600
2022-07-13 07:00:00,14.69,14.92,14.34,14.38,5078500
2022-07-14 07:00:00,14.18,15.07,14.18,14.84,4486200
2022-07-15 07:00:00,14.96,15.65,14.8,15.11,7004300
2022-07-18 07:00:00,15.38,15.77,15.11,15.19,4110400
2022-07-19 07:00:00,14.96,15.27,14.61,14.84,6120900
2022-07-20 07:00:00,15.11,15.65,15.11,15.19,4776700
2022-07-21 07:00:00,15.11,15.5,15.07,15.07,3081200
2022-07-22 07:00:00,15.07,15.38,15.0,15.03,3025300
2022-07-25 07:00:00,15.0,15.03,14.69,14.8,2669500
2022-07-26 07:00:00,14.88,15.0,14.69,14.8,3136900
2022-07-27 07:00:00,14.76,15.31,14.57,15.31,5764900
2022-07-28 07:00:00,15.58,16.0,15.5,15.62,7274500
2022-07-29 07:00:00,15.65,15.93,15.42,15.5,3537900
2022-08-01 07:00:00,15.54,16.2,15.54,16.12,6310100
