time,open,high,low,close,volume
2022-01-04 07:00:00,25.62,26.05,24.6,26.05,118800
2022-01-05 07:00:00,26.69,26.69,25.62,26.56,21900
2022-01-06 07:00:00,26.39,26.39,24.77,25.62,91100
2022-01-07 07:00:00,25.37,25.37,25.11,25.2,40600
2022-01-10 07:00:00,25.16,25.16,24.34,24.34,50400
2022-01-11 07:00:00,24.34,24.34,23.23,23.49,76500
2022-01-12 07:00:00,22.64,23.49,21.87,23.49,108300
2022-01-13 07:00:00,23.49,24.3,22.64,23.4,39400
2022-01-14 07:00:00,23.49,23.49,22.42,23.19,39900
2022-01-17 07:00:00,22.25,23.19,21.78,21.78,65400
2022-01-18 07:00:00,21.57,22.17,21.18,21.18,25800
2022-01-19 07:00:00,21.14,22.64,21.14,22.64,41100
2022-01-20 07:00:00,23.06,23.36,22.64,23.36,24100
2022-01-21 07:00:00,23.06,23.49,22.81,23.28,52200
2022-01-24 07:00:00,23.06,23.06,21.65,22.04,40800
2022-01-25 07:00:00,22.04,22.04,21.14,22.04,65600
2022-01-26 07:00:00,22.12,22.12,21.27,22.0,38100
2022-01-27 07:00:00,21.87,22.12,21.74,22.12,31300
2022-01-28 07:00:00,22.12,23.4,22.08,23.23,30300
2022-02-07 07:00:00,24.69,24.86,23.66,24.86,81800
2022-02-08 07:00:00,25.62,25.71,24.9,25.03,46000
2022-02-09 07:00:00,25.58,25.88,25.11,25.62,95600
2022-02-10 07:00:00,26.88,26.88,25.67,26.09,17600
2022-02-11 07:00:00,24.69,25.95,24.69,25.86,14300
2022-02-14 07:00:00,25.86,25.95,25.39,25.76,14200
2022-02-15 07:00:00,25.21,25.86,25.16,25.58,25000
2022-02-16 07:00:00,25.39,26.09,25.39,26.09,56400
2022-02-17 07:00:00,26.74,26.74,25.67,26.42,10200
2022-02-18 07:00:00,26.23,26.56,26.18,26.42,37700
2022-02-21 07:00:00,26.42,27.02,26.14,26.65,25400
2022-02-22 07:00:00,26.56,26.56,26.23,26.42,18500
2022-02-23 07:00:00,26.42,26.65,26.32,26.6,18500
2022-02-24 07:00:00,26.6,26.6,25.16,26.23,42600
2022-02-25 07:00:00,26.23,26.32,25.86,25.86,8000
2022-02-28 07:00:00,26.09,26.09,25.62,25.62,21000
2022-03-01 07:00:00,25.62,25.62,25.16,25.48,21000
2022-03-02 07:00:00,25.48,25.48,25.16,25.48,31700
2022-03-03 07:00:00,26.09,26.09,25.21,26.0,10400
2022-03-04 07:00:00,26.04,26.09,25.35,26.04,27100
2022-03-07 07:00:00,25.16,26.04,25.16,25.86,7900
2022-03-08 07:00:00,25.72,25.9,25.21,25.25,22000
2022-03-09 07:00:00,25.25,25.53,24.97,25.16,12900
2022-03-10 07:00:00,26.09,26.46,25.62,26.0,47400
2022-03-11 07:00:00,26.04,26.14,25.25,25.9,20500
2022-03-14 07:00:00,26.09,26.09,25.25,25.76,28000
2022-03-15 07:00:00,25.39,26.0,25.25,25.86,35700
2022-03-16 07:00:00,26.04,26.04,25.16,25.86,16700
2022-03-17 07:00:00,25.95,27.63,25.95,27.63,305400
2022-03-18 07:00:00,28.89,28.89,27.63,27.72,73200
2022-03-21 07:00:00,27.91,27.91,27.02,27.49,12200
2022-03-22 07:00:00,27.07,27.26,25.62,25.72,170800
2022-03-23 07:00:00,25.72,26.23,25.72,26.18,42100
2022-03-24 07:00:00,26.32,27.02,25.86,26.32,53500
2022-03-25 07:00:00,26.98,26.98,26.14,26.18,70200
2022-03-28 07:00:00,26.09,26.18,25.67,26.0,64800
2022-03-29 07:00:00,26.09,27.82,26.09,27.82,258800
2022-03-30 07:00:00,29.35,29.35,25.9,28.47,192000
2022-03-31 07:00:00,28.51,29.35,28.33,29.35,249700
