time,open,high,low,close,volume
2022-01-04 07:00:00,76.55,78.92,73.08,73.7,1106100
2022-01-05 07:00:00,73.84,75.51,72.73,73.7,1055500
2022-01-06 07:00:00,72.66,78.85,72.66,78.85,1193900
2022-01-07 07:00:00,79.47,80.66,77.39,78.99,514300
2022-01-10 07:00:00,79.89,79.89,73.91,73.91,987800
2022-01-11 07:00:00,73.7,78.22,73.08,74.05,1023800
2022-01-12 07:00:00,74.4,77.87,72.31,77.87,1169200
2022-01-13 07:00:00,78.85,78.85,73.77,74.33,524000
2022-01-14 07:00:00,73.35,77.18,73.08,74.4,599100
2022-01-17 07:00:00,76.14,76.41,70.23,70.23,987900
2022-01-18 07:00:00,69.53,70.64,66.05,68.83,1007000
2022-01-19 07:00:00,68.14,70.23,68.14,68.9,652900
2022-01-20 07:00:00,68.83,73.7,68.83,73.7,506000
2022-01-21 07:00:00,75.44,77.18,74.19,76.41,601800
2022-01-24 07:00:00,74.47,76.34,72.31,73.22,522400
2022-01-25 07:00:00,73.01,77.18,73.01,76.48,961800
2022-01-26 07:00:00,77.8,77.8,75.09,75.58,495300
2022-01-27 07:00:00,70.3,74.4,70.3,71.41,1209200
2022-01-28 07:00:00,71.34,71.62,66.47,68.83,2128800
2022-02-07 07:00:00,69.6,70.23,66.4,66.47,683300
2022-02-08 07:00:00,66.19,66.75,62.99,65.71,930500
2022-02-09 07:00:00,65.36,68.42,63.9,67.44,445800
2022-02-10 07:00:00,67.93,67.93,66.4,67.44,356100
2022-02-11 07:00:00,66.19,66.89,66.05,66.05,330700
2022-02-14 07:00:00,65.01,65.98,63.97,64.52,340900
2022-02-15 07:00:00,64.66,66.75,64.32,64.32,293000
2022-02-16 07:00:00,64.32,66.47,64.25,65.57,399100
2022-02-17 07:00:00,66.68,67.51,66.05,66.05,240100
2022-02-18 07:00:00,65.36,66.4,64.87,65.36,300000
2022-02-21 07:00:00,65.43,67.44,65.43,65.92,557200
2022-02-22 07:00:00,66.05,67.44,65.71,66.82,734700
2022-02-23 07:00:00,67.51,68.49,67.51,68.35,513900
2022-02-24 07:00:00,68.42,69.88,65.01,67.51,869400
2022-02-25 07:00:00,67.51,68.83,66.19,68.42,459300
2022-02-28 07:00:00,68.56,69.39,66.82,67.31,303600
2022-03-01 07:00:00,67.51,67.51,66.61,66.61,353800
2022-03-02 07:00:00,66.68,66.68,64.32,64.32,889400
2022-03-03 07:00:00,64.32,65.36,61.53,62.65,1051000
2022-03-04 07:00:00,62.58,64.94,61.4,64.66,517900
2022-03-07 07:00:00,64.32,64.52,62.58,62.92,906300
2022-03-08 07:00:00,62.65,63.69,61.88,61.88,695500
2022-03-09 07:00:00,62.02,62.51,59.66,59.66,700800
2022-03-10 07:00:00,60.84,60.84,59.1,59.1,577000
2022-03-11 07:00:00,59.1,60.35,58.75,59.1,426900
2022-03-14 07:00:00,59.45,60.49,58.54,59.87,360800
