time,open,high,low,close,volume
2022-01-04 07:00:00,26.02,26.7,26.02,26.38,1030900
2022-01-05 07:00:00,26.63,26.7,26.2,26.56,954500
2022-01-06 07:00:00,27.06,27.16,26.41,26.41,1948900
2022-01-07 07:00:00,26.88,26.88,26.41,26.66,1632400
2022-01-10 07:00:00,26.66,26.88,25.49,25.52,1735000
2022-01-11 07:00:00,25.59,25.84,25.24,25.31,1222900
2022-01-12 07:00:00,24.95,25.67,24.31,25.67,1915900
2022-01-13 07:00:00,26.38,26.38,25.31,25.45,984800
2022-01-14 07:00:00,24.99,25.91,24.99,25.63,1620700
2022-01-17 07:00:00,25.99,26.63,25.45,25.56,1448300
2022-01-18 07:00:00,25.59,26.13,25.31,25.67,717000
2022-01-19 07:00:00,25.67,26.06,25.42,25.67,1098300
2022-01-20 07:00:00,25.67,26.38,25.34,26.38,946300
2022-01-21 07:00:00,26.45,27.8,26.41,27.23,1937400
2022-01-24 07:00:00,27.41,27.41,26.02,26.02,1095300
2022-01-25 07:00:00,25.81,26.38,25.74,26.27,623300
2022-01-26 07:00:00,26.27,26.38,25.99,26.13,889800
2022-01-27 07:00:00,25.63,26.13,25.59,25.67,1047200
2022-01-28 07:00:00,25.67,25.81,25.31,25.49,1023400
2022-02-07 07:00:00,25.7,25.74,24.99,25.06,960300
2022-02-08 07:00:00,25.09,25.59,25.09,25.49,627200
2022-02-09 07:00:00,25.59,25.63,25.17,25.31,613700
2022-02-10 07:00:00,25.34,25.91,25.34,25.7,558600
2022-02-11 07:00:00,25.77,26.38,25.49,26.38,721100
2022-02-14 07:00:00,26.2,26.81,26.2,26.38,1384700
2022-02-15 07:00:00,26.24,26.48,25.95,26.38,607500
2022-02-16 07:00:00,26.52,27.73,26.52,27.55,3022700
2022-02-17 07:00:00,27.55,27.63,27.27,27.27,898600
2022-02-18 07:00:00,27.13,28.34,26.95,27.41,1721400
2022-02-21 07:00:00,27.45,27.98,27.13,27.63,1443200
2022-02-22 07:00:00,27.41,28.41,27.3,28.3,2754400
2022-02-23 07:00:00,28.48,28.8,28.02,28.2,1900300
2022-02-24 07:00:00,28.05,28.41,26.73,27.38,2654700
2022-02-25 07:00:00,27.7,28.34,27.38,27.84,2272500
2022-02-28 07:00:00,27.73,27.98,27.34,27.38,1280800
2022-03-01 07:00:00,27.45,27.8,26.91,27.8,1595300
2022-03-02 07:00:00,27.8,27.98,27.38,27.45,1231500
2022-03-03 07:00:00,27.52,28.34,27.2,28.34,2604800
2022-03-04 07:00:00,28.8,28.8,27.8,27.8,1898000
2022-03-07 07:00:00,27.8,28.48,27.52,27.98,1765300
2022-03-08 07:00:00,27.63,27.84,26.7,26.7,2868200
2022-03-09 07:00:00,26.73,26.91,25.74,26.2,3431400
2022-03-10 07:00:00,26.24,26.56,26.06,26.09,1488100
2022-03-11 07:00:00,25.95,26.66,25.77,26.02,1719600
2022-03-14 07:00:00,26.02,26.63,25.84,26.52,1319100
2022-03-15 07:00:00,26.41,26.66,26.02,26.27,552600
2022-03-16 07:00:00,26.31,26.91,26.27,26.48,803800
2022-03-17 07:00:00,26.73,26.77,26.41,26.52,513900
2022-03-18 07:00:00,26.45,26.7,26.2,26.34,588100
2022-03-21 07:00:00,26.2,26.52,26.02,26.38,766700
2022-03-22 07:00:00,26.34,26.88,26.2,26.7,984700
2022-03-23 07:00:00,26.95,27.45,26.95,27.45,2403900
2022-03-24 07:00:00,27.95,28.34,27.7,27.84,3794800
2022-03-25 07:00:00,28.34,28.34,27.84,27.88,1389000
2022-03-28 07:00:00,27.45,27.77,26.84,27.2,1817600
2022-03-29 07:00:00,27.09,27.41,26.73,27.02,1797500
2022-03-30 07:00:00,26.77,27.27,26.45,26.77,1284000
2022-03-31 07:00:00,26.84,27.02,26.48,26.73,999300
2022-04-01 07:00:00,26.73,27.16,26.45,26.59,1847500
2022-04-04 07:00:00,26.95,26.98,26.59,26.66,3703100
2022-04-05 07:00:00,28.52,28.52,27.45,27.8,4639300
2022-04-06 07:00:00,27.8,27.8,27.38,27.41,1273200
2022-04-07 07:00:00,27.09,27.23,26.73,26.73,1583900
2022-04-08 07:00:00,26.73,27.09,25.99,25.99,1894000
2022-04-12 07:00:00,25.67,26.34,25.38,25.38,1121800
2022-04-13 07:00:00,25.67,25.67,24.74,25.52,916100
2022-04-14 07:00:00,25.45,25.95,25.45,25.56,1147900
2022-04-15 07:00:00,25.31,25.67,24.95,24.95,834800
2022-04-18 07:00:00,24.6,25.02,23.31,23.31,1993900
2022-04-19 07:00:00,23.17,23.85,22.31,22.31,1415600
2022-04-20 07:00:00,22.1,22.39,20.82,21.03,1451600
2022-04-21 07:00:00,20.32,21.89,19.61,21.32,1754100
2022-04-22 07:00:00,21.39,22.06,20.96,21.85,922800
2022-04-25 07:00:00,21.89,22.06,20.35,20.35,1772600
2022-04-26 07:00:00,19.96,20.67,19.03,20.67,1027700
2022-04-27 07:00:00,20.67,21.96,19.96,21.89,1001800
2022-04-28 07:00:00,21.89,22.53,21.82,22.1,868600
2022-04-29 07:00:00,21.78,22.46,21.78,22.17,677100
2022-05-04 07:00:00,20.75,21.32,20.64,20.64,2464400
2022-05-05 07:00:00,21.03,21.03,20.32,20.64,706100
2022-05-06 07:00:00,19.82,20.64,19.82,19.82,590100
2022-05-09 07:00:00,19.25,19.25,18.46,18.46,2119600
2022-05-10 07:00:00,17.18,17.86,17.18,17.75,1743500
2022-05-11 07:00:00,17.79,18.18,17.79,17.97,429300
2022-05-12 07:00:00,17.47,17.82,16.72,16.72,748600
2022-05-13 07:00:00,16.4,16.4,15.58,15.58,1772600
2022-05-16 07:00:00,15.4,16.33,14.97,14.97,855500
2022-05-17 07:00:00,14.01,16.01,13.97,16.01,1476300
2022-05-18 07:00:00,16.4,16.65,16.11,16.29,651100
2022-05-19 07:00:00,16.29,16.47,15.54,16.36,644900
2022-05-20 07:00:00,16.4,17.18,16.18,16.97,893500
2022-05-23 07:00:00,17.68,17.68,16.18,16.54,463600
2022-05-24 07:00:00,16.54,16.75,15.9,16.58,508100
2022-05-25 07:00:00,16.5,17.0,16.4,16.86,655400
2022-05-26 07:00:00,16.86,18.04,16.86,18.04,2072000
2022-05-27 07:00:00,19.25,19.28,18.46,18.68,4686100
2022-05-30 07:00:00,18.89,18.96,18.39,18.68,1563900
2022-05-31 07:00:00,18.54,18.64,18.18,18.54,1554400
2022-06-01 07:00:00,18.14,18.43,17.75,17.79,2658500
2022-06-02 07:00:00,18.11,18.89,17.82,18.68,2894800
2022-06-03 07:00:00,18.79,18.79,18.0,18.22,1322400
2022-06-06 07:00:00,18.22,18.54,17.82,17.82,1363100
2022-06-07 07:00:00,17.61,17.82,16.75,17.32,2346800
2022-06-08 07:00:00,17.68,18.04,17.47,17.82,1795000
2022-06-09 07:00:00,17.89,18.07,17.68,17.75,1056300
2022-06-10 07:00:00,17.4,18.22,17.36,17.54,1804000
2022-06-13 07:00:00,16.5,17.04,16.33,16.33,2562300
2022-06-14 07:00:00,15.33,15.93,15.19,15.19,4654100
2022-06-15 07:00:00,15.19,15.33,14.15,14.58,3552300
2022-06-16 07:00:00,15.11,15.11,14.65,14.69,1294000
2022-06-17 07:00:00,14.26,14.54,13.72,14.15,2705200
2022-06-20 07:00:00,14.26,14.4,13.19,13.19,2368000
2022-06-21 07:00:00,13.19,13.19,12.3,12.3,2600900
2022-06-22 07:00:00,12.15,12.71,11.59,12.41,1671000
2022-06-23 07:00:00,12.15,13.27,12.15,13.27,1241800
2022-06-24 07:00:00,13.68,13.87,13.49,13.61,1461600
2022-06-27 07:00:00,13.83,14.54,13.68,14.54,1451400
2022-06-28 07:00:00,15.1,15.55,14.95,15.55,2556000
2022-06-29 07:00:00,15.7,16.37,15.4,15.55,2960400
2022-06-30 07:00:00,15.77,16.0,14.65,14.65,1649000
2022-07-01 07:00:00,14.24,15.66,14.24,15.66,2957100
2022-07-04 07:00:00,16.37,16.75,16.07,16.75,3082400
2022-07-05 07:00:00,17.9,17.9,16.97,16.97,9442500
2022-07-06 07:00:00,16.75,18.13,16.75,18.13,6612900
2022-07-07 07:00:00,18.62,18.65,17.49,18.32,2259900
2022-07-08 07:00:00,18.69,18.99,18.05,18.39,2949000
2022-07-11 07:00:00,18.62,19.66,18.54,19.66,7885600
2022-07-12 07:00:00,20.15,20.33,19.44,19.92,3741300
2022-07-13 07:00:00,20.0,21.01,20.0,20.71,4893900
2022-07-14 07:00:00,20.63,20.71,19.29,19.7,7508900
2022-07-15 07:00:00,19.47,20.6,19.44,20.11,3649000
2022-07-18 07:00:00,20.48,21.31,19.96,20.71,6921700
2022-07-19 07:00:00,20.71,20.97,19.7,20.52,4641700
2022-07-20 07:00:00,20.75,21.01,19.44,20.15,7989300
2022-07-21 07:00:00,19.66,20.07,18.8,19.03,5618500
2022-07-22 07:00:00,19.21,20.0,19.18,19.74,4479000
