time,open,high,low,close,volume
2022-01-04 07:00:00,28.39,28.7,27.97,28.62,4461800
2022-01-05 07:00:00,28.74,29.13,28.32,28.7,5027800
2022-01-06 07:00:00,28.59,29.05,28.28,28.39,4536000
2022-01-07 07:00:00,28.32,28.47,27.04,27.08,10920200
2022-01-10 07:00:00,26.89,26.89,25.19,25.19,14036600
2022-01-11 07:00:00,25.19,25.54,24.03,24.54,5266200
2022-01-12 07:00:00,24.3,25.23,23.45,24.07,4282900
2022-01-13 07:00:00,24.61,24.84,23.96,24.0,2766600
2022-01-14 07:00:00,23.53,23.73,22.34,22.34,6923700
2022-01-17 07:00:00,22.3,22.84,20.99,20.99,5986800
2022-01-18 07:00:00,20.75,22.45,20.68,22.45,4742800
2022-01-19 07:00:00,23.15,23.34,22.41,22.68,2138200
2022-01-20 07:00:00,22.76,22.76,21.95,22.34,2483100
2022-01-21 07:00:00,22.37,22.37,21.6,21.76,3570000
2022-01-24 07:00:00,21.45,21.53,20.25,20.25,4079100
2022-01-25 07:00:00,19.67,21.22,19.48,20.56,3141600
2022-01-26 07:00:00,20.64,21.06,20.18,20.18,2404700
2022-01-27 07:00:00,20.29,20.99,20.29,20.75,2003600
2022-01-28 07:00:00,20.99,21.1,20.52,20.83,1501700
2022-02-07 07:00:00,21.37,21.91,21.14,21.6,2593500
2022-02-08 07:00:00,21.72,22.57,21.22,21.99,3207900
2022-02-09 07:00:00,21.99,22.53,21.99,22.14,2504200
2022-02-10 07:00:00,22.37,23.11,22.03,22.95,4197300
2022-02-11 07:00:00,23.18,24.03,22.99,23.49,3987600
2022-02-14 07:00:00,23.15,23.8,22.61,22.61,4755000
2022-02-15 07:00:00,22.53,23.18,22.37,22.99,2410400
2022-02-16 07:00:00,23.15,23.76,23.03,23.69,5555600
2022-02-17 07:00:00,23.76,24.23,23.53,23.53,3845600
2022-02-18 07:00:00,23.15,23.88,23.15,23.69,4068000
2022-02-21 07:00:00,23.84,24.27,23.61,24.07,4467800
2022-02-22 07:00:00,23.76,23.88,23.03,23.22,4303400
2022-02-23 07:00:00,23.53,24.84,23.38,24.84,6810700
2022-02-24 07:00:00,24.73,26.58,24.73,26.58,14960700
2022-02-25 07:00:00,27.08,28.16,26.7,26.7,9879400
2022-02-28 07:00:00,27.16,28.55,27.12,28.55,9760600
2022-03-01 07:00:00,29.7,30.01,28.24,28.47,11496700
2022-03-02 07:00:00,29.16,30.09,28.39,30.09,11847200
2022-03-03 07:00:00,30.48,31.21,30.21,30.71,9717000
2022-03-04 07:00:00,30.48,31.63,29.63,31.09,10585300
2022-03-07 07:00:00,32.4,33.25,31.86,33.25,7723200
2022-03-08 07:00:00,33.56,34.72,32.02,32.56,13001200
2022-03-09 07:00:00,33.18,34.84,32.4,34.37,12977100
2022-03-10 07:00:00,33.49,35.11,33.22,34.6,8334600
2022-03-11 07:00:00,35.49,36.57,35.11,35.88,10728800
2022-03-14 07:00:00,35.95,36.26,33.37,33.37,15380100
2022-03-15 07:00:00,33.18,33.56,31.83,33.02,11367200
2022-03-16 07:00:00,33.49,34.33,33.06,33.79,4240300
2022-03-17 07:00:00,34.03,34.18,31.44,31.48,13697900
2022-03-18 07:00:00,31.86,32.79,31.32,32.71,5881800
2022-03-21 07:00:00,32.94,33.68,32.02,32.87,4617600
2022-03-22 07:00:00,32.79,34.33,32.33,34.3,8823200
2022-03-23 07:00:00,34.53,35.45,34.06,34.64,9709500
2022-03-24 07:00:00,35.38,36.03,34.57,34.87,7480800
2022-03-25 07:00:00,34.72,36.42,33.79,35.95,10636200
2022-03-28 07:00:00,35.49,37.38,35.26,37.38,9990400
2022-03-29 07:00:00,37.81,38.15,36.34,36.88,5350200
2022-03-30 07:00:00,36.19,36.57,34.33,34.33,15037700
2022-03-31 07:00:00,34.57,34.87,33.14,33.14,8268500
2022-04-01 07:00:00,33.14,34.57,32.75,34.03,5085300
2022-04-04 07:00:00,34.03,34.03,31.71,32.33,10286700
2022-04-05 07:00:00,31.71,32.79,31.71,32.71,4076500
2022-04-06 07:00:00,32.02,32.37,30.55,30.63,8522500
2022-04-07 07:00:00,30.63,32.02,29.59,31.83,7382700
2022-04-08 07:00:00,31.83,32.02,30.55,30.67,3098400
