time,open,high,low,close,volume
2022-01-04 07:00:00,36.05,36.17,35.67,35.98,1193000
2022-01-05 07:00:00,36.05,36.39,35.83,36.13,1718500
2022-01-06 07:00:00,36.05,36.13,35.52,35.52,1897700
2022-01-07 07:00:00,35.52,37.0,35.52,36.55,2117300
2022-01-10 07:00:00,36.55,36.55,35.29,35.29,1203500
2022-01-11 07:00:00,35.07,35.67,34.76,34.76,1008500
2022-01-12 07:00:00,34.84,35.33,33.02,33.66,2682300
2022-01-13 07:00:00,34.16,34.46,33.4,33.4,1660400
2022-01-14 07:00:00,33.32,33.4,32.49,32.49,1693300
2022-01-17 07:00:00,32.64,33.24,30.74,30.74,2185900
2022-01-18 07:00:00,30.32,31.57,30.32,31.23,1618700
2022-01-19 07:00:00,31.23,32.26,31.23,31.5,927700
2022-01-20 07:00:00,31.88,32.18,31.73,31.92,647100
2022-01-21 07:00:00,32.22,32.33,31.88,31.88,602300
2022-01-24 07:00:00,31.95,31.95,30.85,31.04,1133000
2022-01-25 07:00:00,30.66,32.68,30.66,32.64,1209500
2022-01-26 07:00:00,33.28,33.28,31.88,31.88,1047600
2022-01-27 07:00:00,31.88,32.75,31.88,32.11,925200
2022-01-28 07:00:00,32.26,32.83,31.92,32.64,1276600
2022-02-07 07:00:00,33.28,34.91,33.28,34.91,1355200
2022-02-08 07:00:00,35.26,36.05,34.91,35.41,1632900
2022-02-09 07:00:00,35.67,36.81,35.29,36.81,2810900
2022-02-10 07:00:00,36.74,36.74,36.05,36.24,1635600
2022-02-11 07:00:00,36.24,36.96,36.05,36.7,1659800
2022-02-14 07:00:00,36.58,37.72,35.6,37.12,2783900
2022-02-15 07:00:00,37.12,37.27,36.66,37.12,1162000
2022-02-16 07:00:00,36.81,37.76,36.81,37.49,1462200
2022-02-17 07:00:00,37.95,38.94,37.76,38.86,3545000
2022-02-18 07:00:00,38.71,39.54,38.33,39.39,3444800
2022-02-21 07:00:00,39.32,39.85,38.86,38.86,1489200
2022-02-22 07:00:00,38.33,39.77,37.57,39.62,3583400
2022-02-23 07:00:00,39.62,40.45,39.39,39.54,2823400
2022-02-24 07:00:00,39.09,40.08,38.1,39.01,2961300
2022-02-25 07:00:00,39.47,40.0,38.1,38.33,2841200
2022-02-28 07:00:00,38.41,38.86,37.12,37.72,3043400
2022-03-01 07:00:00,38.33,39.09,37.68,37.95,2258800
2022-03-02 07:00:00,37.72,38.71,37.04,38.63,2071300
2022-03-03 07:00:00,38.41,41.29,38.03,41.29,6625300
2022-03-04 07:00:00,42.73,43.26,41.52,41.75,3852900
2022-03-07 07:00:00,41.67,44.02,41.37,42.5,3521400
2022-03-08 07:00:00,42.05,42.66,39.92,39.92,4881800
2022-03-09 07:00:00,40.15,42.66,39.92,42.66,6222700
2022-03-10 07:00:00,43.26,43.79,41.37,41.75,4931700
2022-03-11 07:00:00,41.75,42.81,41.37,42.28,3028400
2022-03-14 07:00:00,41.75,42.66,39.39,39.39,6156600
2022-03-15 07:00:00,38.33,40.0,37.19,39.77,4176100
2022-03-16 07:00:00,40.15,41.21,39.7,40.61,2357300
2022-03-17 07:00:00,40.68,40.99,39.77,40.23,2264900
2022-03-18 07:00:00,40.53,41.37,40.0,40.91,2628000
2022-03-21 07:00:00,40.99,41.52,40.61,41.29,2407700
2022-03-22 07:00:00,41.29,42.35,40.45,41.44,3443500
2022-03-23 07:00:00,41.75,42.12,40.68,40.68,2233600
2022-03-24 07:00:00,40.76,42.81,40.08,42.35,5789100
2022-03-25 07:00:00,42.35,42.58,40.99,41.59,3140800
2022-03-28 07:00:00,40.68,42.96,40.68,42.73,5191400
2022-03-29 07:00:00,42.88,45.16,42.81,44.78,5425200
2022-03-30 07:00:00,44.78,45.46,43.26,43.64,3404100
2022-03-31 07:00:00,44.02,44.63,43.64,44.33,2149600
2022-04-01 07:00:00,43.64,45.01,43.26,44.02,2562300
2022-04-04 07:00:00,44.1,45.39,43.64,44.71,3446600
2022-04-05 07:00:00,45.16,46.6,44.4,45.16,3848300
2022-04-06 07:00:00,45.08,46.07,43.87,44.1,3138800
2022-04-07 07:00:00,44.1,44.48,41.75,42.66,3956200
2022-04-08 07:00:00,42.88,43.11,41.37,41.59,2202100
2022-04-12 07:00:00,41.59,42.35,39.54,39.54,1925200
2022-04-13 07:00:00,39.85,42.28,39.7,42.28,2542200
2022-04-14 07:00:00,43.26,43.42,42.2,42.88,1500200
2022-04-15 07:00:00,42.5,44.4,42.2,43.49,2769800
2022-04-18 07:00:00,43.26,44.25,42.2,42.58,2269300
2022-04-19 07:00:00,42.96,45.08,42.88,43.64,3745800
2022-04-20 07:00:00,43.87,44.71,41.75,42.2,2570300
2022-04-21 07:00:00,41.37,43.26,40.45,42.2,2008600
2022-04-22 07:00:00,41.82,42.5,39.32,39.77,5448200
2022-04-25 07:00:00,39.62,39.7,37.0,37.0,4328000
2022-04-26 07:00:00,34.99,39.54,34.99,39.09,2805500
2022-04-27 07:00:00,38.71,40.99,38.56,40.45,1702400
2022-04-28 07:00:00,40.83,41.97,40.76,40.83,2595800
2022-04-29 07:00:00,40.61,41.59,40.53,41.29,1834400
2022-05-04 07:00:00,41.67,43.42,40.61,42.88,2454200
2022-05-05 07:00:00,43.64,43.64,41.67,42.28,2748000
2022-05-06 07:00:00,41.14,43.95,41.14,42.58,4339200
2022-05-09 07:00:00,41.75,42.12,39.7,40.61,3568900
2022-05-10 07:00:00,39.7,41.82,38.79,41.75,1708900
2022-05-11 07:00:00,42.05,43.11,41.75,42.88,2018900
2022-05-12 07:00:00,42.35,44.71,42.2,42.43,5734700
2022-05-13 07:00:00,42.5,42.88,39.47,39.47,3165800
2022-05-16 07:00:00,40.99,41.37,36.74,36.74,3057200
2022-05-17 07:00:00,35.67,39.24,34.19,39.24,3938200
2022-05-18 07:00:00,39.7,40.61,38.79,38.86,1982700
2022-05-19 07:00:00,37.72,39.47,37.72,38.71,1728900
2022-05-20 07:00:00,38.71,39.39,37.57,37.8,1914500
2022-05-23 07:00:00,37.95,39.39,37.57,38.33,1204600
2022-05-24 07:00:00,38.33,39.09,37.95,39.01,858900
2022-05-25 07:00:00,39.09,41.59,39.09,41.37,3751300
2022-05-26 07:00:00,40.99,41.75,40.61,40.76,1739700
2022-05-27 07:00:00,40.91,42.73,40.76,41.97,3247100
2022-05-30 07:00:00,41.97,43.42,41.21,42.96,2402100
2022-05-31 07:00:00,42.96,44.33,42.35,42.35,3087000
2022-06-01 07:00:00,42.35,44.4,41.75,44.4,4321700
2022-06-02 07:00:00,44.4,45.39,43.64,43.64,2953400
2022-06-03 07:00:00,43.64,45.01,42.96,44.4,3116200
