time,open,high,low,close,volume
2022-01-04 07:00:00,34.88,35.36,34.36,34.88,933000
2022-01-05 07:00:00,35.15,35.57,34.57,35.15,1094700
2022-01-06 07:00:00,35.62,35.78,35.15,35.57,1265000
2022-01-07 07:00:00,35.67,35.67,34.88,35.15,1123800
2022-01-10 07:00:00,34.67,35.15,33.31,33.31,955500
2022-01-11 07:00:00,33.89,33.89,32.63,33.47,740300
2022-01-12 07:00:00,32.68,33.31,31.16,32.79,1411700
2022-01-13 07:00:00,33.05,33.05,31.21,32.26,655800
2022-01-14 07:00:00,31.21,33.05,31.21,32.79,457400
2022-01-17 07:00:00,32.05,33.21,30.95,31.42,724200
2022-01-18 07:00:00,30.95,31.06,29.27,29.9,1306200
2022-01-19 07:00:00,29.11,30.95,29.11,30.84,383800
2022-01-20 07:00:00,30.06,32.0,30.06,31.74,368200
2022-01-21 07:00:00,31.74,31.74,31.0,31.58,451300
2022-01-24 07:00:00,31.21,31.21,29.64,30.32,555100
2022-01-25 07:00:00,29.85,30.42,29.27,30.32,275100
2022-01-26 07:00:00,30.69,30.95,30.16,30.9,683200
2022-01-27 07:00:00,30.42,31.95,30.42,31.53,628200
2022-01-28 07:00:00,31.53,32.79,31.53,32.0,601300
2022-02-07 07:00:00,32.47,33.05,32.05,32.94,777100
2022-02-08 07:00:00,32.94,33.31,32.58,33.15,436600
2022-02-09 07:00:00,33.15,33.47,32.52,33.36,565200
2022-02-10 07:00:00,33.31,33.42,32.68,33.26,428900
2022-02-11 07:00:00,32.73,34.1,32.73,33.73,1132800
2022-02-14 07:00:00,33.26,34.36,33.26,33.42,1083400
2022-02-15 07:00:00,33.42,33.68,33.05,33.62,359000
2022-02-16 07:00:00,33.68,34.2,33.52,33.78,886600
2022-02-17 07:00:00,33.78,33.94,33.21,33.84,844200
2022-02-18 07:00:00,33.36,35.41,33.36,35.25,3024400
2022-02-21 07:00:00,35.41,36.83,35.41,36.67,2792800
2022-02-22 07:00:00,36.2,36.98,35.67,36.72,1232700
2022-02-23 07:00:00,36.72,37.4,36.14,36.72,1703700
2022-02-24 07:00:00,36.3,36.88,34.41,36.04,1764300
2022-02-25 07:00:00,36.62,37.72,36.3,36.98,1620300
2022-02-28 07:00:00,36.72,37.19,36.35,36.93,702100
2022-03-01 07:00:00,37.09,37.14,36.51,37.03,1097900
2022-03-02 07:00:00,36.77,37.03,36.3,36.72,1054700
2022-03-03 07:00:00,36.83,38.29,36.3,38.29,1923800
2022-03-04 07:00:00,38.29,38.61,37.77,38.19,998100
2022-03-07 07:00:00,37.56,38.24,37.46,37.98,1229200
2022-03-08 07:00:00,37.03,37.51,35.41,35.41,2371200
2022-03-09 07:00:00,35.2,36.4,33.84,36.14,1736100
2022-03-10 07:00:00,36.62,36.98,36.14,36.56,942000
2022-03-11 07:00:00,36.56,36.77,35.83,36.46,1100400
2022-03-14 07:00:00,36.04,36.72,35.72,36.09,1036700
2022-03-15 07:00:00,35.88,36.46,35.57,36.3,766300
2022-03-16 07:00:00,36.67,38.03,36.2,37.51,1826700
2022-03-17 07:00:00,37.67,38.25,37.56,37.83,686600
2022-03-18 07:00:00,37.88,38.84,37.51,38.47,1642800
2022-03-21 07:00:00,38.47,39.26,38.15,39.1,1936500
2022-03-22 07:00:00,39.21,39.8,38.15,38.84,1463500
2022-03-23 07:00:00,38.68,39.37,37.88,38.84,1706400
2022-03-24 07:00:00,38.78,39.1,38.09,38.57,1393700
2022-03-25 07:00:00,38.84,38.84,38.15,38.78,894600
2022-03-28 07:00:00,38.25,38.78,37.29,37.93,1433300
2022-03-29 07:00:00,38.15,38.3,37.61,37.77,1338700
2022-03-30 07:00:00,37.56,38.36,36.44,36.6,1663300
2022-03-31 07:00:00,36.5,37.24,36.44,37.24,1029700
2022-04-01 07:00:00,36.76,38.15,36.6,38.09,1279000
2022-04-04 07:00:00,38.2,38.47,37.83,38.04,1025800
2022-04-05 07:00:00,37.93,38.2,37.35,37.35,705500
2022-04-06 07:00:00,37.14,37.19,36.5,37.14,1454100
2022-04-07 07:00:00,36.82,36.82,35.75,36.18,1102600
2022-04-08 07:00:00,35.96,36.28,35.43,35.43,865700
2022-04-12 07:00:00,35.48,35.8,33.78,34.58,907500
2022-04-13 07:00:00,34.16,35.91,33.52,35.75,857200
2022-04-14 07:00:00,35.8,35.86,35.27,35.38,604500
2022-04-15 07:00:00,35.11,37.24,34.63,36.07,986800
2022-04-18 07:00:00,35.91,36.5,35.01,35.65,1036600
2022-04-19 07:00:00,36.18,36.28,35.17,35.43,506900
2022-04-20 07:00:00,35.43,35.43,32.98,32.98,1041400
2022-04-21 07:00:00,31.92,33.52,30.86,32.93,1498600
2022-04-22 07:00:00,32.93,33.57,30.64,32.24,1706600
2022-04-25 07:00:00,31.76,31.76,30.01,30.01,1003500
2022-04-26 07:00:00,27.93,28.52,27.93,28.52,1975000
2022-04-27 07:00:00,28.41,29.79,27.82,29.79,721600
2022-04-28 07:00:00,30.06,30.48,29.47,30.43,1238900
2022-04-29 07:00:00,30.01,31.12,29.79,30.64,889200
2022-05-04 07:00:00,30.43,30.43,29.0,29.0,456000
2022-05-05 07:00:00,29.21,29.95,27.66,29.15,827300
2022-05-06 07:00:00,28.09,28.68,27.13,27.13,1010500
2022-05-09 07:00:00,26.55,26.6,25.24,25.24,1667800
2022-05-10 07:00:00,23.49,24.63,23.49,24.53,2000700
2022-05-11 07:00:00,24.9,25.54,24.47,25.0,856700
2022-05-12 07:00:00,24.9,25.43,23.28,23.28,890900
2022-05-13 07:00:00,23.17,23.28,21.65,21.65,936200
2022-05-16 07:00:00,21.81,22.77,20.16,20.16,1112000
2022-05-17 07:00:00,19.31,21.57,19.31,21.57,938000
2022-05-18 07:00:00,22.08,23.06,21.87,23.06,1768300
2022-05-19 07:00:00,22.61,24.63,22.34,24.45,1299600
2022-05-20 07:00:00,24.42,25.38,23.99,24.79,1180000
2022-05-23 07:00:00,24.79,25.22,23.83,24.47,1271500
2022-05-24 07:00:00,23.99,24.58,23.2,24.58,847200
2022-05-25 07:00:00,24.68,26.07,24.47,25.78,1477500
2022-05-26 07:00:00,25.86,26.87,25.78,26.87,1039600
2022-05-27 07:00:00,26.6,27.24,26.36,26.87,903900
2022-05-30 07:00:00,27.08,27.19,25.91,26.87,1206900
2022-05-31 07:00:00,26.71,27.4,26.18,27.35,1578600
2022-06-01 07:00:00,27.29,27.35,26.12,26.87,1384200
2022-06-02 07:00:00,26.87,26.87,25.64,26.02,1642400
2022-06-03 07:00:00,25.8,26.39,25.59,25.78,966300
2022-06-06 07:00:00,25.8,27.24,25.0,26.65,2471800
2022-06-07 07:00:00,26.55,28.52,26.52,28.52,3975400
2022-06-08 07:00:00,28.94,29.69,28.52,29.26,1561200
2022-06-09 07:00:00,29.0,29.37,28.68,29.26,1635300
2022-06-10 07:00:00,28.73,30.06,27.88,27.88,2452200
2022-06-13 07:00:00,26.87,29.26,26.65,27.4,2254700
2022-06-14 07:00:00,27.4,29.1,27.35,28.46,1664000
2022-06-15 07:00:00,28.2,28.84,26.71,27.66,1219100
2022-06-16 07:00:00,28.41,29.58,27.98,29.58,3971800
2022-06-17 07:00:00,29.0,31.28,29.0,31.12,3337400
2022-06-20 07:00:00,30.86,31.87,29.26,29.63,2476900
2022-06-21 07:00:00,29.1,30.22,27.61,27.61,3624700
2022-06-22 07:00:00,27.45,27.82,25.7,27.66,3132700
2022-06-23 07:00:00,27.82,29.31,27.66,29.31,1807800
2022-06-24 07:00:00,29.26,29.95,28.73,29.15,1211000
2022-06-27 07:00:00,28.84,29.74,28.84,29.1,1350600
2022-06-28 07:00:00,29.37,30.64,29.1,30.32,2243500
2022-06-29 07:00:00,30.01,30.32,29.31,30.32,1395500
2022-06-30 07:00:00,30.38,31.02,30.06,30.06,2200200
2022-07-01 07:00:00,30.06,30.06,27.98,29.21,2949800
2022-07-04 07:00:00,29.1,29.1,27.19,27.19,2073500
2022-07-05 07:00:00,27.08,27.24,26.34,27.13,2540600
2022-07-06 07:00:00,27.26,27.39,26.24,26.43,1310800
2022-07-07 07:00:00,26.18,28.03,25.41,27.93,1068700
2022-07-08 07:00:00,27.9,28.41,27.39,27.84,1024100
2022-07-11 07:00:00,27.13,27.8,26.69,27.48,699700
2022-07-12 07:00:00,27.55,28.98,27.13,28.98,1724600
2022-07-13 07:00:00,28.73,29.05,28.09,28.31,406100
2022-07-14 07:00:00,28.6,28.82,27.77,28.6,841600
2022-07-15 07:00:00,28.6,29.37,28.15,28.63,1297700
2022-07-18 07:00:00,28.92,29.3,28.38,28.38,733100
2022-07-19 07:00:00,28.47,29.94,28.44,29.56,1632200
2022-07-20 07:00:00,30.04,30.45,29.69,30.13,1623000
2022-07-21 07:00:00,30.13,30.52,29.75,30.01,781400
2022-07-22 07:00:00,29.94,30.42,29.81,30.2,881100
2022-07-25 07:00:00,29.88,31.03,29.88,31.03,1509600
2022-07-26 07:00:00,31.03,31.54,30.71,31.03,995400
2022-07-27 07:00:00,30.64,31.41,30.58,31.41,833900
2022-07-28 07:00:00,31.86,33.58,31.44,33.07,3431200
2022-07-29 07:00:00,33.2,33.84,32.69,33.77,1204900
2022-08-01 07:00:00,33.84,34.79,32.75,33.13,2794500
2022-08-02 07:00:00,32.82,33.84,32.69,33.13,2674700
2022-08-03 07:00:00,33.13,34.48,33.01,33.84,1900800
2022-08-04 07:00:00,33.84,33.9,32.69,32.69,2650400
2022-08-05 07:00:00,32.69,33.45,32.56,33.01,1530900
2022-08-08 07:00:00,33.01,34.09,32.88,33.77,1774500
2022-08-09 07:00:00,33.77,34.09,32.94,32.94,2680300
2022-08-10 07:00:00,32.88,33.45,32.69,33.39,1458700
2022-08-11 07:00:00,33.58,33.65,31.92,32.24,1855900
2022-08-12 07:00:00,32.43,33.07,32.24,33.07,1246800
2022-08-15 07:00:00,33.2,34.79,32.94,34.79,6070500
2022-08-16 07:00:00,34.79,34.98,34.28,34.48,1246900
2022-08-17 07:00:00,34.48,35.11,34.22,34.41,1715800
2022-08-18 07:00:00,34.22,34.79,33.84,34.16,1770600
2022-08-19 07:00:00,34.41,34.73,33.26,33.84,2397900
2022-08-22 07:00:00,33.65,34.03,33.13,33.96,1792100
2022-08-23 07:00:00,33.39,34.67,33.39,34.6,2463100
2022-08-24 07:00:00,34.92,35.88,34.67,35.43,3276200
2022-08-25 07:00:00,35.11,36.33,34.98,35.62,3326000
2022-08-26 07:00:00,35.5,35.94,34.79,35.05,2019900
2022-08-29 07:00:00,33.84,34.41,33.01,34.41,3121900
2022-08-30 07:00:00,34.6,34.79,34.22,34.28,1533500
2022-08-31 07:00:00,34.16,35.05,33.52,34.79,2080700
2022-09-05 07:00:00,34.98,34.98,34.48,34.48,932400
2022-09-06 07:00:00,34.73,35.37,34.48,34.48,1799600
2022-09-07 07:00:00,34.28,34.48,32.43,32.75,2638700
2022-09-08 07:00:00,33.2,33.2,32.11,32.11,1714700
2022-09-09 07:00:00,32.56,33.52,32.18,33.52,1468100
