time,open,high,low,close,volume
2022-01-04 07:00:00,20.75,22.09,20.75,22.09,3935700
2022-01-05 07:00:00,22.55,22.92,22.14,22.19,3077700
2022-01-06 07:00:00,22.19,22.19,21.77,21.77,1903000
2022-01-07 07:00:00,21.68,22.0,21.35,21.72,1960700
2022-01-10 07:00:00,21.45,22.14,21.17,21.26,3443800
2022-01-11 07:00:00,21.17,21.91,20.98,21.08,2087000
2022-01-12 07:00:00,21.08,21.91,20.66,21.72,2281200
2022-01-13 07:00:00,22.32,22.32,20.98,21.08,1453200
2022-01-14 07:00:00,20.48,21.4,20.48,20.8,1008000
2022-01-17 07:00:00,21.17,21.17,19.37,19.37,3023600
2022-01-18 07:00:00,18.86,19.37,18.12,18.49,1574300
2022-01-19 07:00:00,18.49,18.95,18.44,18.95,739200
2022-01-20 07:00:00,18.95,19.78,18.86,19.78,867300
2022-01-21 07:00:00,20.15,20.15,19.13,19.13,1270200
2022-01-24 07:00:00,18.03,18.81,17.84,17.84,1948600
2022-01-25 07:00:00,17.1,18.49,17.1,18.35,828700
2022-01-26 07:00:00,18.58,18.58,17.66,17.66,1120400
2022-01-27 07:00:00,17.75,17.75,17.24,17.56,556000
2022-01-28 07:00:00,17.84,17.84,17.29,17.47,814000
2022-02-07 07:00:00,17.89,18.67,17.75,18.67,995400
2022-02-08 07:00:00,18.67,19.69,18.4,19.5,1323200
2022-02-09 07:00:00,19.5,20.06,19.41,20.06,1053800
2022-02-10 07:00:00,20.15,20.38,19.41,19.87,1291100
2022-02-11 07:00:00,20.06,20.06,19.6,19.97,588700
2022-02-14 07:00:00,19.41,20.34,19.41,19.46,983700
2022-02-15 07:00:00,19.5,19.87,19.41,19.83,628600
2022-02-16 07:00:00,19.92,20.15,19.87,20.15,712400
2022-02-17 07:00:00,20.15,20.29,19.78,19.97,498000
2022-02-18 07:00:00,19.69,20.24,19.6,20.11,834400
2022-02-21 07:00:00,19.87,20.94,19.87,20.89,1957800
2022-02-22 07:00:00,20.66,20.84,19.87,20.75,1320600
2022-02-23 07:00:00,20.75,21.08,20.52,20.75,833800
2022-02-24 07:00:00,20.61,20.8,19.6,20.11,1868800
