time,open,high,low,close,volume
2022-01-04 07:00:00,31.66,31.66,31.04,31.04,700
2022-01-05 07:00:00,31.04,31.29,31.04,31.13,6400
2022-01-06 07:00:00,31.13,31.13,31.13,31.13,2600
2022-01-07 07:00:00,31.0,31.09,31.0,31.04,7200
2022-01-10 07:00:00,31.09,31.17,31.09,31.09,5700
2022-01-11 07:00:00,31.09,31.37,31.09,31.37,8400
2022-01-12 07:00:00,31.37,31.37,31.0,31.0,34000
2022-01-13 07:00:00,31.82,31.82,31.04,31.13,13300
2022-01-14 07:00:00,31.09,31.25,31.09,31.25,2500
2022-01-17 07:00:00,31.29,31.29,31.09,31.13,2900
2022-01-18 07:00:00,31.25,31.45,31.25,31.41,20600
2022-01-19 07:00:00,31.62,31.62,31.25,31.25,2400
2022-01-21 07:00:00,31.41,31.41,31.41,31.41,4000
2022-01-24 07:00:00,31.21,31.41,31.21,31.21,14700
2022-01-25 07:00:00,31.41,31.41,31.41,31.41,5500
2022-01-26 07:00:00,31.41,31.41,31.29,31.29,1100
2022-01-27 07:00:00,31.29,31.58,31.29,31.58,400
2022-01-28 07:00:00,31.25,31.82,31.21,31.41,8600
2022-02-07 07:00:00,31.82,32.55,31.41,32.55,8400
2022-02-08 07:00:00,31.82,32.59,31.62,32.06,5700
2022-02-09 07:00:00,32.06,33.41,31.66,33.41,61800
2022-02-10 07:00:00,31.82,35.25,31.82,35.25,87600
2022-02-11 07:00:00,35.21,35.25,32.8,32.8,14300
2022-02-14 07:00:00,34.23,34.23,32.27,32.27,1500
2022-02-15 07:00:00,34.51,34.51,32.23,34.23,41900
2022-02-16 07:00:00,34.15,34.15,33.45,33.45,900
2022-02-17 07:00:00,32.23,32.84,32.23,32.8,5300
2022-02-18 07:00:00,33.45,33.45,32.47,33.45,300
2022-02-21 07:00:00,33.45,33.45,32.31,32.39,19300
2022-02-22 07:00:00,33.04,33.04,32.43,32.43,6300
2022-02-23 07:00:00,32.43,32.84,32.43,32.59,4500
2022-02-24 07:00:00,32.59,33.0,32.43,32.43,1000
2022-02-25 07:00:00,31.13,33.04,31.13,32.55,1000
2022-02-28 07:00:00,31.82,32.64,31.82,32.02,7500
2022-03-01 07:00:00,32.23,33.45,31.94,33.25,6100
2022-03-02 07:00:00,31.78,33.13,31.78,32.15,800
2022-03-03 07:00:00,32.15,32.15,32.15,32.15,600
2022-03-04 07:00:00,32.64,32.64,31.94,32.02,4000
2022-03-07 07:00:00,31.94,31.94,31.94,31.94,600
2022-03-08 07:00:00,31.94,32.51,31.94,31.94,6800
2022-03-09 07:00:00,31.7,31.7,30.19,31.53,12400
2022-03-10 07:00:00,31.82,31.82,31.62,31.62,7200
2022-03-11 07:00:00,31.45,31.45,30.8,31.0,25200
2022-03-14 07:00:00,30.76,30.76,30.19,30.6,9400
2022-03-15 07:00:00,30.6,31.37,30.6,30.6,1400
2022-03-16 07:00:00,30.6,30.6,30.6,30.6,8400
2022-03-17 07:00:00,30.51,30.56,30.51,30.56,1700
2022-03-18 07:00:00,29.78,30.6,29.78,30.56,900
2022-03-21 07:00:00,30.56,31.0,30.56,30.6,2300
2022-03-22 07:00:00,30.6,30.6,30.39,30.56,6800
2022-03-23 07:00:00,31.0,31.0,30.23,30.31,5100
2022-03-24 07:00:00,30.51,30.56,30.51,30.56,500
2022-03-25 07:00:00,30.56,30.56,30.43,30.43,2800
2022-03-28 07:00:00,30.43,30.51,30.43,30.43,2400
2022-03-29 07:00:00,30.6,30.8,30.56,30.56,8000
2022-03-30 07:00:00,30.6,30.72,30.6,30.6,12000
2022-03-31 07:00:00,30.64,30.64,30.6,30.6,10100
2022-04-01 07:00:00,30.64,30.64,30.64,30.64,1500
2022-04-04 07:00:00,30.64,30.88,30.6,30.88,11000
2022-04-05 07:00:00,30.88,31.04,30.64,30.8,10400
2022-04-06 07:00:00,30.68,31.29,30.68,31.25,700
2022-04-07 07:00:00,31.25,31.25,30.6,30.6,9300
2022-04-08 07:00:00,30.6,30.6,30.27,30.51,1200
2022-04-12 07:00:00,30.19,30.23,30.19,30.19,12600
2022-04-13 07:00:00,30.23,30.39,30.19,30.39,5600
2022-04-14 07:00:00,30.39,30.39,30.35,30.35,400
2022-04-15 07:00:00,29.98,30.31,29.98,30.31,4300
2022-04-18 07:00:00,30.31,30.31,30.19,30.19,4700
2022-04-19 07:00:00,30.19,30.19,29.98,29.98,13100
2022-04-20 07:00:00,30.31,31.21,29.98,29.98,14700
2022-04-21 07:00:00,29.94,29.94,29.78,29.86,9700
2022-04-22 07:00:00,29.86,30.56,29.82,30.56,6100
