time,open,high,low,close,volume
2022-01-04 07:00:00,7.83,8.03,7.83,7.87,272936
2022-01-05 07:00:00,7.91,7.91,7.79,7.87,321501
2022-01-06 07:00:00,7.83,8.59,7.75,8.31,1268194
2022-01-07 07:00:00,8.35,8.51,8.23,8.31,352989
2022-01-10 07:00:00,8.27,8.31,7.99,7.99,224378
2022-01-11 07:00:00,7.99,7.99,7.79,7.87,401424
2022-01-12 07:00:00,7.87,8.03,7.67,8.03,324242
2022-01-13 07:00:00,8.15,8.43,7.99,8.11,665563
2022-01-14 07:00:00,8.11,8.11,7.67,7.99,262983
2022-01-17 07:00:00,7.95,7.99,7.67,7.67,204831
2022-01-18 07:00:00,7.67,7.67,7.43,7.55,360340
2022-01-19 07:00:00,7.55,7.63,7.47,7.47,146042
2022-01-20 07:00:00,7.47,7.55,7.43,7.55,236505
2022-01-21 07:00:00,7.55,7.79,7.55,7.63,137370
2022-01-24 07:00:00,7.67,7.67,7.47,7.51,228700
2022-01-25 07:00:00,7.47,7.63,7.39,7.63,172824
2022-01-26 07:00:00,7.75,7.91,7.55,7.87,314505
2022-01-27 07:00:00,7.83,7.91,7.75,7.79,119952
2022-01-28 07:00:00,7.83,7.91,7.79,7.87,115022
2022-02-07 07:00:00,7.91,8.03,7.87,7.99,215012
2022-02-08 07:00:00,7.99,8.07,7.91,8.03,290066
2022-02-09 07:00:00,8.03,8.19,8.03,8.11,414557
2022-02-10 07:00:00,8.11,8.19,8.07,8.19,701828
2022-02-11 07:00:00,8.19,8.27,8.15,8.23,606037
2022-02-14 07:00:00,8.23,8.23,7.99,8.07,473428
2022-02-15 07:00:00,8.07,8.07,7.95,8.03,243100
2022-02-16 07:00:00,8.03,8.11,7.99,8.07,213361
2022-02-17 07:00:00,8.07,8.23,8.07,8.15,214587
2022-02-18 07:00:00,8.15,8.27,8.07,8.23,465370
2022-02-21 07:00:00,8.19,8.23,8.11,8.19,151819
2022-02-22 07:00:00,8.15,8.15,8.03,8.15,215853
2022-02-23 07:00:00,8.11,8.27,8.11,8.23,221869
2022-02-24 07:00:00,8.23,8.27,7.99,8.11,496328
2022-02-25 07:00:00,8.07,8.27,8.03,8.19,310220
2022-02-28 07:00:00,8.19,8.19,8.11,8.11,140703
2022-03-01 07:00:00,8.07,8.15,8.07,8.11,213040
2022-03-02 07:00:00,8.07,8.11,7.95,7.99,347012
2022-03-03 07:00:00,7.99,8.07,7.99,8.07,144500
2022-03-04 07:00:00,8.07,8.11,7.99,7.99,224400
2022-03-07 07:00:00,7.99,8.03,7.91,7.95,225572
2022-03-08 07:00:00,7.91,7.91,7.83,7.83,281706
2022-03-09 07:00:00,7.83,7.95,7.79,7.83,186494
2022-03-10 07:00:00,7.91,7.91,7.83,7.87,155754
2022-03-11 07:00:00,7.83,7.87,7.75,7.79,212754
2022-03-14 07:00:00,7.79,7.83,7.63,7.71,137836
2022-03-15 07:00:00,7.71,7.75,7.55,7.67,113902
2022-03-16 07:00:00,7.71,7.75,7.67,7.71,128593
2022-03-17 07:00:00,7.71,7.79,7.71,7.75,143483
2022-03-18 07:00:00,7.75,7.87,7.75,7.83,138065
2022-03-21 07:00:00,7.79,7.83,7.75,7.75,118604
2022-03-22 07:00:00,7.75,7.83,7.75,7.79,339982
2022-03-23 07:00:00,7.79,7.87,7.79,7.79,107766
2022-03-24 07:00:00,7.83,7.83,7.75,7.83,192472
2022-03-25 07:00:00,7.83,7.87,7.79,7.83,182146
2022-03-28 07:00:00,7.79,7.83,7.75,7.75,157644
2022-03-29 07:00:00,7.83,8.23,7.71,8.19,649775
2022-03-30 07:00:00,8.19,8.35,7.99,8.15,975269
