time,open,high,low,close,volume
2022-01-04 07:00:00,16.47,17.14,16.33,17.01,5887700
2022-01-05 07:00:00,17.21,17.24,16.74,16.8,3523500
2022-01-06 07:00:00,16.63,17.17,16.6,16.77,2807900
2022-01-07 07:00:00,17.01,17.14,16.87,16.87,3965000
2022-01-10 07:00:00,16.8,17.07,16.2,16.2,3735200
2022-01-11 07:00:00,16.2,16.26,15.79,15.79,2974100
2022-01-12 07:00:00,15.99,16.53,15.55,16.13,3181400
2022-01-13 07:00:00,16.43,16.43,15.59,15.59,2487300
2022-01-14 07:00:00,15.28,15.93,15.25,15.72,1530300
2022-01-17 07:00:00,15.99,16.09,14.78,14.81,3172400
2022-01-18 07:00:00,14.61,15.25,13.8,14.17,3977900
2022-01-19 07:00:00,14.44,14.64,14.17,14.37,2156800
2022-01-20 07:00:00,14.37,15.01,14.17,15.01,1365700
2022-01-21 07:00:00,14.98,15.15,14.68,14.71,2193000
2022-01-24 07:00:00,14.85,15.12,14.17,14.61,2553900
2022-01-25 07:00:00,14.34,14.71,14.17,14.51,1422200
2022-01-26 07:00:00,14.64,14.78,14.41,14.44,1708100
2022-01-27 07:00:00,14.68,14.68,14.1,14.17,1890100
2022-01-28 07:00:00,14.31,14.51,13.9,14.31,1921700
2022-02-07 07:00:00,14.85,14.98,14.64,14.78,1551900
2022-02-08 07:00:00,14.85,15.15,14.71,15.01,1424500
2022-02-09 07:00:00,15.12,15.66,15.01,15.52,2237400
2022-02-10 07:00:00,15.79,15.82,15.42,15.59,1591900
2022-02-11 07:00:00,15.59,15.82,15.39,15.42,1430100
2022-02-14 07:00:00,15.45,15.86,15.45,15.66,2893000
2022-02-15 07:00:00,15.76,15.76,15.32,15.39,1599800
2022-02-16 07:00:00,15.32,15.52,15.22,15.49,1518300
2022-02-17 07:00:00,15.49,15.99,15.42,15.55,4751400
2022-02-18 07:00:00,15.52,15.79,15.42,15.45,1519200
2022-02-21 07:00:00,15.49,15.72,15.42,15.52,2110500
2022-02-22 07:00:00,15.45,15.89,15.42,15.69,3956300
2022-02-23 07:00:00,15.93,16.77,15.79,16.77,10558400
2022-02-24 07:00:00,16.74,17.38,16.57,16.87,8880500
2022-02-25 07:00:00,16.8,16.94,16.33,16.4,3829400
2022-02-28 07:00:00,16.53,17.34,16.47,16.8,5945500
2022-03-01 07:00:00,16.87,17.11,16.77,16.87,4572700
2022-03-02 07:00:00,17.75,17.82,17.31,17.55,9083500
2022-03-03 07:00:00,17.88,18.76,17.48,18.76,16894900
2022-03-04 07:00:00,18.89,19.23,18.25,18.49,5329600
2022-03-07 07:00:00,19.23,19.77,18.89,19.64,7833800
2022-03-08 07:00:00,18.96,19.5,18.69,18.69,8899100
2022-03-09 07:00:00,18.93,19.91,18.35,19.2,12877500
2022-03-10 07:00:00,19.1,19.1,18.56,18.66,5822400
2022-03-11 07:00:00,18.42,18.89,17.41,17.75,9261700
2022-03-14 07:00:00,17.41,17.61,16.63,16.63,9150400
2022-03-15 07:00:00,16.33,17.51,16.13,17.21,5572900
2022-03-16 07:00:00,17.28,17.51,17.01,17.07,2645100
2022-03-17 07:00:00,17.04,17.71,16.74,17.41,4745000
2022-03-18 07:00:00,17.82,17.88,17.41,17.41,4453900
2022-03-21 07:00:00,17.55,17.82,17.17,17.55,4150200
2022-03-22 07:00:00,17.88,18.08,17.61,17.78,4420400
2022-03-23 07:00:00,17.78,17.88,17.28,17.34,4302600
2022-03-24 07:00:00,17.65,17.68,17.28,17.28,3525600
2022-03-25 07:00:00,17.21,17.44,17.07,17.28,4033000
2022-03-28 07:00:00,17.07,17.82,17.04,17.55,3593400
2022-03-29 07:00:00,17.55,18.15,17.34,18.02,6931700
2022-03-30 07:00:00,17.82,18.15,17.28,17.28,4563500
2022-03-31 07:00:00,17.41,17.68,16.97,17.34,3031800
2022-04-01 07:00:00,17.01,17.34,16.74,17.07,4066200
2022-04-04 07:00:00,17.41,17.41,16.8,16.94,4344100
2022-04-05 07:00:00,17.07,17.28,16.87,16.9,2927200
2022-04-06 07:00:00,16.87,17.01,16.43,16.53,4859100
2022-04-07 07:00:00,16.53,16.94,16.43,16.67,3706000
2022-04-08 07:00:00,16.74,16.8,16.06,16.06,2629100
2022-04-12 07:00:00,16.09,16.36,15.52,15.52,4786400
2022-04-13 07:00:00,15.86,15.99,15.39,15.89,3018400
2022-04-14 07:00:00,15.93,16.53,15.89,16.06,2496900
2022-04-15 07:00:00,16.09,16.36,15.79,15.86,2060700
2022-04-18 07:00:00,15.69,16.09,14.98,15.18,3873200
2022-04-19 07:00:00,15.35,15.86,15.12,15.52,3770800
2022-04-20 07:00:00,15.45,15.69,14.51,14.51,3631800
2022-04-21 07:00:00,14.27,15.05,13.56,14.17,6094800
