time,open,high,low,close,volume
2022-01-04 07:00:00,17.27,17.98,17.02,17.45,10533500
2022-01-05 07:00:00,17.7,18.2,17.48,17.58,12020700
2022-01-06 07:00:00,17.39,18.26,17.33,18.01,16472400
2022-01-07 07:00:00,18.2,18.26,17.7,17.7,11140800
2022-01-10 07:00:00,17.7,18.91,17.2,17.39,24750500
2022-01-11 07:00:00,17.7,18.07,17.39,17.58,16555300
2022-01-12 07:00:00,17.3,17.64,16.37,16.37,25635900
2022-01-13 07:00:00,16.7,16.74,15.23,15.29,15361800
2022-01-14 07:00:00,14.76,16.23,14.76,15.96,10540400
2022-01-17 07:00:00,15.96,16.16,14.86,14.86,9776400
2022-01-18 07:00:00,14.76,14.82,13.82,13.82,9533000
2022-01-19 07:00:00,13.68,14.39,13.68,14.02,8403900
2022-01-20 07:00:00,14.22,14.99,14.09,14.99,4749700
2022-01-21 07:00:00,15.29,15.49,14.79,15.23,7814300
2022-01-24 07:00:00,14.89,15.02,14.19,14.19,7735400
2022-01-25 07:00:00,13.95,14.35,13.48,14.25,7052800
2022-01-26 07:00:00,14.35,14.42,13.28,13.28,11562000
2022-01-27 07:00:00,13.15,13.68,12.95,13.08,5029400
2022-01-28 07:00:00,13.41,13.41,12.51,13.25,5942100
2022-02-07 07:00:00,13.48,13.99,13.45,13.72,3212800
2022-02-08 07:00:00,13.72,13.95,13.48,13.68,4625000
2022-02-09 07:00:00,13.68,14.29,13.58,14.12,6708900
2022-02-10 07:00:00,14.25,14.52,14.05,14.09,4121200
2022-02-11 07:00:00,13.95,14.12,13.82,13.88,3904100
2022-02-14 07:00:00,13.45,13.95,13.45,13.62,5391000
2022-02-15 07:00:00,13.62,14.02,13.62,13.92,3551200
2022-02-16 07:00:00,13.99,14.89,13.99,14.66,12077500
2022-02-17 07:00:00,14.66,14.82,14.52,14.59,5242900
2022-02-18 07:00:00,14.42,15.09,14.32,15.09,9121900
2022-02-21 07:00:00,15.16,15.66,15.16,15.19,10950300
2022-02-22 07:00:00,14.89,15.13,14.42,14.72,10909400
2022-02-23 07:00:00,14.76,15.02,14.72,14.76,5516200
2022-02-24 07:00:00,14.62,14.92,13.75,14.29,12740200
2022-02-25 07:00:00,14.49,14.76,14.39,14.45,6127500
2022-02-28 07:00:00,14.45,14.52,14.25,14.32,4824400
2022-03-01 07:00:00,14.32,14.86,14.25,14.49,7163500
2022-03-02 07:00:00,14.39,14.66,14.09,14.19,8764300
2022-03-03 07:00:00,14.25,14.52,14.15,14.35,5453800
