time,open,high,low,close,volume
2022-01-04 07:00:00,44.44,44.66,43.88,44.44,1133800
2022-01-05 07:00:00,44.44,45.23,43.88,43.88,1603100
2022-01-06 07:00:00,44.21,44.94,43.82,44.49,1215600
2022-01-07 07:00:00,44.78,44.94,43.99,44.89,966200
2022-01-10 07:00:00,44.83,44.94,44.16,44.72,1097000
2022-01-11 07:00:00,45.0,45.0,44.16,44.66,952700
2022-01-12 07:00:00,44.66,45.0,43.88,45.0,1801500
2022-01-13 07:00:00,45.28,47.48,45.11,46.07,2532800
2022-01-14 07:00:00,46.07,46.91,45.56,46.91,1522100
2022-01-17 07:00:00,46.69,49.5,46.29,48.49,2628500
2022-01-18 07:00:00,48.09,49.28,47.25,49.28,1696600
2022-01-19 07:00:00,49.22,49.22,47.81,48.83,914800
2022-01-20 07:00:00,47.93,49.22,46.74,48.99,2794300
2022-01-21 07:00:00,48.88,50.63,48.43,50.18,2502300
2022-01-24 07:00:00,50.29,52.59,49.61,52.31,2728300
2022-01-25 07:00:00,52.03,54.0,50.06,53.89,2396600
2022-01-26 07:00:00,53.89,53.89,52.09,53.16,2523500
2022-01-27 07:00:00,52.31,53.16,50.85,51.19,1732900
2022-01-28 07:00:00,51.19,51.75,50.06,50.06,2055700
2022-02-07 07:00:00,50.96,52.26,50.34,51.98,1620800
2022-02-08 07:00:00,51.98,51.98,50.68,51.75,1146400
2022-02-09 07:00:00,51.3,51.69,50.79,51.08,1582900
2022-02-10 07:00:00,51.24,52.54,51.19,51.36,1827200
2022-02-11 07:00:00,51.36,51.53,50.63,50.63,1158400
2022-02-14 07:00:00,49.56,49.95,48.38,48.38,3629100
2022-02-15 07:00:00,48.38,49.67,47.14,48.94,2453500
2022-02-16 07:00:00,49.22,49.44,48.6,48.94,1286000
2022-02-17 07:00:00,48.94,49.33,48.83,49.22,1431200
2022-02-18 07:00:00,48.6,49.22,48.6,49.05,1066200
2022-02-21 07:00:00,48.71,49.28,48.71,49.16,1017900
2022-02-22 07:00:00,48.94,48.94,47.81,48.83,1540200
2022-02-23 07:00:00,48.94,48.94,48.26,48.88,986300
2022-02-24 07:00:00,48.77,48.83,47.81,47.98,2078700
2022-02-25 07:00:00,47.98,48.32,47.81,47.87,1616500
2022-02-28 07:00:00,47.87,47.87,47.48,47.53,1322100
2022-03-01 07:00:00,47.53,48.04,47.31,47.81,1295400
2022-03-02 07:00:00,48.15,48.15,47.36,47.81,1655600
2022-03-03 07:00:00,47.81,48.09,47.64,48.09,1052200
2022-03-04 07:00:00,47.93,48.09,47.7,47.76,1058100
2022-03-07 07:00:00,47.42,47.76,47.19,47.76,1002800
2022-03-08 07:00:00,47.14,47.53,45.84,45.84,2936300
2022-03-09 07:00:00,46.01,46.74,45.96,46.69,1325300
2022-03-10 07:00:00,46.69,47.08,46.63,46.97,1154100
2022-03-11 07:00:00,47.08,47.19,46.69,47.14,876100
2022-03-14 07:00:00,46.86,47.36,46.8,47.36,1438200
2022-03-15 07:00:00,47.25,47.31,45.56,45.62,2385900
2022-03-16 07:00:00,45.73,46.8,45.73,46.41,1000600
2022-03-17 07:00:00,46.69,46.97,46.52,46.69,1222400
2022-03-18 07:00:00,46.74,47.93,46.63,47.36,1406600
2022-03-21 07:00:00,47.36,48.09,47.25,47.76,933900
2022-03-22 07:00:00,47.76,48.09,47.76,47.76,775100
2022-03-23 07:00:00,47.76,48.15,47.76,47.76,966600
2022-03-24 07:00:00,47.76,47.76,46.97,46.97,570200
2022-03-25 07:00:00,47.25,47.25,46.13,46.41,1137800
2022-03-28 07:00:00,46.69,46.69,46.13,46.35,725400
2022-03-29 07:00:00,46.35,46.69,45.9,46.07,1018600
2022-03-30 07:00:00,46.01,46.97,45.84,46.13,913900
2022-03-31 07:00:00,46.13,46.46,46.13,46.18,492400
2022-04-01 07:00:00,46.18,47.03,45.62,46.58,900300
2022-04-04 07:00:00,46.8,47.31,46.46,46.46,712000
2022-04-05 07:00:00,46.58,46.8,46.46,46.69,526100
2022-04-06 07:00:00,46.63,47.81,45.96,47.59,2009600
2022-04-07 07:00:00,47.76,47.93,46.69,46.69,928000
2022-04-08 07:00:00,47.19,47.19,46.63,46.69,788200
2022-04-12 07:00:00,46.69,46.8,45.9,46.35,841300
2022-04-13 07:00:00,46.69,46.74,46.13,46.35,850700
2022-04-14 07:00:00,46.35,46.63,45.56,45.56,1151400
2022-04-15 07:00:00,45.68,45.84,45.11,45.11,894800
2022-04-18 07:00:00,45.0,45.11,43.65,43.71,1237300
2022-04-19 07:00:00,43.76,44.16,43.65,43.71,1003400
2022-04-20 07:00:00,43.88,44.38,43.71,44.1,904600
2022-04-21 07:00:00,44.1,44.55,43.99,44.1,2178200
2022-04-22 07:00:00,44.49,46.46,44.49,46.24,2776600
2022-04-25 07:00:00,46.24,46.69,43.31,46.01,2479400
2022-04-26 07:00:00,44.44,45.28,44.44,45.28,1912000
2022-04-27 07:00:00,44.94,46.13,43.99,45.84,1429800
2022-04-28 07:00:00,45.84,45.9,44.72,45.84,564100
2022-04-29 07:00:00,45.79,46.29,45.0,45.51,1259200
2022-05-04 07:00:00,45.51,45.56,44.44,44.94,892600
2022-05-05 07:00:00,45.28,45.84,44.78,45.56,1019300
2022-05-06 07:00:00,44.83,45.68,44.66,44.66,775900
2022-05-09 07:00:00,44.33,45.23,43.76,43.82,1674200
2022-05-10 07:00:00,43.37,45.0,43.37,45.0,926000
2022-05-11 07:00:00,45.0,45.17,44.44,45.0,931300
2022-05-12 07:00:00,44.44,44.94,43.31,43.31,972300
2022-05-13 07:00:00,43.31,43.88,41.06,41.06,1963600
2022-05-16 07:00:00,42.47,42.98,41.63,41.74,1558800
2022-05-17 07:00:00,41.74,43.31,41.12,42.75,2262300
2022-05-18 07:00:00,43.31,43.31,42.19,42.41,881000
2022-05-19 07:00:00,42.19,43.14,42.08,42.75,575800
2022-05-20 07:00:00,42.24,43.03,42.19,42.36,661800
2022-05-23 07:00:00,42.53,42.53,41.4,41.85,631600
2022-05-24 07:00:00,42.13,42.58,41.79,42.53,898700
2022-05-25 07:00:00,42.75,43.31,42.08,43.31,817000
2022-05-26 07:00:00,43.31,43.37,42.75,43.14,978900
2022-05-27 07:00:00,43.14,43.54,42.92,43.54,892000
2022-05-30 07:00:00,43.54,45.56,42.98,43.88,1327400
2022-05-31 07:00:00,44.38,44.38,43.88,44.38,483700
2022-06-01 07:00:00,44.44,45.28,44.44,45.28,798800
2022-06-02 07:00:00,45.45,45.45,44.44,44.44,641400
2022-06-03 07:00:00,44.1,44.72,42.98,43.59,527800
2022-06-06 07:00:00,43.59,45.0,42.24,44.83,880500
2022-06-07 07:00:00,44.44,46.13,43.93,45.56,933000
2022-06-08 07:00:00,45.56,45.56,44.33,44.55,1164700
2022-06-09 07:00:00,44.44,44.94,43.71,43.76,1067500
2022-06-10 07:00:00,43.76,44.44,43.54,43.71,390900
2022-06-13 07:00:00,43.31,43.31,41.68,42.98,1105800
2022-06-14 07:00:00,42.47,43.93,41.63,43.31,1066200
2022-06-15 07:00:00,43.54,44.04,42.36,43.03,1243600
2022-06-16 07:00:00,43.14,45.0,43.03,44.49,1209600
2022-06-17 07:00:00,43.31,44.04,42.81,42.81,1050600
2022-06-20 07:00:00,44.72,44.72,42.36,42.75,1089700
2022-06-21 07:00:00,42.75,43.71,42.3,43.71,937100
