time,open,high,low,close,volume
2022-01-04 07:00:00,26.83,27.58,26.8,27.12,5138300
2022-01-05 07:00:00,27.12,27.71,26.83,26.83,6570000
2022-01-06 07:00:00,26.73,27.16,26.47,26.54,5635300
2022-01-07 07:00:00,26.31,26.7,26.05,26.14,6086000
2022-01-10 07:00:00,25.98,26.34,25.23,25.23,11309600
2022-01-11 07:00:00,25.82,25.82,23.86,23.86,9943500
2022-01-12 07:00:00,23.69,25.07,23.53,24.97,7979000
2022-01-13 07:00:00,25.13,25.29,23.6,23.82,5859200
2022-01-14 07:00:00,23.53,24.12,23.53,23.53,3774600
2022-01-17 07:00:00,23.53,23.66,21.9,21.9,15771000
2022-01-18 07:00:00,21.28,21.57,20.39,20.39,10178000
2022-01-19 07:00:00,21.08,21.8,20.82,21.8,5719000
2022-01-20 07:00:00,21.9,22.71,21.18,22.16,5270900
2022-01-21 07:00:00,22.12,22.12,21.47,21.5,3340700
2022-01-24 07:00:00,20.88,21.18,20.0,20.0,10824100
2022-01-25 07:00:00,19.8,20.59,19.31,20.49,4062100
2022-01-26 07:00:00,20.59,21.05,20.1,20.56,4556200
2022-01-27 07:00:00,20.39,21.83,20.29,21.24,4314900
2022-01-28 07:00:00,21.24,22.55,21.18,22.55,4715200
2022-02-07 07:00:00,22.81,23.46,22.62,23.01,4058400
2022-02-08 07:00:00,23.04,23.04,22.29,22.88,2728600
2022-02-09 07:00:00,22.88,23.82,22.71,23.53,5053900
2022-02-10 07:00:00,23.5,23.76,22.91,23.2,2717400
2022-02-11 07:00:00,23.07,23.6,22.94,23.37,3188400
2022-02-14 07:00:00,22.78,23.2,22.22,22.22,4523800
2022-02-15 07:00:00,22.55,23.07,22.06,22.97,4099300
2022-02-16 07:00:00,23.2,23.86,23.04,23.37,2751100
2022-02-17 07:00:00,23.37,23.5,23.11,23.24,2532600
2022-02-18 07:00:00,22.91,23.82,22.81,23.56,4821000
2022-02-21 07:00:00,23.73,24.84,23.69,24.54,5775200
2022-02-22 07:00:00,24.09,24.45,23.69,24.02,4542100
