symbol,date,open,high,low,close,volume
ZZZZZZ,2020-05-20 07:00:00,6.38,6.47,6.35,6.41,3116422.0
123,2023-07-14 07:00:00,15.48,15.51,15.3,15.44,6897700.0
123,2021-06-07 07:00:00,6.41,6.48,6.39,6.39,34700.0
123,2022-08-19 07:00:00,16.89,17.6,16.7,17.13,296000.0
ZZZZZZ,2018-01-25 07:00:00,1.4,1.5,1.3,1.4,476010.0
123,2018-05-17 07:00:00,0.9,0.9,0.8,0.8,456600.0
123,2023-01-27 07:00:00,0.7,0.8,0.7,0.7,637397.0
ZZZZZZ,2024-05-10 07:00:00,0.6,0.6,0.5,0.6,414820.0
123,2018-01-04 07:00:00,69.96,70.61,65.86,70.61,189522.0
123,2020-09-01 07:00:00,35.0,35.3,35.0,35.24,220088.0
123,2019-12-10 07:00:00,7.31,7.31,7.22,7.22,4200.0
ZZZZZZ,2021-11-18 07:00:00,17.57,17.57,17.57,17.57,1200.0
ZZZZZZ,2024-07-24 07:00:00,7.9,8.1,7.8,8.1,72609.0
123,2024-11-01 07:00:00,7.4,7.4,7.0,7.3,141677.0
123,2025-10-06 07:00:00,9.8,9.9,9.7,9.7,66200.0
123,2021-09-01 07:00:00,5.85,6.03,5.5,5.76,79300.0
ZZZZZZ,2024-08-28 07:00:00,8.25,8.25,8.25,8.25,902.0
123,2021-09-24 07:00:00,24.69,24.8,24.12,24.35,298200.0
123,2020-11-11 07:00:00,7.84,7.84,7.74,7.74,201.0
ZZZZZZ,2025-12-25 07:00:00,6.9,7.1,6.9,7.1,21800.0
123,2023-04-11 07:00:00,7.95,7.95,7.77,7.95,2100.0
123,2024-07-16 07:00:00,17.07,17.07,16.45,16.59,3190900.0
ZZZZZZ,2021-12-02 07:00:00,34.5,34.5,33.05,33.05,62680.0
123,2017-11-13 07:00:00,2.94,2.98,2.91,2.94,253860.0
ZZZZZZ,2021-03-02 07:00:00,5.55,5.55,5.43,5.45,1231200.0
ZZZZZZ,2025-04-22 07:00:00,10.2,10.6,9.99,10.6,990300.0
ZZZZZZ,2016-12-27 07:00:00,6.68,6.7,6.66,6.66,1865220.0
ZZZZZZ,2017-07-07 07:00:00,6.36,6.38,6.27,6.27,1629280.0
ZZZZZZ,2018-11-27 07:00:00,5.23,5.25,5.1,5.13,3066680.0
123,2019-02-27 07:00:00,4.06,4.06,4.03,4.03,1647850.0
ZZZZZZ,2025-04-16 07:00:00,16.3,16.7,15.0,15.4,142804.0
123,2025-08-04 07:00:00,14.8,15.1,14.6,14.8,125100.0
ZZZZZZ,2026-03-24 07:00:00,10.0,10.2,9.9,10.0,128100.0
123,2019-06-21 07:00:00,11.18,11.18,11.18,11.18,5800.0
123,2025-03-25 07:00:00,11.16,11.16,11.07,11.07,3912.0
ZZZZZZ,2019-10-18 07:00:00,10.92,10.92,10.92,10.92,200.0
ZZZZZZ,2019-04-10 07:00:00,4.25,4.25,4.25,4.25,500.0
ZZZZZZ,2026-03-10 07:00:00,15.9,15.9,14.7,14.7,3800.0
ZZZZZZ,2020-04-10 07:00:00,17.96,17.96,17.32,17.32,3400.0
123,2021-05-06 07:00:00,51.67,52.32,50.18,52.32,117800.0
123,2021-11-05 07:00:00,49.38,50.98,49.38,50.79,589700.0
123,2023-10-11 07:00:00,65.72,65.72,64.57,65.24,169000.0
ZZZZZZ,2016-03-11 07:00:00,5.27,5.77,5.27,5.77,1000.0
123,2020-08-07 07:00:00,9.15,9.15,9.15,9.15,400.0
123,2018-01-16 07:00:00,12.84,12.84,12.84,12.84,3000.0
123,2023-03-15 07:00:00,10.5,11.7,10.2,11.7,10760.0
ZZZZZZ,2025-12-04 07:00:00,9.5,9.6,9.5,9.6,5400.0
ZZZZZZ,2025-10-03 07:00:00,26.0,26.2,25.7,26.0,2400.0
ZZZZZZ,2024-05-22 07:00:00,10.3,10.3,10.3,10.3,100.0
123,2022-12-15 07:00:00,4.66,4.74,4.58,4.58,31107.0
123,2018-06-14 07:00:00,5.99,5.99,5.99,5.99,100.0
123,2024-01-22 07:00:00,3.5,3.5,3.4,3.4,500.0
123,2017-09-27 07:00:00,5.21,5.21,5.21,5.21,600.0
123,2020-10-21 07:00:00,9.04,9.04,8.98,9.01,14890.0
ZZZZZZ,2021-11-18 07:00:00,11.94,12.35,11.47,12.14,3900.0
ZZZZZZ,2023-05-17 07:00:00,10.72,10.72,10.43,10.69,17400.0
ZZZZZZ,2023-12-26 07:00:00,13.27,13.27,13.02,13.02,51300.0
123,2025-02-28 07:00:00,11.85,11.89,11.8,11.85,11200.0
123,2024-08-22 07:00:00,5.5,5.5,5.3,5.4,3398.0
123,2025-03-06 07:00:00,5.2,5.2,5.2,5.2,1500.0
ZZZZZZ,2019-06-07 07:00:00,6.32,6.32,6.32,6.32,100.0
123,2024-07-05 07:00:00,12.48,12.48,12.48,12.48,100.0
ZZZZZZ,2025-12-25 07:00:00,15.0,15.0,15.0,15.0,800.0
ZZZZZZ,2022-06-06 07:00:00,27.88,27.88,27.88,27.88,100.0
123,2024-01-19 07:00:00,8.02,8.02,8.02,8.02,414.0
ZZZZZZ,2024-02-21 07:00:00,11.31,11.31,9.66,9.66,18300.0
ZZZZZZ,2022-01-20 07:00:00,31.26,32.4,31.08,32.31,142477.0
ZZZZZZ,2024-07-15 07:00:00,43.49,44.07,42.92,43.3,698592.0
123,2018-05-04 07:00:00,18.43,18.59,18.27,18.59,28512.0
ZZZZZZ,2019-04-19 07:00:00,21.31,21.31,21.31,21.31,5200.0
123,2023-10-11 07:00:00,10.6,10.6,10.6,10.6,100.0
123,2019-07-11 07:00:00,7.55,7.55,7.49,7.49,210.0
ZZZZZZ,2019-12-26 07:00:00,14.5,14.5,14.5,14.5,724.0
ZZZZZZ,2022-04-13 07:00:00,24.1,24.35,24.1,24.1,4200.0
123,2018-02-01 07:00:00,1.74,1.74,1.64,1.65,144070.0
123,2020-02-25 07:00:00,1.0,1.0,0.9,1.0,17110.0
123,2021-07-08 07:00:00,10.04,10.42,10.04,10.04,12600.0
ZZZZZZ,2019-06-17 07:00:00,15.24,15.24,14.71,14.71,57241.0
123,2020-05-11 07:00:00,10.7,10.97,10.7,10.97,1460.0
ZZZZZZ,2023-11-24 07:00:00,9.8,9.8,9.7,9.8,1194.0
123,2025-04-18 07:00:00,22.78,22.78,22.78,22.78,100.0
ZZZZZZ,2023-12-27 07:00:00,54.78,54.78,54.78,54.78,300.0
123,2025-07-17 07:00:00,20.5,21.0,17.4,20.1,400.0
123,2026-02-04 07:00:00,66.0,66.0,62.0,63.0,900.0
123,2021-01-15 07:00:00,14.68,14.85,14.35,14.85,4175.0
ZZZZZZ,2024-05-07 07:00:00,8.4,8.4,8.2,8.27,100600.0
ZZZZZZ,2017-08-14 07:00:00,7.03,7.14,7.03,7.05,38600.0
123,2018-06-27 07:00:00,5.52,5.54,5.52,5.54,3500.0
123,2021-08-31 07:00:00,37.51,39.89,37.4,39.83,52890.0
123,2023-04-03 07:00:00,16.79,16.95,16.06,16.71,728980.0
ZZZZZZ,2019-06-14 07:00:00,7.56,7.67,7.53,7.64,24410.0
