symbol,date,open,high,low,close,volume
ABT,2024-07-31 07:00:00,35.35,35.8,35.35,35.35,1700.0
ABT,2024-08-09 07:00:00,33.83,36.2,33.56,36.2,5300.0
ABT,2024-08-13 07:00:00,36.2,36.2,35.08,36.2,19100.0
ABT,2024-08-14 07:00:00,37.81,37.81,37.81,37.81,100.0
ABT,2024-08-15 07:00:00,35.8,35.8,35.8,35.8,16600.0
ABT,2024-08-19 07:00:00,35.53,35.53,35.53,35.53,3000.0
ABT,2024-08-20 07:00:00,36.7,36.7,36.7,36.7,100.0
ABT,2024-08-22 07:00:00,37.59,37.59,36.38,37.14,24600.0
ABT,2024-08-23 07:00:00,37.1,37.59,37.1,37.59,1100.0
ABT,2024-08-27 07:00:00,36.34,37.59,36.25,37.59,2400.0
ABT,2024-08-28 07:00:00,37.5,37.54,37.5,37.54,1000.0
ABT,2024-08-29 07:00:00,36.34,37.14,36.34,37.14,2100.0
ABT,2024-08-30 07:00:00,36.25,37.05,35.98,36.87,2000.0
ABT,2024-09-04 07:00:00,37.5,37.5,37.5,37.5,100.0
ABT,2024-09-09 07:00:00,37.46,37.5,37.46,37.5,200.0
ABT,2024-09-10 07:00:00,36.83,37.41,36.83,37.41,200.0
ABT,2024-09-11 07:00:00,37.41,37.41,37.41,37.41,300.0
ABT,2024-09-13 07:00:00,36.25,37.41,36.25,37.41,400.0
ABT,2024-09-16 07:00:00,38.93,38.93,38.93,38.93,100.0
ABT,2024-09-17 07:00:00,38.31,38.31,36.34,37.32,2100.0
ABT,2024-09-19 07:00:00,36.7,36.78,35.26,36.25,3200.0
ABT,2024-09-20 07:00:00,36.29,36.96,35.8,36.96,2500.0
ABT,2024-09-23 07:00:00,35.89,37.14,34.46,37.14,5500.0
ABT,2024-09-25 07:00:00,35.17,37.05,34.9,37.05,6300.0
ABT,2024-09-26 07:00:00,35.8,36.25,34.9,36.25,6300.0
ABT,2024-09-27 07:00:00,35.8,36.25,35.8,36.25,500.0
ABT,2024-10-03 07:00:00,35.67,35.67,35.67,35.67,200.0
ABT,2024-10-04 07:00:00,35.76,35.8,35.76,35.8,200.0
ABT,2024-10-07 07:00:00,35.71,35.71,35.44,35.71,500.0
ABT,2024-10-08 07:00:00,35.26,35.26,35.26,35.26,100.0
ABT,2024-10-23 07:00:00,35.62,35.67,35.53,35.58,700.0
ABT,2024-10-25 07:00:00,35.53,35.58,35.53,35.58,200.0
ABT,2024-10-31 07:00:00,35.8,36.43,35.67,35.67,3200.0
ABT,2024-11-06 07:00:00,35.4,35.71,35.4,35.71,600.0
ABT,2024-11-07 07:00:00,35.8,35.8,35.35,35.71,1700.0
ABT,2024-11-13 07:00:00,35.67,35.67,35.67,35.67,200.0
ABT,2024-11-18 07:00:00,35.35,35.35,35.35,35.35,100.0
ABT,2024-11-22 07:00:00,35.4,35.4,35.4,35.4,100.0
ABT,2024-12-04 07:00:00,35.76,35.76,35.76,35.76,100.0
ABT,2024-12-27 07:00:00,34.9,37.46,34.82,34.9,8700.0
ABT,2024-12-30 07:00:00,35.08,36.43,34.9,35.35,9600.0
ABT,2025-01-13 07:00:00,34.5,37.41,33.83,35.53,2500.0
ABT,2025-01-14 07:00:00,35.35,35.35,35.35,35.35,200.0
ABT,2025-01-17 07:00:00,35.31,35.31,35.31,35.31,200.0
ABT,2025-01-20 07:00:00,35.31,35.31,35.31,35.31,1500.0
ABT,2025-01-21 07:00:00,35.31,36.61,35.31,36.61,1400.0
ABT,2025-01-22 07:00:00,35.8,36.7,35.26,36.16,3800.0
ABT,2025-01-23 07:00:00,36.61,36.61,35.71,36.47,1000.0
ABT,2025-01-24 07:00:00,36.43,36.43,35.22,36.25,1100.0
ABT,2025-02-04 07:00:00,35.84,36.92,35.76,36.61,17100.0
ABT,2025-02-05 07:00:00,36.07,36.7,35.8,36.61,8300.0
ABT,2025-02-06 07:00:00,36.61,38.48,36.61,37.54,40600.0
ABT,2025-02-07 07:00:00,37.59,38.4,37.54,38.4,54400.0
ABT,2025-02-11 07:00:00,37.14,37.59,36.96,37.54,13300.0
ABT,2025-02-12 07:00:00,37.59,37.59,37.23,37.5,8900.0
ABT,2025-02-13 07:00:00,37.5,37.5,37.41,37.41,7700.0
ABT,2025-02-14 07:00:00,37.41,37.59,37.32,37.41,27000.0
ABT,2025-02-17 07:00:00,37.23,37.59,37.14,37.23,14600.0
ABT,2025-02-18 07:00:00,37.32,37.68,37.28,37.68,15200.0
ABT,2025-02-19 07:00:00,37.59,37.95,37.54,37.95,26200.0
ABT,2025-02-20 07:00:00,37.95,38.22,37.95,38.22,25700.0
ABT,2025-02-21 07:00:00,38.66,40.72,38.66,39.56,55700.0
ABT,2025-02-24 07:00:00,39.65,42.29,39.65,42.29,61100.0
ABT,2025-02-25 07:00:00,44.57,44.57,42.29,42.33,35300.0
ABT,2025-02-26 07:00:00,42.24,42.24,41.12,41.26,29900.0
ABT,2025-02-28 07:00:00,41.98,42.96,41.71,42.42,19600.0
ABT,2025-03-03 07:00:00,42.42,42.42,41.62,42.42,20200.0
ABT,2025-03-04 07:00:00,42.42,42.69,41.71,42.16,11000.0
ABT,2025-03-05 07:00:00,42.51,44.53,42.51,44.08,92300.0
ABT,2025-03-06 07:00:00,44.08,45.74,44.08,44.48,48900.0
ABT,2025-03-07 07:00:00,44.75,45.64,43.14,44.39,7900.0
ABT,2025-03-10 07:00:00,44.39,44.39,43.5,43.72,15400.0
ABT,2025-03-11 07:00:00,43.59,45.82,43.54,44.08,33000.0
ABT,2025-03-12 07:00:00,44.66,44.66,44.03,44.12,7300.0
ABT,2025-03-13 07:00:00,44.12,44.12,43.41,43.86,7800.0
ABT,2025-03-14 07:00:00,43.68,44.03,43.14,43.14,11300.0
ABT,2025-03-17 07:00:00,42.04,44.57,42.04,43.43,11800.0
ABT,2025-03-18 07:00:00,43.43,43.43,43.19,43.33,8400.0
ABT,2025-03-19 07:00:00,43.14,44.38,43.14,44.38,10000.0
ABT,2025-03-20 07:00:00,44.38,44.38,43.62,43.62,4900.0
ABT,2025-03-21 07:00:00,43.47,43.52,42.66,43.38,8200.0
