date,open,high,low,close,volume
2022-01-04 07:00:00,64.39,65.21,64.39,64.91,588916.0
2022-01-05 07:00:00,64.76,65.21,64.39,64.91,535304.0
2022-01-06 07:00:00,64.62,66.62,64.62,66.1,917285.0
2022-01-07 07:00:00,66.62,66.62,64.69,65.58,368231.0
2022-01-10 07:00:00,65.13,65.58,63.73,64.24,426735.0_err
2022-01-11 07:00:00,64.39,65.13,63.5,63.95,462125.0
2022-01-12 07:00:00,63.73,64.76,61.58,63.36,606680.0
2022-01-13 07:00:00,63.36,63.58,61.28,62.24,269559.0
2022-01-14 07:00:00,62.39,62.39,61.06,62.17,228500.0
2022-01-17 07:00:00,63.73,63.73,60.39,61.8,444123.0
2022-01-18 07:00:00,62.17,62.91,59.65,61.13,446539.0
2022-01-19 07:00:00,60.69,62.1,60.61,61.35,205870.0
2022-01-20 07:00:00,61.13,62.84,61.13,62.39,327765.0
2022-01-21 07:00:00,62.39,63.58,62.02,62.84,347056.0
2022-01-24 07:00:00,62.24,63.5,60.69,61.65,357961.0
2022-01-25 07:00:00,61.95,62.69,60.84,62.02,203290.0
2022-01-26 07:00:00,61.73,62.24,61.5,61.73,114391.0
2022-01-27 07:00:00,61.8,62.47,60.24,61.43,395037.0
2022-01-28 07:00:00,61.13,64.39,61.13,62.61,341482.0
2022-02-07 07:00:00,62.61,63.5,62.61,63.21,257514.0
2022-02-08 07:00:00,63.13,65.13,62.84,65.06,850509.0
2022-02-09 07:00:00,64.17,66.69,64.17,66.69,1054860.0
2022-02-10 07:00:00,65.8,67.13,65.8,67.06,536849.0
2022-02-11 07:00:00,66.84,67.13,65.21,65.87,307333.0
2022-02-14 07:00:00,65.65,65.65,63.87,64.47,729829.0
2022-02-23 07:00:00,66.69,67.8,65.21,67.73,1029000.0
2022-02-24 07:00:00,67.88,67.88,63.95,65.0382286735439,629200.0
2022-02-25 07:00:00,66.25,66.76,65.21,66.39,327700.0
2022-02-28 07:00:00,66.02,66.02,64.32,65.13,366200.0_err
2022-03-01 07:00:00,64.32,65.13,63.28,63.95,440800.0
2022-03-02 07:00:00,63.43,63.43,61.13,63.43,851100.0
2022-03-03 07:00:00,63.5,65.21,62.98,65.06,297500.0
2022-03-04 07:00:00,65.06,65.06,63.58,64.99,425000.0
2022-03-07 07:00:00,63.58,64.39,62.1,63.73,702400.0
2022-03-08 07:00:00,62.39,64.17,62.24,63.28,410300.0
2022-03-09 07:00:00,63.36,64.24,61.43,64.24,731400.0
2022-03-10 07:00:00,64.24,68.17,64.24,68.02,2089200.0
2022-03-11 07:00:00,68.1,70.32,68.02,68.76,1125300.0
2022-03-14 07:00:00,67.06,68.76,65.95,68.17,649000.0
2022-03-15 07:00:00,67.13,70.25,66.32,70.1,1341000.0
2022-03-16 07:00:00,70.1,72.62,70.1,72.03,1137200.0
2022-03-17 07:00:00,72.32,73.51,71.36,72.4,733800.0_err
2022-03-18 07:00:00,72.62,73.66,70.99,72.32,1281500.0
2022-03-21 07:00:00,71.36,72.54,70.32,72.1,820300.0
2022-03-22 07:00:00,71.21,72.62,70.62,71.8,704900.0
2022-03-23 07:00:00,71.73,73.06,70.77,72.47,1017400.0
2022-03-24 07:00:00,72.03,72.54,71.14,71.8,730300.0
2022-03-25 07:00:00,72,76,71,76,"1,910,800"
2022-03-28 07:00:00,75.66,76.69,75.06,75.58,994000.0
2022-03-29 07:00:00,75.95,80.69,75.95,80.69,1436700.0
2022-03-30 07:00:00,79.29,81.07,77.8,79.81,809000.0
2022-03-31 07:00:00,80.69,84.4,79.81,80.77,1036900.0
2022-04-01 07:00:00,80.18,82.99,79.66,82.18,508700.0
2022-04-04 07:00:00,82.77,82.77,80.55,81.14,678600.0
2022-04-05 07:00:00,80.03,82.84,79.66,82.4,677800.0
