date,open,high,low,close,volume
2022-01-04 07:00:00,23.17,23.9,23.0,23.9,2171600.0
2022-01-05 07:00:00,24.0,25.55,23.9,24.95,2428500.0
2022-01-06 07:00:00,24.95,25.9,24.3,24.6,1972900.0
2022-01-07 07:00:00,24.6,24.87,23.85,24.0,1991500.0
2022-01-10 07:00:00,23.75,24.55,22.32,22.32,3201500.0
2022-01-11 07:00:00,21.92,22.65,21.0,21.0,2157400.0
2022-01-12 07:00:00,21.0,22.45,20.75,22.45,2434600.0
2022-01-13 07:00:00,23.0,23.05,21.5,21.65,1443000.0
2022-01-14 07:00:00,21.25,22.55,20.75,22.25,894800.0
2022-01-17 07:00:00,22.1,22.2,20.7,20.7,1819800.0
2022-01-18 07:00:00,19.27,19.9,19.27,19.27,1557800.0
2022-01-19 07:00:00,19.75,19.95,18.5,19.3,1324600.0
2022-01-20 07:00:00,19.4,20.2,18.55,19.8,699400.0
2022-01-21 07:00:00,19.85,19.85,19.07,19.1,879200.0
2022-01-24 07:00:00,18.5,18.55,17.77,17.77,994200.0
2022-01-25 07:00:00,16.55,17.4,16.55,16.9,1221000.0
2022-01-26 07:00:00,17.0,17.97,16.95,17.35,931200.0
2022-01-27 07:00:00,17.35,18.5,17.3,17.75,855300.0
2022-01-28 07:00:00,17.52,17.95,16.8,17.792132639585788,823400.0
2022-02-07 07:00:00,17.9,18.3,17.77,17.8,561400.0
2022-02-08 07:00:00,17.8,18.47,17.55,18.27,626600.0
2022-02-09 07:00:00,18.15,19.27,18.15,18.97,797000.0
2022-02-10 07:00:00,19.0,19.3,18.55,18.72,679500.0
2022-02-11 07:00:00,18.52,19.0,18.5,18.8,511100.0
2022-02-14 07:00:00,18.75,18.75,17.75,17.75,1069700.0
2022-02-15 07:00:00,17.5,17.95,17.5,17.9,488000.0
2022-02-16 07:00:00,17.95,18.47,17.95,18.32,489700.0
2022-02-17 07:00:00,18.5,18.5,18.1,18.22,425400.0
2022-02-18 07:00:00,18.0,18.72,18.0,18.6,801100.0
2022-02-21 07:00:00,18.75,19.45,18.75,19.3,1168700.0
2022-02-22 07:00:00,18.85,19.15,18.55,18.82,1134700.0
2022-02-23 07:00:00,19.07,19.22,18.87,18.97,504600.0
2022-02-24 07:00:00,18.75,19.6,18.25,19.2,1571800.0
2022-02-25 07:00:00,19.5,20.5,19.3,20.3,1809200.0
2022-02-28 07:00:00,20.3,20.75,20.3,20.4,993100.0
2022-03-01 07:00:00,20.45,20.45,19.9,20.25,1183800.0
2022-03-02 07:00:00,19.9,20.3,19.2,19.7,1502500.0
2022-03-03 07:00:00,19.8,20.0,19.4,20.0,807400.0
2022-03-04 07:00:00,20.3,20.62,20.0,20.0,1067200.0
2022-03-07 07:00:00,19.75,19.9,19.52,19.65,836400.0
2022-03-08 07:00:00,19.25,20.15,19.25,19.35,793000.0
2022-03-09 07:00:00,19.5,19.55,18.1,19.05,873200.0
2022-03-10 07:00:00,19.85,19.85,19.25,19.3,413900.0
2022-03-11 07:00:00,19.3,19.3,18.6,18.6,691300.0
2022-03-14 07:00:00,18.6,18.65,17.75,17.8,821500.0
2022-03-15 07:00:00,17.72,18.3,17.72,18.0,295000.0
2022-03-16 07:00:00,18.15,18.4,25.396834372735235,18.25,240600.0
2022-03-17 07:00:00,18.4,18.45,18.2,18.22,279100.0
2022-03-18 07:00:00,18.25,18.65,18.2,18.47,396400.0
2022-03-21 07:00:00,18.75,18.9,18.65,18.75,267500.0
2022-03-22 07:00:00,18.85,19.22,18.85,19.2,652500.0
2022-03-23 07:00:00,19.35,19.35,18.75,18.85,637800.0
2022-03-24 07:00:00,18.85,19.0,18.6,18.72,440100.0
2022-03-25 07:00:00,19.1,19.1,18.52,18.55,660500.0
2022-03-28 07:00:00,18.63,19.12,17.77,18.17,679500.0
2022-03-29 07:00:00,18.2,18.63,18.2,18.47,359200.0
2022-03-30 07:00:00,18.14,18.85,18.14,18.25,512500.0
2022-03-31 07:00:00,18.31,18.63,18.09,18.17,282200.0
2022-04-01 07:00:00,18.09,18.71,17.87,18.71,553600.0
2022-04-04 07:00:00,19.06,20.01,18.85,20.01,2177800.0
2022-04-05 07:00:00,19.93,20.52,19.58,19.6,1047500.0
2022-04-06 07:00:00,19.47,19.98,19.47,19.64593778879954,691500.0
2022-04-07 07:00:00,19.93,19.95,19.17,19.17,1115900.0
2022-04-08 07:00:00,19.17,19.31,18.09,18.09,739400.0
2022-04-12 07:00:00,18.55,18.55,17.71,17.71,483100.0
2022-04-13 07:00:00,17.79,18.63,17.12,18.09,506900.0
2022-04-14 07:00:00,18.04,18.36,17.6,17.63,375500.0
2022-04-15 07:00:00,17.36,17.9,17.23,17.23,413800.0
2022-04-18 07:00:00,16.74,17.06,16.04,16.04,1178500.0
2022-04-19 07:00:00,16.09,16.2,14.93,14.93,584800.0
2022-04-20 07:00:00,14.85,15.17,14.09,14.09,526600.0
2022-04-21 07:00:00,13.5,14.85,13.5,14.47,861300.0
2022-04-22 07:00:00,14.74,15.12,14.04,14.47,421300.0
2022-04-25 07:00:00,14.8,14.8,13.47,13.47,447000.0
2022-04-26 07:00:00,12.61,13.61,12.56,13.45,738600.0
2022-04-27 07:00:00,13.47,13.5,12.69,13.45,363400.0
2022-04-28 07:00:00,13.55,13.91,13.39,13.39,301400.0
2022-04-29 07:00:00,13.39,13.77,13.18,13.61,422300.0
2022-05-04 07:00:00,13.5,13.72,12.69,12.96,379300.0
2022-05-05 07:00:00,13.2,13.23,12.29,12.83,481500.0
2022-05-06 07:00:00,12.61,12.61,11.93,11.93,467500.0
2022-05-09 07:00:00,11.23,11.8,11.12,11.12,350100.0
2022-05-10 07:00:00,10.37,11.12,10.37,10.69,1100900.0
2022-05-11 07:00:00,11.02,11.02,10.64,10.96,394500.0
2022-05-12 07:00:00,10.8,10.8,10.21,10.21,391100.0
2022-05-13 07:00:00,9.83,10.31,9.5,9.5,814700.0
