date,open,high,low,close,volume
2022-01-04 07:00:00,70.97,73.38,69.62,73.38,3536300.0
2022-01-05 07:00:00,78.49,78.49,75.23,78.49,5196200.0
2022-01-06 07:00:00,77.5,80.84,76.65,77.71,5140200.0
2022-01-07 07:00:00,78.85,83.11,76.65,83.11,4244200.0
2022-01-10 07:00:00,82.26,88.86,79.49,79.49,6048800.0
2022-01-11 07:00:00,81.62,85.02,79.84,85.02,5806500.0
2022-01-12 07:00:00,84.46,88.71,79.13,79.13,13756100.0
2022-01-13 07:00:00,79.49,82.33,73.6,73.6,6175500.0
2022-01-14 07:00:00,68.49,75.23,68.49,66.82624181731202,12905300.0
2022-01-17 07:00:00,70.76,70.9,63.8,63.8,8371300.0
2022-01-18 07:00:00,59.4,59.4,59.4,59.4,700800.0
2022-01-19 07:00:00,55.29,55.29,55.29,55.29,680900.0
2022-01-20 07:00:00,51,59,51,59,"13,033,500"
2022-01-21 07:00:00,63.24,63.24,59.12,63.24,8261400.0
2022-01-24 07:00:00,64.02,64.58,58.84,58.84,6567200.0
2022-01-25 07:00:00,54.72,61.11,54.72,59.62,7432700.0
2022-01-26 07:00:00,59.69,63.73,59.62,60.33,4680400.0
2022-01-27 07:00:00,60.33,61.04,56.14,56.14,3013300.0
2022-01-28 07:00:00,52.24,54.72,52.24,52.24,9074500.0
2022-02-07 07:00:00,52.87,54.65,48.62,48.62,5271400.0
2022-02-08 07:00:00,45.35,46.77,45.28,45.28,6680600.0
2022-02-09 07:00:00,42.16,48.4,42.16,48.4,10218600.0
2022-02-10 07:00:00,51.74,51.74,50.53,51.74,4090600.0
2022-02-11 07:00:00,50.39,53.16,48.97,48.97,4926000.0
2022-02-14 07:00:00,46.84,52.38,46.84,52.38,6599000.0
2022-02-15 07:00:00,53.09,56.0,52.52,56.0,4811200.0
2022-02-16 07:00:00,58.55,59.9,58.2,59.9,3266800.0
2022-02-17 07:00:00,61.89,63.16,59.62,60.82,7571800.0
2022-02-18 07:00:00,60.33,65.01,59.62,64.94,5543100.0
2022-02-21 07:00:00,66.71,69.27,65.51,67.42,4792200.0
2022-02-22 07:00:00,62.74,65.51,62.74,62.74,12212200.0
2022-02-23 07:00:00,63.87,66.71,62.74,66.0,6058000.0
2022-02-24 07:00:00,65.29,66.71,61.39,62.03,10818300.0
2022-02-25 07:00:00,64.09,65.22,62.53,62.53,4180300.0
2022-02-28 07:00:00,61.75,63.16,59.62,61.04,4523200.0
2022-03-01 07:00:00,61.11,65.29,61.04,65.29,7356500.0
2022-03-02 07:00:00,66.64,67.78,63.87,65.51,4674900.0
2022-03-03 07:00:00,66.0,67.07,65.29,66.29,3361900.0
2022-03-04 07:00:00,66.71,69.98,65.86,68.27,5264200.0
2022-03-07 07:00:00,68.77,69.2,66.0,66.78,4292900.0
2022-03-08 07:00:00,64.02,66.29,62.17,62.17,9470200.0
2022-03-09 07:00:00,63.02,63.16,58.41,62.53,6316400.0
2022-03-10 07:00:00,65.15,66.0,64.02,64.58,3015500.0
2022-03-11 07:00:00,63.52,64.58,61.39,62.46,3944800.0
2022-03-14 07:00:00,61.04,65.29,60.33,63.52,5620700.0
2022-03-15 07:00:00,65.29,65.44,63.87,64.8,3092200.0
2022-03-16 07:00:00,65.86,65.86,64.16,64.16,2939600.0
2022-03-17 07:00:00,64.58,65.65,64.51,65.01,2982400.0
2022-03-18 07:00:00,65.29,69.06,64.94,67.42,8715500.0_err
2022-03-21 07:00:00,68.13,72.11,68.06,72.11,5941800.0
2022-03-22 07:00:00,74.52,76.72,72.11,72.75,5213100.0
2022-03-23 07:00:00,72.75,75.94,71.68,75.37,4624200.0
2022-03-24 07:00:00,76.65,77.5,74.24,74.66,3746100.0
2022-03-25 07:00:00,74.66,75.58,72.39,72.39,5003100.0
2022-03-28 07:00:00,69.77,70.9,67.35,67.35,15773100.0
2022-03-29 07:00:00,68.84,72.04,68.49,72.04,4454900.0
2022-03-30 07:00:00,71.68,73.1,67.0,67.42,8157400.0
2022-03-31 07:00:00,67.71,68.98,64.58,65.65,4177200.0
2022-04-01 07:00:00,65.65,69.34,64.58,69.13,4855800.0
2022-04-04 07:00:00,70.9,70.97,67.42,67.42,4270500.0
2022-04-05 07:00:00,65.37,68.84,65.37,66.36,6003300.0
2022-04-06 07:00:00,65.29,66.0,61.75,61.75,13156200.0
2022-04-07 07:00:00,60.68,61.75,71.48007250426608,58.91,8675400.0
2022-04-08 07:00:00,58.98,60.33,58.2,59.33,4901100.0
2022-04-12 07:00:00,60.26,60.96,55.22,55.22,6089800.0
2022-04-13 07:00:00,56.07,56.42,65.31021361442417,56.42,9730800.0
2022-04-14 07:00:00,57.13,57.49,52.66,52.87,6108300.0
2022-04-15 07:00:00,51.53,52.45,49.18,49.18,9914000.0
2022-04-18 07:00:00,47.69,51.95,60.135866665532355,52.514176690340356,10012700.0_err
2022-04-19 07:00:00,52.8,53.58,51.1,51.24,6611100.0_err
2022-04-20 07:00:00,50.39,52.02,49.33,49.33,4799400.0
2022-04-21 07:00:00,45.92,48.97,45.92,45.92,10454900.0
2022-04-22 07:00:00,44.0,47.55,42.73,42.94,8698700.0
2022-04-25 07:00:00,44.0,44.57,39.96,39.96,7833700.0
2022-04-26 07:00:00,37.19,42.73,37.19,42.73,10288800.0
2022-04-27 07:00:00,43.29,45.71,39.82,45.71,10375100.0
2022-04-28 07:00:00,45.78,46.63,43.65,43.86,6421200.0
2022-04-29 07:00:00,43.29,46.84,43.29,45.7893766068488,7752100.0
2022-05-04 07:00:00,45.07,45.99,43.29,43.29,7016700.0
2022-05-05 07:00:00,44.29,44.5,40.38,41.23,7119400.0
2022-05-06 07:00:00,39.74,40.81,38.4,38.4,7020300.0
2022-05-09 07:00:00,37.26,37.54,35.77,35.77,8771200.0
2022-05-10 07:00:00,33.43,37.62,33.29,37.62,14106500.0
2022-05-11 07:00:00,39.03,40.24,35.84,40.24,11641300.0
2022-05-12 07:00:00,40.38,41.09,37.47,37.47,9288300.0
2022-05-13 07:00:00,37.26,37.26,34.88,34.88,12420600.0
2022-05-16 07:00:00,36.91,37.05,34.42,34.42,7130300.0
2022-05-17 07:00:00,34.42,36.76,34.07,36.76,6108200.0
2022-05-18 07:00:00,37.83,39.32,45.515731997858175,39.32,9176500.0
2022-05-19 07:00:00,37.9,39.89,37.9,39.32,6854900.0
2022-05-20 07:00:00,39.67,42.02,39.32,41.8,8215900.0
2022-05-23 07:00:00,42.02,42.16,38.89,38.89,9667200.0
2022-05-24 07:00:00,37.97,41.16,36.55,41.16,8674200.0
2022-05-25 07:00:00,41.8,43.65,40.67,42.65,7680300.0
2022-05-26 07:00:00,42.58,43.51,41.59,41.87,5243400.0
2022-05-27 07:00:00,41.87,44.0,41.52,42.73,6944200.0
2022-05-30 07:00:00,43.29,44.5,42.8,43.58,4998500.0
2022-05-31 07:00:00,43.29,44.5,42.37,42.87,7891700.0
2022-06-01 07:00:00,42.58,42.94,40.81,41.52,9351600.0
2022-06-02 07:00:00,41.52,42.44,39.39,39.14932361799956,8799600.0
2022-06-03 07:00:00,39.25,41.45,38.68,40.6,6547600.0
2022-06-06 07:00:00,41.09,41.09,37.76,37.76,6583300.0
2022-06-07 07:00:00,37.62,37.62,35.34,37.54,8167800.0
2022-06-08 07:00:00,37.97,40.17,37.83,39.03,5147800.0
2022-06-09 07:00:00,39.18,40.1,38.68,38.68,3018900.0
2022-06-10 07:00:00,37.97,38.61,36.91,36.91,5341900.0
2022-06-13 07:00:00,35.41,36.12,34.35,34.35,8268800.0
2022-06-14 07:00:00,33.36,35.13,32.01,32.01,6744800.0
2022-06-15 07:00:00,32.01,32.97,29.77,29.77,11625500.0_err
2022-06-16 07:00:00,30.52,31.19,27.71,27.71,9400600.0
2022-06-17 07:00:00,26.26,26.97,25.8,25.8,13824800.0
2022-06-20 07:00:00,25.55,26.58,24.02,24.02,9576900.0
2022-06-21 07:00:00,22.71,23.99,22.36,22.36,9522800.0
2022-06-22 07:00:00,23.07,23.92,22.29,23.92,9381300.0
2022-06-23 07:00:00,25,26,25,26,"7,562,800"
2022-06-24 07:00:00,25.94,27.29,24.88,24.88,11785600.0
2022-06-27 07:00:00,24.8,26.22,24.13,25.62,7919600.0
2022-06-28 07:00:00,25.98,27.4,25.55,27.4,7692800.0
