date,open,high,low,close,volume
2022-01-04 07:00:00,21.77,22.42,21.64,22.03,1510800.0
2022-01-05 07:00:00,22.07,22.68,21.87,22.29,1540600.0
2022-01-06 07:00:00,22.42,22.42,21.9,22.23,930400.0
2022-01-07 07:00:00,21.9,22.42,21.71,21.71,844500.0
2022-01-10 07:00:00,21.77,21.97,20.83,21.25,1483100.0
2022-01-11 07:00:00,21.12,22.03,21.12,21.48,997700.0
2022-01-12 07:00:00,21.55,21.97,21.12,21.97,774800.0
2022-01-13 07:00:00,22.49,22.98,22.23,22.23,1107800.0
2022-01-14 07:00:00,21.84,22.23,21.45,22.0,510300.0
2022-01-17 07:00:00,21.97,22.07,20.99,21.38,538300.0
2022-01-18 07:00:00,20,21,20,21,"493,500"
2022-01-19 07:00:00,21.03,21.35,20.54,21.03,263600.0
2022-01-20 07:00:00,21.03,21.45,20.54,21.19,271400.0
2022-01-21 07:00:00,21.25,21.77,20.8,21.71,479300.0
2022-01-24 07:00:00,21.45,22.16,21.42,21.97,609400.0
2022-01-25 07:00:00,21.97,22.68,21.9,22.68,643800.0
2022-01-26 07:00:00,22.75,23.01,22.42,22.91,791000.0
2022-01-27 07:00:00,22.75,22.98,22.29,22.94,300900.0
2022-01-28 07:00:00,23.07,24.54,22.16,24.34,2943400.0
2022-02-07 07:00:00,24.5,24.5,22.75,23.37,846700.0
2022-02-08 07:00:00,23.37,23.66,22.81,23.2,1093600.0
2022-02-09 07:00:00,23.14,23.14,22.16,22.62,1911300.0
2022-02-10 07:00:00,23.4,23.4,22.68,22.75,843900.0
2022-02-11 07:00:00,22.65,23.27,22.62,23.27,869600.0
2022-02-14 07:00:00,23.27,23.92,23.11,23.76,2257300.0
2022-02-15 07:00:00,23.76,24.37,23.76,24.21,1088100.0
2022-02-16 07:00:00,24.57,24.57,23.27,23.27,931500.0
2022-02-17 07:00:00,23.14,23.72,22.78,23.46,563100.0
2022-02-18 07:00:00,23.46,23.53,23.2,23.37,509500.0
2022-02-21 07:00:00,23.33,23.4,22.75,22.94,588700.0
2022-02-22 07:00:00,22.88,23.33,22.75,22.75,432200.0
2022-02-23 07:00:00,22.75,23.2,21.45,21.45,347400.0
2022-02-24 07:00:00,22.23,22.88,21.51,21.84,1010400.0
2022-02-25 07:00:00,21.97,22.88,21.97,22.68,490100.0
2022-02-28 07:00:00,23.07,23.07,21.12,22.0,512600.0
2022-03-01 07:00:00,22.07,22.26,21.9,22.0,394300.0
2022-03-02 07:00:00,22.29,22.29,20.8,20.23046312811248,674700.0
2022-03-03 07:00:00,21.03,21.45,20.83,20.83,678000.0
2022-03-04 07:00:00,20.9,22.1,20.47,20.47,1708900.0
2022-03-07 07:00:00,20.67,21.68,20.6,21.68,1104700.0
2022-03-08 07:00:00,21.32,21.74,21.32,21.55,513700.0
2022-03-09 07:00:00,21.55,22.88,21.51,22.59,559800.0
2022-03-10 07:00:00,22.23,22.55,22.1,22.29,169800.0
2022-03-11 07:00:00,22.62,23.07,22.42,23.01,630200.0
2022-03-14 07:00:00,22.72,23.92,22.68,23.79,1116900.0
2022-03-15 07:00:00,23.92,24.11,23.33,24.05,826700.0
2022-03-16 07:00:00,24.05,24.44,23.4,24.34,600400.0
2022-03-17 07:00:00,23.85,24.05,28.54298426778331,23.95,276700.0
2022-03-18 07:00:00,23.95,24.18,23.4,23.4,280800.0
2022-03-21 07:00:00,23.59,24.31,23.17,23.53,625200.0
2022-03-22 07:00:00,24.02,24.37,23.4,23.56,825500.0
2022-03-23 07:00:00,23.82,24.15,23.56,24.02,480400.0
2022-03-24 07:00:00,23.53,24.05,23.53,23.56,234700.0
2022-03-25 07:00:00,23.46,24.24,23.46,23.92,459800.0
2022-03-28 07:00:00,23.98,23.98,23.53,23.89,265000.0
2022-03-29 07:00:00,24.02,24.37,23.72,24.37,2772200.0
2022-03-30 07:00:00,24.24,24.31,23.76,24.31,1283300.0
2022-03-31 07:00:00,24.24,24.24,28.76847977759116,23.98,280200.0
2022-04-01 07:00:00,23.92,24.24,23.85,24.18,405200.0
2022-04-04 07:00:00,24.44,24.44,23.85,23.85,365700.0
2022-04-05 07:00:00,23.59,23.85,23.59,23.59,368100.0
2022-04-06 07:00:00,23.72,23.72,23.4,23.69,318800.0
2022-04-07 07:00:00,23.56,23.72,23.43,23.43,284600.0
2022-04-08 07:00:00,23.14,23.69,22.68,22.81,601600.0
2022-04-12 07:00:00,22.75,22.81,21.97,21.97,335200.0
2022-04-13 07:00:00,21.77,22.23,21.77,22.16,237300.0
2022-04-14 07:00:00,22,22,22,22,"146,600"
2022-04-15 07:00:00,22.1,22.1,21.58,21.64,288800.0
2022-04-18 07:00:00,21.03,21.58,20.34,20.57,390500.0
2022-04-19 07:00:00,20,21,20,20,"225,100"
2022-04-20 07:00:00,20.44,21.06,20.34,20.34,227200.0
2022-04-21 07:00:00,19.82,21.25,19.76,19.95,188000.0
2022-04-22 07:00:00,20.02,20.8,19.82,20.67,201000.0
2022-04-25 07:00:00,20.38,20.64,19.24,19.69,355700.0
2022-04-26 07:00:00,19.11,19.99,18.56,19.99,173200.0
2022-04-27 07:00:00,19.82,20.05,19.08,20.02,66200.0
2022-04-28 07:00:00,20.02,20.41,19.17,19.5,147300.0_err
2022-04-29 07:00:00,19.92,19.92,19.5,19.5,128300.0
2022-05-04 07:00:00,19.82,19.82,19.04,19.08,88300.0
2022-05-05 07:00:00,19.5,19.5,19.08,19.47,61000.0
2022-05-06 07:00:00,19.34,19.43,19.08,19.24,171800.0
2022-05-09 07:00:00,18.78,19.37,17.91,19.11,352800.0
2022-05-10 07:00:00,18.59,19.37,18.33,19.11,142400.0
2022-05-11 07:00:00,19.11,20.44,18.46,20.44,292100.0
2022-05-12 07:00:00,20,21,20,21,"276,700"
2022-05-13 07:00:00,20.44,20.54,19.5,20.34,209200.0
2022-05-16 07:00:00,20.34,21.12,20.21,20.21,244900.0
2022-05-17 07:00:00,19.89,20.77,18.82,20.47,156900.0
2022-05-18 07:00:00,21.12,21.12,20.21,20.47,114300.0
2022-05-19 07:00:00,20.15,20.51,19.5,19.76,143700.0
2022-05-20 07:00:00,20.15,20.15,19.11,20.08,102900.0
