date,open,high,low,close,volume
2022-01-04 07:00:00,26.42,27.09,26.42,26.91,551600.0
2022-01-05 07:00:00,26.64,27.04,26.51,26.73,535300.0
2022-01-06 07:00:00,26.73,26.73,26.07,26.16,432800.0
2022-01-07 07:00:00,25.67,26.07,25.45,25.58,500400.0
2022-01-10 07:00:00,25.67,25.76,24.43,24.52,585000.0
2022-01-11 07:00:00,24.08,24.83,23.2,23.2,489700.0
2022-01-12 07:00:00,23.24,24.21,22.53,23.42,595100.0
2022-01-13 07:00:00,23.86,24.13,23.24,23.51,226300.0
2022-01-14 07:00:00,23.55,23.6,23.2,23.33,153500.0
2022-01-17 07:00:00,23.33,23.6,21.72,21.72,625400.0
2022-01-18 07:00:00,20.46,21.63,20.22,20.22,391700.0
2022-01-19 07:00:00,20.1,21.63,20.06,22.10097997831867,340500.0
2022-01-20 07:00:00,22.89,22.89,22.0,22.45,247200.0
2022-01-21 07:00:00,22.09,22.58,21.96,21.96,164300.0
2022-01-24 07:00:00,21.21,21.21,20.44,20.44,348600.0
2022-01-25 07:00:00,20.02,20.59,19.88,20.59,230000.0
2022-01-26 07:00:00,20.59,20.9,20.02,20.02,113700.0
2022-01-27 07:00:00,20.02,21.41,19.91,21.41,345700.0
2022-01-28 07:00:00,21.63,22.05,21.61,21.92,281600.0
2022-02-07 07:00:00,22.09,23.42,22.09,23.42,288600.0
2022-02-08 07:00:00,23.86,23.95,23.42,23.82,335100.0
2022-02-09 07:00:00,23.86,24.43,23.51,24.3,449000.0
2022-02-10 07:00:00,24.57,24.57,23.64,23.86,296900.0
2022-02-11 07:00:00,23.82,24.17,23.37,23.9,230800.0
2022-02-14 07:00:00,23.42,23.86,23.33,23.64,212200.0
2022-02-15 07:00:00,23.64,23.82,22.98,23.33,176700.0
2022-02-16 07:00:00,23.42,23.77,23.42,23.64,169300.0
2022-02-17 07:00:00,23.64,23.68,23.33,23.37,226200.0_err
2022-02-18 07:00:00,23.02,24.04,23.02,23.9,412600.0
2022-02-21 07:00:00,23.95,25.36,23.95,25.36,824000.0
2022-02-22 07:00:00,24.04,25.41,23.95,24.88,464200.0
2022-02-23 07:00:00,25.5,26.16,25.01,25.89,486800.0
2022-02-24 07:00:00,25.89,26.42,24.08,25.58,685300.0
2022-02-25 07:00:00,25.76,26.29,25.19,25.67,663900.0
2022-02-28 07:00:00,26.03,26.03,25.19,25.23,463300.0
2022-03-01 07:00:00,25.32,25.85,24.79,25.32,326200.0_err
2022-03-02 07:00:00,25.19,25.32,24.57,24.7,591400.0
2022-03-03 07:00:00,24.57,25.63,24.3,25.63,664100.0
2022-03-04 07:00:00,26.07,26.29,25.5,25.5,435800.0
2022-03-07 07:00:00,24.79,25.58,24.79,25.27,343400.0
2022-03-08 07:00:00,24.08,25.63,24.08,24.83,500700.0
2022-03-09 07:00:00,24.83,24.97,23.82,24.79,531800.0
2022-03-10 07:00:00,25.27,25.58,24.26,24.3,404400.0
2022-03-11 07:00:00,24.21,24.26,23.2,23.2,707200.0
2022-03-14 07:00:00,22.67,22.76,21.85,22.03,670600.0
2022-03-15 07:00:00,21.72,22.49,21.72,22.31,260600.0
2022-03-16 07:00:00,22.53,22.62,22.36,22.4,189800.0
2022-03-17 07:00:00,22.71,22.93,22.58,22.76,128500.0
2022-03-18 07:00:00,22.98,22.98,22.53,22.98,190600.0
