date,open,high,low,close,volume
2022-03-08 07:00:00,21.88,21.88,21.88,21.88,10100.0
2022-03-09 07:00:00,25.12,25.12,25.12,25.12,100.0
2022-03-10 07:00:00,29,29,29,29,"5,009,100"
2022-03-11 07:00:00,33.12,33.19,29.69,30.0,2999500.0
2022-03-14 07:00:00,30.31,31.12,28.81,30.56,547200.0
2022-03-15 07:00:00,29.69,29.69,26.0,26.12,957000.0
2022-03-16 07:00:00,27.0,31.12,25.06,27.94,587800.0
2022-03-17 07:00:00,26.88,28.5,26.88,27.44,257300.0
2022-03-18 07:00:00,28.0,28.0,26.81,27.12,298500.0
2022-03-21 07:00:00,26.88,26.88,25.62,26.19,305100.0
2022-03-22 07:00:00,26.25,26.62,25.75,26.25,323700.0
2022-03-23 07:00:00,26.25,26.56,26.12,26.31,358400.0
2022-03-24 07:00:00,25.94,27.31,25.94,27.31,253664.0
2022-03-25 07:00:00,26.5,27.5,22.88,27.06,311236.0
2022-03-28 07:00:00,26.88,27.38,26.56,27.25,368523.0
2022-03-29 07:00:00,27.0,27.38,26.88,27.31,258514.0
2022-03-30 07:00:00,27.19,27.88,27.06,27.19,382200.0
2022-03-31 07:00:00,27.5,27.81,27.06,27.5,393200.0
2022-04-01 07:00:00,27.62,27.81,27.19,27.5,268650.0
2022-04-04 07:00:00,27.5,27.56,27.06,27.31,301800.0
2022-04-05 07:00:00,27.25,27.25,26.88,26.94,289800.0
2022-04-06 07:00:00,26.25,26.75,23.75,25.5,547953.0
2022-04-07 07:00:00,25.62,26.19,25.0,25.62,322400.0
2022-04-08 07:00:00,26.06,26.06,23.94,23.94,188000.0
2022-04-12 07:00:00,23.94,24.88,23.94,24.31,119201.0
2022-04-13 07:00:00,24.38,24.38,23.44,24.19,371700.0
2022-04-14 07:00:00,24.5,24.56,23.69,24.38,327600.0
2022-04-15 07:00:00,24.69,24.69,23.44,23.69,163800.0
2022-04-18 07:00:00,24,24,23,23,"67,802"
2022-04-19 07:00:00,23.44,23.44,20.44,21.94,271000.0
2022-04-20 07:00:00,21.75,21.88,20.69,21.25,48500.0
2022-04-21 07:00:00,19.38,23.75,25.178151976968763,23.75,231100.0
2022-04-22 07:00:00,23.06,23.06,21.69,22.81,111800.0
2022-04-25 07:00:00,23.12,23.12,19.06,20.0,190000.0
