date,open,high,low,close,volume
2022-01-04 07:00:00,34.79,35.49,34.6,35.17,2270100.0
2022-01-05 07:00:00,35.17,36.19,34.79,35.91,5612900.0
2022-01-06 07:00:00,35.54,36.8,35.35,36.1,4131600.0
2022-01-07 07:00:00,36.01,36.85,35.73,36.01,2825500.0
2022-01-10 07:00:00,36.1,36.66,35.26,35.26,4463100.0
2022-01-11 07:00:00,35,36,34,34,"3,286,400"
2022-01-12 07:00:00,34.42,34.6,32.78,34.6,4421100.0
2022-01-13 07:00:00,34.7,35.07,33.2,33.2,3359600.0
2022-01-14 07:00:00,32.92,33.95,32.92,33.39,1688300.0
2022-01-17 07:00:00,33.39,33.58,31.1,31.154074023132527,4515200.0
2022-01-18 07:00:00,30.3,30.86,29.09,29.09,2899800.0
2022-01-19 07:00:00,29.65,30.49,29.09,29.74,1767500.0
2022-01-20 07:00:00,30.3,30.77,29.74,30.4,1480700.0
2022-01-21 07:00:00,30.86,31.19,30.3,30.3,1671000.0
2022-01-24 07:00:00,30.3,30.4,28.2,28.2,2226300.0
2022-01-25 07:00:00,27.31,29.32,27.31,29.23,1582600.0
2022-01-26 07:00:00,29.74,29.79,28.99,28.99,1067300.0
2022-01-27 07:00:00,28.99,29.37,28.71,28.71,689000.0
2022-01-28 07:00:00,28.71,29.18,28.57,29.18,953700.0
2022-02-07 07:00:00,29.93,30.12,29.65,30.12,865400.0
2022-02-08 07:00:00,30.21,31.14,30.02,30.86,1165800.0
2022-02-09 07:00:00,31.05,31.24,30.68,30.96,1144600.0
2022-02-10 07:00:00,31.0,31.52,30.68,31.42,1461300.0
2022-02-11 07:00:00,30.96,32.27,30.96,31.75,1516300.0
2022-02-14 07:00:00,31.56,31.8,31.05,31.14,1172600.0
2022-02-15 07:00:00,30.96,31.42,30.96,31.19,828900.0
2022-02-16 07:00:00,32,32,31,32,"760,900"
2022-02-17 07:00:00,31.8,32.13,31.56,31.8,1261900.0
2022-02-18 07:00:00,31.56,31.71,31.28,31.42,1587500.0
2022-02-21 07:00:00,31.33,32.45,31.33,32.36,2336200.0
2022-02-22 07:00:00,32.31,32.31,31.42,32.03,1517100.0
2022-02-23 07:00:00,32.08,33.11,31.8,32.03,2385600.0
2022-02-24 07:00:00,32.03,32.55,30.02,31.820041550690515,3123100.0
2022-02-25 07:00:00,31.99,32.27,31.8,31.8,1513200.0
2022-02-28 07:00:00,32.08,32.08,31.33,31.94,1904200.0
2022-03-01 07:00:00,31.99,33.53,31.99,33.39,4755600.0
2022-03-02 07:00:00,33.76,33.9,33.06,33.11,3342300.0
2022-03-03 07:00:00,33.53,33.95,33.39,33.95,2748400.0
2022-03-04 07:00:00,34.04,34.37,33.39,33.67,3156700.0
2022-03-07 07:00:00,33.67,34.51,33.39,34.37,3258000.0
2022-03-08 07:00:00,34.14,35.35,33.76,33.451900442912425,3784500.0
2022-03-09 07:00:00,34.0,34.23,33.01,33.67,2164200.0
2022-03-10 07:00:00,33.86,34.0,33.2,33.25,1417000.0
2022-03-11 07:00:00,33.2,33.48,32.22,32.27,2598600.0
2022-03-14 07:00:00,32.27,32.27,30.72,31.19,2343200.0
2022-03-15 07:00:00,31.05,31.8,31.05,31.66,980100.0
2022-03-16 07:00:00,31.89,32.17,31.42,31.52,1256100.0
2022-03-17 07:00:00,31.8,31.99,31.52,31.61,1030400.0
2022-03-18 07:00:00,31.99,31.99,31.71,31.8,1033100.0
2022-03-21 07:00:00,32.13,32.41,31.61,32.36,1452200.0
2022-03-22 07:00:00,32.55,33.11,32.41,32.41,1610600.0
2022-03-23 07:00:00,33,33,32,33,"1,848,200"
2022-03-24 07:00:00,32.83,33.15,32.55,32.64,1861500.0
2022-03-25 07:00:00,32.64,32.64,32.17,32.45,1121600.0
2022-03-28 07:00:00,31.94,32.45,31.61,31.66,2268400.0
2022-03-29 07:00:00,31.75,32.45,31.75,32.27,1184300.0
2022-03-30 07:00:00,32.08,32.55,31.61,31.66,1489600.0
2022-03-31 07:00:00,31.66,32.27,31.61,31.8,1177200.0
2022-04-01 07:00:00,31.89,32.5,31.61,32.31,1687200.0
2022-04-04 07:00:00,32.73,34.14,32.59,34.14,6226000.0
2022-04-05 07:00:00,33.86,34.98,47.66795744851627,34.04,3270100.0
2022-04-06 07:00:00,33.67,34.6,33.67,34.6,3663300.0_err
2022-04-07 07:00:00,35,35,34,34,"3,503,800_err"
2022-04-08 07:00:00,34.14,34.23,32.55,32.59,2763400.0
2022-04-12 07:00:00,32.59,32.83,30.86,30.86,2770000.0
2022-04-13 07:00:00,30.86,32.5,30.82,32.27,2263400.0
2022-04-14 07:00:00,32.55,33.15,32.17,32.31,1543100.0
2022-04-15 07:00:00,32.31,34.14,32.27,33.67,4280600.0
2022-04-18 07:00:00,33.34,34.79,33.34,34.42,5974700.0
2022-04-19 07:00:00,35,35,33,33,"2,944,000"
2022-04-20 07:00:00,32.45,33.2,30.44,30.44,2849300.0
2022-04-21 07:00:00,29.51,30.82,28.39,28.53,4404800.0
2022-04-22 07:00:00,29.09,29.65,26.56,27.59,4598400.0
2022-04-25 07:00:00,27.12,28.06,25.67,25.67,3146500.0
2022-04-26 07:00:00,24.78,26.65,23.94,26.65,2034200.0
2022-04-27 07:00:00,26.61,27.4,26.0,27.22,1290600.0
2022-04-28 07:00:00,27.22,27.36,26.75,26.89,1095000.0
2022-04-29 07:00:00,26.56,27.36,26.56,26.98,1750200.0
2022-05-04 07:00:00,27.03,27.03,26.23,26.23,1411500.0
2022-05-05 07:00:00,26.94,26.94,36.711685925186636,26.37,1271800.0
2022-05-06 07:00:00,25.91,26.37,25.06,25.06,1427000.0
2022-05-09 07:00:00,24.6,24.69,23.33,23.33,2121400.0
2022-05-10 07:00:00,22.26,23.33,21.98,23.15,1743200.0
2022-05-11 07:00:00,23.15,23.24,22.54,23.01,1005000.0
2022-05-12 07:00:00,23.33,23.76,21.42,21.42,1880500.0
2022-05-13 07:00:00,21.42,21.51,19.92,19.92,2327900.0
2022-05-16 07:00:00,21.28,21.28,20.39,20.44,2348100.0
2022-05-17 07:00:00,20.01,21.84,19.64,21.84,2212800.0
2022-05-18 07:00:00,22.07,22.4,21.51,21.84,1896500.0
2022-05-19 07:00:00,20.95,21.65,20.67,21.46,1741600.0
2022-05-20 07:00:00,21.84,22.63,21.46,22.17,2379200.0
2022-05-23 07:00:00,22.54,22.77,21.46,22.17,1286500.0
2022-05-24 07:00:00,22,23,22,23,"1,718,300"
2022-05-25 07:00:00,22.63,23.8,22.35,23.71,2615100.0
2022-05-26 07:00:00,23.76,24.13,23.38,23.71,1505000.0
2022-05-27 07:00:00,23.8,24.41,23.71,23.85,1573800.0
2022-05-30 07:00:00,23.85,24.13,23.76,23.8,1314500.0
2022-05-31 07:00:00,23.8,23.8,23.29,23.57,2363300.0
2022-06-01 07:00:00,23.38,23.76,23.19,23.52,1174200.0
2022-06-02 07:00:00,23.38,24.46,23.33,24.13,2149900.0
2022-06-03 07:00:00,24.13,24.18,23.38,23.38,1654300.0
2022-06-06 07:00:00,23.38,24.13,23.38,23.52,1442800.0
2022-06-07 07:00:00,23.38,23.66,22.63,23.66,1923200.0
2022-06-08 07:00:00,24.04,25.3,24.04,25.3,2880300.0
2022-06-09 07:00:00,25.91,26.37,25.63,26.04519789186871,2461800.0
2022-06-10 07:00:00,25.44,26.19,24.32,24.41,2505600.0
2022-06-13 07:00:00,23.1,23.94,22.73,22.73,3143700.0
2022-06-14 07:00:00,22.35,23.38,21.89,23.15,1736900.0
2022-06-15 07:00:00,23.15,23.29,21.56,21.56,2010000.0
2022-06-16 07:00:00,22.26,22.68,21.98,22.50030584449067,1704900.0
2022-06-17 07:00:00,21.14,21.51,20.58,21.23,2061100.0
2022-06-20 07:00:00,21.23,21.7,20.3,20.39,2657900.0
2022-06-21 07:00:00,20.39,21.04,19.5,20.3,2340800.0
2022-06-22 07:00:00,21.04,21.04,20.3,20.39,1260600.0
2022-06-23 07:00:00,20.39,21.23,20.39,21.23,874200.0
2022-06-24 07:00:00,21.37,21.79,21.14,21.28,1010400.0
2022-06-27 07:00:00,21.51,21.84,21.28,21.84,1050600.0
2022-06-28 07:00:00,21.79,22.26,21.7,21.98,874500.0
2022-06-29 07:00:00,21.89,21.98,21.04,21.42,1658400.0
2022-06-30 07:00:00,21.51,21.7,21.04,21.09,1028100.0
2022-07-01 07:00:00,21.04,21.14,20.34,21.14,1294600.0
