date,open,high,low,close,volume
2022-01-04 07:00:00,19.58,20.47,19.58,20.39,13925205.0
2022-01-05 07:00:00,20.39,21.06,20.17,20.69,17945119.0
2022-01-06 07:00:00,20.76,21.06,20.54,20.62,13250932.0
2022-01-20 07:00:00,19.14,20.58,19.0,20.43,14086000.0
2022-01-21 07:00:00,20.8,20.8,19.58,19.73,8743500.0
2022-01-24 07:00:00,19.51,19.58,18.37,18.37,8196400.0
2022-01-25 07:00:00,17.16,18.41,17.12,17.67,12476400.0
2022-01-26 07:00:00,18.3,18.3,16.71,17.6,7548300.0
2022-01-27 07:00:00,17.63,17.63,16.79,17.08,3784400.0
2022-01-28 07:00:00,16.93,17.08,15.9,16.64,7255900.0
2022-02-07 07:00:00,17.01,17.38,25.946232722221374,17.3,3818100.0
2022-02-08 07:00:00,17.52,17.52,16.79,17.38,2940800.0
2022-02-09 07:00:00,17.3,17.89,16.86,17.71,4663700.0
2022-02-10 07:00:00,17.82,18.15,17.6,17.96,3391600.0
2022-02-11 07:00:00,18.04,18.08,17.67,17.93,2470800.0
2022-02-14 07:00:00,17.52,17.78,26.543384223308173,17.38,3715500.0
2022-02-15 07:00:00,17,18,17,17,"2,218,100"
2022-02-16 07:00:00,17.6,18.11,17.49,17.89,3182600.0
2022-02-17 07:00:00,17.89,18.15,17.85,17.96,3167100.0
2022-02-18 07:00:00,17.67,18.63,17.67,18.63,5065200.0
2022-02-21 07:00:00,18.63,19.07,18.3,18.55,4833200.0
2022-02-22 07:00:00,18.22,18.41,17.63,17.93,5578100.0
2022-02-23 07:00:00,17.93,18.18,17.78,17.93,3339300.0
2022-02-24 07:00:00,17.89,17.89,16.68,17.12,8959200.0
2022-02-25 07:00:00,17.38,17.56,17.19,17.3,3022500.0
2022-02-28 07:00:00,17.34,17.38,17.01,17.04,4152900.0
2022-03-01 07:00:00,17.04,17.45,17.01,17.3,3354300.0
2022-03-02 07:00:00,17.26,17.26,16.9,17.01,4930800.0
2022-03-03 07:00:00,17.16,17.23,16.86,17.23,3883800.0
2022-03-04 07:00:00,17.52,17.82,17.45,17.6,4651900.0
2022-03-07 07:00:00,17.52,17.74,17.3,17.41,4282700.0
2022-03-08 07:00:00,17.23,17.6,17.12,17.12,4645600.0
2022-03-09 07:00:00,17.12,17.45,16.9,17.04,4084600.0
2022-03-10 07:00:00,17.3,17.41,17.04,17.08,2485300.0
