date,open,high,low,close,volume
2022-01-04 07:00:00,32.0,32.5,31.8,32.4,282800.0
2022-01-05 07:00:00,32.0,32.7,32.0,32.6,297700.0
2022-01-06 07:00:00,32.2,32.6,31.85,31.85,231600.0
2022-01-07 07:00:00,31.65,32.2,31.65,32.0,237400.0
2022-01-10 07:00:00,32.0,32.0,31.7,31.85,278100.0
2022-01-11 07:00:00,31.5,31.95,31.5,31.704682234777874,272500.0
2022-01-12 07:00:00,31.4,31.75,31.3,31.5,432900.0
2022-01-13 07:00:00,31.45,31.9,31.45,31.9,418200.0
2022-01-14 07:00:00,31.5,31.8,31.5,31.8,856800.0
2022-01-17 07:00:00,31.8,31.95,31.6,31.8,533600.0
2022-01-18 07:00:00,31.6,31.8,31.6,31.8,362800.0
2022-01-19 07:00:00,31.8,32.5,31.8,31.9,249100.0
2022-01-20 07:00:00,31.7,32.0,31.7,32.0,473900.0
2022-01-21 07:00:00,32.0,32.45,32.0,32.45,274800.0
2022-01-24 07:00:00,32.45,32.9,32.45,32.7,432400.0
2022-01-25 07:00:00,33.0,33.0,32.7,32.8,440800.0
2022-01-26 07:00:00,32.9,33.3,31.9,33.3,418100.0
2022-01-27 07:00:00,33.1,34.0,33.0,33.6,262300.0
2022-01-28 07:00:00,33.7,33.8,33.3,33.7,253500.0
2022-02-07 07:00:00,33.7,34.0,33.7,34.0,412400.0
2022-02-08 07:00:00,34.0,34.5,33.75,34.3,334000.0
2022-02-09 07:00:00,34.0,34.5,33.5,34.35,554900.0
2022-02-10 07:00:00,34.5,34.5,34.2,34.5,473000.0
2022-02-11 07:00:00,34.3,34.8,34.25,34.5,472800.0
2022-02-14 07:00:00,34.4,34.5,34.15,34.15,483200.0
2022-02-15 07:00:00,34.3,34.4,34.05,34.15,483200.0
2022-02-16 07:00:00,34.1,34.5,33.8,34.15,368300.0
2022-02-17 07:00:00,34.1,34.5,33.8,34.3,265800.0
2022-02-18 07:00:00,34.3,34.5,33.9,34.3,276900.0
2022-02-21 07:00:00,34.5,34.5,34.15,34.3,404700.0
2022-02-22 07:00:00,34.2,34.2,34.0,34.0,366700.0
2022-02-23 07:00:00,33.9,34.2,33.8,33.9,488400.0
2022-02-24 07:00:00,33.9,34.4,33.85,33.95,420500.0
2022-02-25 07:00:00,33.9,34.3,33.7,34.1,363400.0
2022-02-28 07:00:00,34.0,34.1,33.7,33.9,319900.0
2022-03-01 07:00:00,33.7,33.95,46.26410922444032,33.75,470000.0
2022-03-02 07:00:00,33.7,33.9,33.4,33.75,481600.0
