date,open,high,low,close,volume
2022-01-04 07:00:00,11.08,11.13,10.86,10.91,8417500.0
2022-01-05 07:00:00,10.98,10.98,10.74,10.79,7937000.0
2022-01-06 07:00:00,10.71,10.71,10.49,10.54,11432400.0
2022-01-07 07:00:00,10.54,10.83,11.70271995953189,10.79,7848300.0
2022-01-10 07:00:00,10.93,10.93,10.49,10.49,6118600.0
2022-01-11 07:00:00,10.59,10.62,10.3,10.45,5765800.0_err
2022-01-12 07:00:00,10.32,10.81,10.18,10.64,6980000.0
2022-01-13 07:00:00,10.79,11.13,10.69,10.69,14626200.0
2022-01-14 07:00:00,10.64,10.74,10.49,10.59,3869400.0
2022-01-17 07:00:00,10.69,10.98,10.45,10.45,10338300.0
2022-01-18 07:00:00,10.35,10.54,10.2,10.28,6827400.0
2022-01-19 07:00:00,10.45,10.45,10.25,10.3,2855700.0
2022-01-20 07:00:00,10.3,10.47,10.13,10.35,4502200.0
2022-01-21 07:00:00,10.45,10.83,10.42,10.54,6979200.0
2022-01-24 07:00:00,10.79,10.79,10.45,10.56171891429694,8791500.0
2022-01-25 07:00:00,10.66,11.17,10.62,11.17,22097300.0
2022-01-26 07:00:00,11.56,11.95,12.912973547221243,11.95,34453500.0
2022-01-27 07:00:00,11.95,12.63,11.66,11.9,20330100.0
2022-01-28 07:00:00,11.85,12.15,11.68,12.15,15586600.0
2022-02-07 07:00:00,12.39,12.39,12.02,12.07,12113900.0
2022-02-08 07:00:00,11.9,12.34,11.81,12.1,12424600.0
2022-02-09 07:00:00,12.15,12.34,11.9,11.95,13806000.0
2022-02-10 07:00:00,11.95,12.39,11.93,12.15,12449200.0
2022-02-11 07:00:00,12.15,12.73,12.15,12.58,25982500.0
2022-02-14 07:00:00,12.39,12.61,11.71,11.71,17739600.0
2022-02-15 07:00:00,11.81,12.05,11.42,11.95,14274400.0
2022-02-16 07:00:00,12.0,12.02,11.64,11.81,13082700.0
2022-02-17 07:00:00,11.81,12.05,11.66,11.81,9099200.0
2022-02-18 07:00:00,11.71,11.9,11.25,11.47,28701200.0
2022-02-21 07:00:00,11.3,11.66,11.22,11.49,11626900.0
2022-02-22 07:00:00,11.32,11.61,11.27,11.49,7821500.0
2022-02-23 07:00:00,11.49,11.71,11.47,11.47,9124600.0
2022-02-24 07:00:00,11.47,11.51,10.88,11.08,14777300.0
2022-02-25 07:00:00,11.3,11.42,11.17,11.2,6914300.0
2022-02-28 07:00:00,11.15,11.27,10.98,11.0,10963900.0
2022-03-01 07:00:00,11.0,11.08,10.79,10.81,13003000.0
2022-03-02 07:00:00,10.74,10.91,10.45,10.45,16800900.0
2022-03-03 07:00:00,10.79,11.0,10.62,10.81,10765100.0
2022-03-04 07:00:00,10.83,10.98,10.81,10.86,5541300.0
2022-03-07 07:00:00,10.69,10.79,10.52,10.69,8071300.0
2022-03-08 07:00:00,10.59,10.83,10.54,10.889131266646109,9385900.0
2022-03-09 07:00:00,10.66,10.74,10.47,10.69,7905600.0
2022-03-10 07:00:00,10.81,10.93,10.76,10.81,4360200.0
2022-03-11 07:00:00,10.81,10.83,10.66,10.76,6001400.0
2022-03-14 07:00:00,10.69,10.69,10.54,10.62,5070000.0
2022-03-15 07:00:00,10.62,10.76,10.59,10.71,3407600.0
2022-03-16 07:00:00,10.71,11.13,10.71,10.76,9728100.0
2022-03-17 07:00:00,10.93,10.93,10.76,10.86,7666600.0
2022-03-18 07:00:00,10.86,10.91,10.79,10.81,2982600.0
2022-03-21 07:00:00,10.88,10.93,10.81,10.88,5038300.0
2022-03-22 07:00:00,10.93,11.37,12.286235082167828,11.13,13902400.0
2022-03-23 07:00:00,11.15,11.17,11.0,11.03,5930300.0
2022-03-24 07:00:00,11.03,11.1,10.93,10.96,5088600.0
2022-03-25 07:00:00,10.98,11.0,10.83,10.83,5287700.0
2022-03-28 07:00:00,10.83,10.91,10.52,10.62,7528500.0
2022-03-29 07:00:00,10.66,10.76,10.59,10.71,4224600.0
2022-03-30 07:00:00,10.59,10.93,10.57,10.64,5979800.0
2022-03-31 07:00:00,10.66,10.76,10.52,10.52,4306800.0
2022-04-01 07:00:00,10.54,10.74,10.47,10.66,5894100.0
2022-04-04 07:00:00,10.71,10.88,10.64,10.64,11614200.0
2022-04-05 07:00:00,11.02,11.23,11.02,11.07,10617600.0
2022-04-06 07:00:00,11.07,11.23,10.96,11.2,4450700.0
2022-04-07 07:00:00,11.2,11.23,10.88,10.94,5003300.0
2022-04-08 07:00:00,10.96,11.02,10.75,10.8,4062000.0
2022-04-12 07:00:00,10.85,10.85,10.48,10.51,3655500.0
2022-04-13 07:00:00,10.59,10.77,10.34,10.75,4526400.0
2022-04-14 07:00:00,10.83,10.83,10.59,10.64,2014300.0
2022-04-15 07:00:00,11,11,10,11,"3,335,300"
2022-04-18 07:00:00,10.45,10.53,9.89,9.94,6881000.0
2022-04-19 07:00:00,9.78,10.16,9.27,9.27,5853400.0
2022-04-20 07:00:00,9.03,9.24,8.62,8.62,9014600.0
2022-04-21 07:00:00,8.46,9.11,8.03,8.76,9642700.0
2022-04-22 07:00:00,9.03,9.11,8.65,8.97,5278700.0
2022-04-25 07:00:00,9.03,9.22,8.36,8.36,6577400.0
2022-04-26 07:00:00,8.33,8.76,7.9,8.71,5787100.0
2022-04-27 07:00:00,8.73,8.79,8.57,8.73,2605100.0
2022-04-28 07:00:00,8.79,8.89,8.57,8.68,3467400.0
2022-04-29 07:00:00,8.71,9.08,8.62,8.81,7793100.0
2022-05-04 07:00:00,9.03,9.22,8.87,9.03,7518700.0
2022-05-05 07:00:00,9.14,9.22,8.71,8.84,4181000.0
2022-05-06 07:00:00,8.65,8.76,8.44,8.44,6451800.0
2022-05-09 07:00:00,8.38,8.44,7.87,7.87,9804700.0
2022-05-10 07:00:00,7.39,8.06,7.39,8.01,4428600.0
2022-05-11 07:00:00,8.06,8.11,7.85,7.951919634581241,3412400.0
2022-05-12 07:00:00,7.85,8.01,7.47,7.47,5456900.0
2022-05-13 07:00:00,7.47,7.52,6.96,6.96,11020700.0
2022-05-16 07:00:00,7.44,7.44,7.04,7.04,4510500.0
2022-05-17 07:00:00,7.09,7.52,7.04,7.52,4745800.0
2022-05-18 07:00:00,7.68,8.03,7.58,7.95,7999600.0
2022-05-19 07:00:00,7.66,8.17,7.66,7.82,5344400.0
2022-05-20 07:00:00,7.95,7.98,7.76,7.85,3227100.0
2022-05-23 07:00:00,7.98,8.01,7.68,7.74,4162100.0
2022-05-24 07:00:00,7.74,7.85,7.47,7.85,3754100.0
2022-05-25 07:00:00,7.93,8.19,7.85,8.17,4975500.0
2022-05-26 07:00:00,8.28,8.33,9.00126105843958,8.17,3913200.0
2022-05-27 07:00:00,8.17,8.22,8.06,8.09,5036700.0
2022-05-30 07:00:00,8.11,8.33,8.09,8.22,4091800.0
2022-05-31 07:00:00,8.17,8.19,8.01,8.06,5467700.0
