date,open,high,low,close,volume
2022-01-04 07:00:00,90.5,90.5,88.5,89.0,2536200.0
2022-01-05 07:00:00,89.0,89.1,87.8,89.1,2391300.0
2022-01-06 07:00:00,88.5,90.0,87.8,88.2,2428400.0_err
2022-01-07 07:00:00,88.2,88.6,86.4,86.4,3022700.0
2022-01-10 07:00:00,86.4,88.0,83.9,83.9,2916500.0
2022-01-11 07:00:00,83.9,85.0,82.3,84.5,2675600.0
2022-01-12 07:00:00,83.6,84.5,82.4,83.8,2055700.0
2022-01-13 07:00:00,84.0,84.0,82.2,83.5,2558200.0
2022-01-14 07:00:00,82.1,83.5,81.7,82.0,3070800.0
2022-01-17 07:00:00,82.0,83.0,78.8,80.0,2767000.0
2022-01-18 07:00:00,80.0,80.1,79.1,80.1,2687600.0
2022-01-19 07:00:00,79.5,80.0,78.1,80.0,2391700.0
2022-01-20 07:00:00,79.5,80.2,78.3,80.2,3504400.0
2022-01-21 07:00:00,80.2,80.2,78.6,80.0,2613100.0
2022-01-24 07:00:00,78.5,80.0,78.1,78.1,2844300.0
2022-01-25 07:00:00,78.2,79.8,77.8,79.0,1729300.0
2022-01-26 07:00:00,79.7,79.7,78.3,79.4,1630700.0
2022-01-27 07:00:00,79.2,80.0,78.5,79.0,2236000.0
2022-01-28 07:00:00,79.5,79.9,78.6,79.9,1554600.0
2022-02-07 07:00:00,79.5,82.0,79.5,80.0,1993900.0
2022-02-08 07:00:00,80.0,80.0,79.1,79.2,2143700.0
2022-02-09 07:00:00,79.7,79.8,78.3,79.0,2658700.0
2022-02-10 07:00:00,79,79,78,78,"2,961,900"
2022-02-11 07:00:00,78.5,78.5,77.7,78.1,1978900.0
2022-02-14 07:00:00,78.0,78.4,76.7,78.0,2814400.0
2022-02-15 07:00:00,78.0,79.6,77.5,79.0,2724200.0
2022-02-16 07:00:00,79.9,79.9,77.8,78.1,2680400.0
2022-02-17 07:00:00,78.2,79.0,77.3,79.0,3864700.0
2022-02-18 07:00:00,78.2,78.8,77.6,78.5,3218300.0
2022-02-21 07:00:00,78.5,78.6,78.0,78.5,2583200.0
2022-02-22 07:00:00,77.5,78.5,77.4,78.1,2974200.0
2022-02-23 07:00:00,78.0,78.1,77.4,77.4,2354600.0
2022-02-24 07:00:00,77.4,77.4,75.8,76.0,2726800.0
2022-02-25 07:00:00,76.5,76.5,74.4,76.3,3718400.0
2022-02-28 07:00:00,76.5,76.6,75.0,75.3,2855200.0
2022-03-01 07:00:00,75.3,76.0,74.8,75.4,3281200.0
2022-03-02 07:00:00,75.3,77.8,75.2,76.4,3730500.0
2022-03-03 07:00:00,76.7,78.0,76.2,78.0,2968500.0
2022-03-04 07:00:00,78.9,79.0,77.0,77.0,3890200.0
2022-03-07 07:00:00,76.5,76.9,75.5,76.0,4004500.0
2022-03-08 07:00:00,75.6,76.4,75.1,76.0,3460700.0
2022-03-09 07:00:00,76.4,76.8,75.5,76.5,3224400.0
2022-03-10 07:00:00,77.0,79.5,76.4,77.61514907178066,5405900.0
2022-03-11 07:00:00,78.0,78.4,91.56380829191102,77.2,3420600.0
2022-03-14 07:00:00,76.7,77.4,75.4,76.5,4530400.0
2022-03-15 07:00:00,75.8,77.2,75.5,76.6,3973700.0
2022-03-16 07:00:00,76.9,78.4,76.2,77.4,3574200.0
2022-03-17 07:00:00,77.4,78.5,76.5,76.6,3602100.0
2022-03-18 07:00:00,76.8,77.1,75.2,77.1,5003700.0
2022-03-21 07:00:00,77.3,82.4,76.6,82.4,7255400.0
