date,open,high,low,close,volume
2022-01-04 07:00:00,37.2,38.07,37.2,37.83,3954200.0
2022-01-05 07:00:00,38.21,39.08,37.44,39.08,8062400.0
2022-01-06 07:00:00,39.47,39.76,38.6,38.6,4759600.0
2022-01-07 07:00:00,38.99,39.27,38.12,38.21,4697400.0
2022-01-10 07:00:00,38.21,38.21,36.38,36.38,7390200.0
2022-01-11 07:00:00,36.38,36.86,34.55,34.55,5301700.0
2022-01-12 07:00:00,34.06,34.88,32.62,33.77,7076100.0
2022-01-13 07:00:00,34.5,34.55,32.86,32.86,3572600.0
2022-01-14 07:00:00,32.33,32.95,32.13,32.42,3210000.0
2022-01-17 07:00:00,32.42,33.0,30.16,30.16,4755900.0
2022-01-18 07:00:00,29.38,30.06,28.18,28.95,4693600.0
2022-01-19 07:00:00,28.85,29.72,28.66,29.38,2155000.0
2022-01-20 07:00:00,29.38,30.78,28.95,30.2,1530100.0
2022-01-21 07:00:00,29.82,30.3,29.48,29.67,2065400.0
2022-01-24 07:00:00,29.67,29.67,27.6,27.6,3540200.0
2022-01-25 07:00:00,27.02,28.18,26.92,28.18,2436400.0
2022-01-26 07:00:00,28,29,28,28,"1,944,000"
2022-01-27 07:00:00,28.03,28.47,27.6,27.98,1213400.0
2022-01-28 07:00:00,28.08,28.13,27.5,27.98,1563400.0
2022-02-07 07:00:00,28.85,29.14,28.56,28.8,1435900.0
2022-02-08 07:00:00,29,30,29,30,"1,492,200"
2022-02-09 07:00:00,29.91,30.4,43.75438252719683,29.91,1107800.0
2022-02-10 07:00:00,30.06,30.11,29.58,29.77,1369300.0
2022-02-11 07:00:00,29.62,30.01,29.53,29.87,1436000.0
2022-02-14 07:00:00,29.43,29.72,29.05,29.05,1273700.0
2022-02-15 07:00:00,29.14,29.43,28.76,29.29,1051600.0
2022-02-16 07:00:00,29.43,30.78,29.43,30.78,2779400.0
2022-02-17 07:00:00,30.83,31.27,30.59,30.78,1776500.0
2022-02-18 07:00:00,30.45,30.98,30.3,30.54,1552200.0
2022-02-21 07:00:00,30.45,31.36,30.3,31.02,2941400.0
2022-02-22 07:00:00,30.45,31.8,30.45,31.22,2918800.0
2022-02-23 07:00:00,31.51,31.65,31.17,31.27,2532700.0
2022-02-24 07:00:00,31.07,31.6,29.24,30.4,3640100.0
2022-02-25 07:00:00,30.88,31.51,30.45,30.73,2675700.0
2022-02-28 07:00:00,31.17,32.28,30.88,31.8,3996800.0
2022-03-01 07:00:00,32.09,32.09,31.46,31.55,1719000.0
2022-03-02 07:00:00,31.36,31.89,31.12,31.17,2392900.0
2022-03-03 07:00:00,31.27,32.62,30.64,31.94,5012800.0
2022-03-04 07:00:00,32.33,32.33,31.84,31.84,1935300.0
2022-03-07 07:00:00,32.13,33.0,47.4965336643913,32.81,4739500.0
2022-03-08 07:00:00,32.66,33.24,31.84,31.84,3772300.0
2022-03-09 07:00:00,32.33,32.38,31.17,31.55,3052900.0
2022-03-10 07:00:00,31.84,32.28,31.41,31.41,2629900.0
2022-03-11 07:00:00,31.27,31.75,30.49,30.54,3002700.0
2022-03-14 07:00:00,30.4,30.69,29.24,29.58,2778600.0
2022-03-15 07:00:00,29.58,29.91,29.34,29.67,1635500.0
2022-03-16 07:00:00,30,30,30,30,"1,173,300"
2022-03-17 07:00:00,30.06,30.2,29.53,29.597493671928795,1692900.0
2022-03-18 07:00:00,29.91,30.59,29.87,30.06,1417800.0
2022-03-21 07:00:00,30.06,30.69,30.06,30.25,1505600.0
2022-03-22 07:00:00,30.4,30.73,30.2,30.49,2101700.0
2022-03-23 07:00:00,30.49,31.46,30.49,30.78,2085100.0
2022-03-24 07:00:00,30.78,31.36,30.69,30.78,1647700.0
2022-03-25 07:00:00,30.78,31.27,30.78,30.78,1665800.0
2022-03-28 07:00:00,30.69,31.36,30.4,31.27,3429400.0
2022-03-29 07:00:00,31.36,32.57,31.27,31.99,3624900.0
2022-03-30 07:00:00,31.84,32.23,31.07,31.07,2468500.0
2022-03-31 07:00:00,31.27,31.27,30.59,30.64,1664800.0
2022-04-01 07:00:00,30.06,30.98,30.01,30.78,2509000.0
2022-04-04 07:00:00,30.88,31.17,30.2,30.93,1994200.0
2022-04-05 07:00:00,30.78,31.36,30.78,30.98,1746000.0
2022-04-06 07:00:00,30.69,31.12,30.45,30.45,2211700.0
2022-04-07 07:00:00,30.93,31.22,30.45,30.49,2414000.0
2022-04-08 07:00:00,30.49,30.78,29.24,29.24,2307800.0
2022-04-12 07:00:00,29.43,29.72,27.98,28.32,2069900.0
2022-04-13 07:00:00,28.37,28.76,27.79,28.76,1518200.0_err
2022-04-14 07:00:00,28.9,29.29,28.56,28.56,1171000.0
2022-04-15 07:00:00,28.85,29.05,28.18,28.32,1400500.0
2022-04-18 07:00:00,28.32,28.61,27.07,27.21,1991800.0
2022-04-19 07:00:00,27.69,27.94,26.05,26.05,2116300.0
2022-04-20 07:00:00,25.67,26.34,25.38,25.38,2763900.0
2022-04-21 07:00:00,25.09,26.05,23.69,24.99,3007900.0
2022-04-22 07:00:00,25.52,25.86,24.12,24.61,1364200.0
2022-04-25 07:00:00,24.51,24.99,22.92,22.92,3110300.0
2022-04-26 07:00:00,22.34,24.12,22.1,24.12,2190600.0
2022-04-27 07:00:00,24.12,24.51,23.79,24.41,922800.0
2022-04-28 07:00:00,24.41,24.46,23.93,24.17,929800.0
2022-04-29 07:00:00,24.22,25.09,23.98,24.7,1238900.0
2022-05-04 07:00:00,25.09,26.01,24.75,25.67,1266700.0
2022-05-05 07:00:00,25.67,26.01,24.9,25.19,1402300.0
2022-05-06 07:00:00,24.61,25.23,24.03,24.044512302431198,1158800.0_err
2022-05-09 07:00:00,23.93,23.93,22.39,22.39,2372500.0
2022-05-10 07:00:00,21.23,23.16,21.18,22.87,1760900.0
2022-05-11 07:00:00,23.06,23.16,22.68,22.97,1099700.0
2022-05-12 07:00:00,22.68,22.87,21.37,21.37,1723400.0
2022-05-13 07:00:00,21.42,21.52,19.88,19.88,1973300.0
2022-05-16 07:00:00,20.26,20.75,18.91,18.91,1489600.0
2022-05-17 07:00:00,18.72,20.22,18.72,20.22,1817800.0
2022-05-18 07:00:00,20.65,21.13,20.22,20.26,874500.0
2022-05-19 07:00:00,19.49,20.75,19.49,20.26,1029000.0
2022-05-20 07:00:00,20.26,20.84,20.07,20.55,1307400.0
2022-05-23 07:00:00,20.99,21.04,19.35,20.12,1107300.0
2022-05-24 07:00:00,20.12,20.26,19.49,20.14875578319671,928200.0
2022-05-25 07:00:00,20.22,21.08,20.12,21.04,1685600.0
2022-05-26 07:00:00,21.62,21.66,21.18,21.42,1169300.0
2022-05-27 07:00:00,21.71,22.68,21.66,22.48,2051900.0
2022-05-30 07:00:00,22.58,22.97,22.39,22.39,1217300.0
2022-05-31 07:00:00,22,22,22,22,"1,137,300"
2022-06-01 07:00:00,21.66,22.58,21.66,22.44,1605600.0
2022-06-02 07:00:00,22.63,23.11,22.05,22.15,1610800.0
2022-06-03 07:00:00,22.19,22.19,21.62,21.86,1049000.0
2022-06-06 07:00:00,21.91,22.73,21.76,22.0,1552500.0
2022-06-07 07:00:00,22.1,23.5,22.1,23.5,4775300.0
2022-06-08 07:00:00,24.41,25.14,24.32,25.14,1805100.0
2022-06-09 07:00:00,25.57,25.91,24.61,24.7,2990500.0
2022-06-10 07:00:00,24.41,25.28,24.32,24.41,3348400.0
2022-06-13 07:00:00,23.55,23.93,22.73,22.87,3396900.0
2022-06-14 07:00:00,22.73,23.83,22.58,23.4,2436100.0
2022-06-15 07:00:00,23.74,23.98,22.48,23.06,2145300.0
2022-06-16 07:00:00,23.74,23.83,34.2982544612862,22.77,2066200.0
2022-06-17 07:00:00,22.19,22.48,21.18,21.18,3194000.0
2022-06-20 07:00:00,20.94,20.99,19.73,19.73,2991300.0
2022-06-21 07:00:00,19.11,20.22,18.53,18.72,2015000.0
2022-06-22 07:00:00,18.91,19.59,18.91,18.91,1366700.0
2022-06-23 07:00:00,19.3,19.98,19.11,19.93,927000.0
2022-06-24 07:00:00,20.26,20.51,19.88,19.88,1278400.0
2022-06-27 07:00:00,20.22,20.41,19.83,20.41,1189300.0
2022-06-28 07:00:00,20.26,20.89,20.26,20.36,1481700.0
2022-06-29 07:00:00,20.17,20.65,19.78,20.22,1393500.0
2022-06-30 07:00:00,20.41,21.04,19.93,19.98,1448800.0
2022-07-01 07:00:00,19.98,20.22,19.11,19.88,1401100.0
