date,open,high,low,close,volume
2022-01-04 07:00:00,22.49,23.15,22.49,23.06,1773100.0
2022-01-05 07:00:00,23.23,24.0,23.2,23.43,2921900.0
2022-01-06 07:00:00,22.92,23.29,22.89,22.89,2267600.0
2022-01-07 07:00:00,22.89,23.09,26.41753979263517,22.52,2641600.0
2022-01-10 07:00:00,22.52,22.52,21.72,21.72,3441700.0
2022-01-11 07:00:00,21.78,22.29,21.55,21.78,1764400.0
2022-01-12 07:00:00,21.78,22.18,20.26,21.78,2464900.0
2022-01-13 07:00:00,22.18,22.18,20.69,20.86,2123000.0
2022-01-14 07:00:00,20.55,21.12,20.17,20.86,940800.0
2022-01-17 07:00:00,21.15,21.15,24.19796304089363,19.43,2676100.0
2022-01-18 07:00:00,19.32,19.89,18.8,18.92,1130500.0
2022-01-19 07:00:00,18.92,20.0,18.89,19.32,880000.0
2022-01-20 07:00:00,19.89,19.89,19.37,19.66,743200.0_err
2022-01-21 07:00:00,19.66,20.06,19.43,19.46,963500.0
2022-01-24 07:00:00,19.43,19.43,18.12,18.12,1625100.0
2022-01-25 07:00:00,17.55,19.03,17.55,19.03,1273200.0
2022-01-26 07:00:00,19.15,19.52,19.03,19.43,714000.0
2022-01-27 07:00:00,19.15,19.72,19.03,19.55,685800.0
2022-01-28 07:00:00,19.43,20.12,19.15,19.32,617600.0
2022-02-07 07:00:00,19.55,20.17,19.55,20.0,514800.0
2022-02-08 07:00:00,19.83,20.26,19.83,20.17,623000.0
2022-02-09 07:00:00,20.23,20.75,20.23,20.43,558500.0
2022-02-10 07:00:00,20.57,20.63,20.09,20.29,591000.0
2022-02-11 07:00:00,20.0,20.49,19.89,20.06,719800.0
2022-02-14 07:00:00,19.83,20.75,19.6,20.17,936600.0
2022-02-15 07:00:00,20.17,20.57,20.17,20.4,1125400.0
2022-02-16 07:00:00,20.69,20.69,20.29,20.32,1319400.0
2022-02-17 07:00:00,20.66,20.69,20.35,20.46,1215500.0
2022-02-18 07:00:00,20.57,21.72,20.4,21.52,2201500.0
2022-02-21 07:00:00,21.66,22.0,21.52,21.55,1088700.0
2022-02-22 07:00:00,21.2,21.43,20.95,21.38,1591800.0
2022-02-23 07:00:00,21.38,21.86,21.32,21.78,1803900.0
2022-02-24 07:00:00,21.72,22.0,20.29,21.63,2849500.0
2022-02-25 07:00:00,21.72,22.0,21.6,21.78,1619000.0
2022-02-28 07:00:00,21.72,22.4,21.72,22.18,1824700.0
2022-03-01 07:00:00,22.2,22.29,22.0,22.12,1151500.0
2022-03-02 07:00:00,22.12,22.12,21.46,21.66,1444200.0
2022-03-03 07:00:00,21.83,21.89,21.15,21.66,1272900.0
2022-03-04 07:00:00,22.0,22.69,21.75,22.0,2069100.0
2022-03-07 07:00:00,22,23,22,23,"4,157,700"
2022-03-08 07:00:00,24.0,24.55,23.43,24.18,5964400.0
2022-03-09 07:00:00,25.66,25.86,24.8,25.86,7319800.0
2022-03-10 07:00:00,27.15,27.55,26.29,26.58,6065900.0
2022-03-11 07:00:00,25.89,26.32,24.89,25.32,4501200.0
2022-03-14 07:00:00,24.86,26.86,24.35,25.95,5578900.0
2022-03-15 07:00:00,25.95,26.58,25.15,25.2,2678200.0
2022-03-16 07:00:00,25.2,26.0,25.15,25.2,2527800.0
2022-03-17 07:00:00,25.38,25.52,24.18,24.18,4011900.0
2022-03-18 07:00:00,24.18,24.69,23.83,24.6,2507300.0
2022-03-21 07:00:00,24.29,25.4,24.29,25.38,2155500.0
2022-03-22 07:00:00,25.15,25.38,24.58,24.63,2900000.0
2022-03-23 07:00:00,24.86,26.12,24.69,25.55,3857600.0
2022-03-24 07:00:00,25.92,26.52,25.86,26.4,3051700.0
2022-03-25 07:00:00,26.4,27.12,25.72,25.542341549371894,2777300.0
2022-03-28 07:00:00,25.43,27.69,25.26,27.69,6870800.0
