date,open,high,low,close,volume
2022-01-04 07:00:00,14.65,15.48,18.601501631439593,15.48,20441700.0
2022-01-05 07:00:00,15.89,16.51,15.72,15.72,38787800.0
2022-01-06 07:00:00,15.6,16.39,15.6,15.93,27000500.0
2022-01-07 07:00:00,15.93,16.84,15.93,16.68,32879500.0
2022-01-10 07:00:00,16.97,17.21,15.52,15.52,31601600.0
2022-01-11 07:00:00,15.72,16.06,15.27,15.43,32266400.0
2022-01-12 07:00:00,15.43,15.89,14.36,15.02,42975500.0
2022-01-13 07:00:00,15.02,15.43,13.99,13.99,39286800.0
2022-01-14 07:00:00,13.66,14.73,13.66,14.65,21841200.0
2022-01-17 07:00:00,14.65,14.65,13.66,13.66,31333400.0
2022-01-18 07:00:00,13.08,13.57,12.7,12.74,27316100.0
2022-01-19 07:00:00,12.91,13.32,12.83,13.28,14804200.0
2022-01-20 07:00:00,13.32,14.15,13.08,14.07,13110700.0
2022-01-21 07:00:00,14.07,14.19,13.74,13.78,15083600.0
2022-01-24 07:00:00,13.66,13.66,12.83,12.83,19100700.0
2022-01-25 07:00:00,12.5,13.7,12.5,13.7,14575700.0
2022-01-26 07:00:00,13.9,13.94,13.49,13.49,10704700.0
2022-01-27 07:00:00,13.49,13.57,13.24,13.57,7877600.0
2022-01-28 07:00:00,13.57,14.03,13.41,13.9,13677000.0
2022-02-07 07:00:00,14.07,14.86,13.99,14.77,21663200.0
2022-02-08 07:00:00,14.73,15.02,14.52,14.81,18412600.0
2022-02-09 07:00:00,14.81,15.02,14.65,14.73,12505600.0
2022-02-10 07:00:00,14.77,15.56,14.77,15.35,30747500.0
2022-02-11 07:00:00,15.31,15.48,14.98,15.14,14833800.0
2022-02-14 07:00:00,14.81,15.19,14.65,14.65,18913400.0
2022-02-15 07:00:00,14.65,15.02,14.32,14.98,18577300.0
2022-02-16 07:00:00,15.23,15.39,14.98,15.06,14321700.0
2022-02-17 07:00:00,15.23,15.68,15.02,15.39,34267000.0
2022-02-18 07:00:00,15.23,15.56,15.14,15.35,18704500.0
2022-02-21 07:00:00,15.35,15.48,15.19,15.23,18521400.0
2022-02-22 07:00:00,15.06,15.1,14.48,14.73,37116500.0
2022-02-23 07:00:00,14.86,15.39,14.81,15.02,16988300.0
2022-02-24 07:00:00,15.06,15.23,14.36,14.69,23983800.0
2022-02-25 07:00:00,14.9,15.02,14.69,14.77,12072000.0
2022-02-28 07:00:00,14.77,14.9,14.32,14.36,28351900.0
2022-03-01 07:00:00,14.28,14.65,13.94,14.44,26541600.0
2022-03-02 07:00:00,14.44,14.81,14.28,14.44,13376100.0
2022-03-03 07:00:00,14.44,14.61,14.15,14.23,18767300.0
2022-03-04 07:00:00,14.23,14.57,14.19,14.32,15772500.0
2022-03-07 07:00:00,14.23,14.23,13.99,14.11,20154400.0
2022-03-08 07:00:00,14.07,14.48,13.99,14.23,18365200.0
2022-03-09 07:00:00,14.32,14.4,13.86,13.86,18666600.0
2022-03-10 07:00:00,14.07,14.19,13.74,13.683688182445543,13857500.0
2022-03-11 07:00:00,13.57,13.82,13.32,13.37,22346800.0
2022-03-14 07:00:00,13.37,13.41,12.91,12.95,16927900.0
2022-03-15 07:00:00,12.99,13.57,12.95,13.57,13518800.0
2022-03-16 07:00:00,13.57,13.82,13.45,13.49,8458000.0
2022-03-17 07:00:00,13.49,13.61,13.45,13.49,7348600.0
2022-03-18 07:00:00,13.49,13.61,13.28,13.32,11552900.0
2022-03-21 07:00:00,13.41,13.53,13.32,13.41,8155900.0
2022-03-22 07:00:00,13.49,13.66,16.414503377614007,13.66,13207500.0
2022-03-23 07:00:00,13.74,14.28,13.7,13.99,20680800.0
2022-03-24 07:00:00,13.99,14.15,13.86,13.9,8315300.0
2022-03-25 07:00:00,13.9,13.9,13.74,13.74,8554500.0
2022-03-28 07:00:00,13.57,13.66,13.12,13.28,15665500.0
2022-03-29 07:00:00,13.28,13.53,13.28,13.45,6043000.0
2022-03-30 07:00:00,13.28,13.49,13.16,13.2,10562100.0
2022-03-31 07:00:00,13.2,13.37,13.12,13.12,6965600.0
2022-04-01 07:00:00,13.08,13.37,12.99,13.24,8096000.0
2022-04-04 07:00:00,13.37,13.53,13.32,13.41,7392200.0
2022-04-05 07:00:00,13.49,13.74,13.41,13.53,9487000.0
2022-04-06 07:00:00,13.49,13.74,13.37,13.57,8752600.0
2022-04-07 07:00:00,13.61,14.03,13.57,13.78,23066300.0
2022-04-08 07:00:00,13.78,13.86,13.41,13.41,8847800.0
2022-04-12 07:00:00,13.41,13.49,12.91,12.91,10488800.0
2022-04-13 07:00:00,12.99,13.08,12.66,12.99,11796000.0
2022-04-14 07:00:00,12.99,13.12,12.87,12.87,6184400.0
2022-04-15 07:00:00,12.79,12.83,12.0,12.17,19545500.0
2022-04-18 07:00:00,12.17,12.46,11.92,12.0,10908100.0
2022-04-19 07:00:00,12.0,12.21,11.17,11.17,11657500.0
2022-04-20 07:00:00,11.17,11.42,10.76,10.8,16671300.0
2022-04-21 07:00:00,10.76,11.21,10.39,11.01,16254500.0
2022-04-22 07:00:00,11.17,11.38,10.72,11.05,9010700.0
2022-04-25 07:00:00,11.13,11.17,10.3,10.3,13769800.0
2022-04-26 07:00:00,9.93,10.76,9.64,10.76,12858100.0
2022-04-27 07:00:00,10.63,10.88,10.51,10.72,6915000.0
2022-04-28 07:00:00,10.72,10.88,10.59,10.59,5831000.0
2022-04-29 07:00:00,10.59,11.05,10.51,10.590539143315532,10360800.0
2022-05-04 07:00:00,11.21,11.63,11.13,11.63,20394300.0
2022-05-05 07:00:00,11.96,12.0,11.5,11.71,13093700.0_err
2022-05-06 07:00:00,11.42,11.96,11.38,11.5,11543100.0
2022-05-09 07:00:00,11.26,11.46,10.72,10.72,15383500.0
2022-05-10 07:00:00,10.18,11.01,10.14,11.01,11050700.0
2022-05-11 07:00:00,11.09,11.17,10.8,10.92,6896600.0
2022-05-12 07:00:00,10.88,10.97,10.18,10.18,10599900.0
2022-05-13 07:00:00,10.22,10.39,9.48,9.48,19896800.0
2022-05-16 07:00:00,9.93,10.14,9.56,9.6,9065600.0
2022-05-17 07:00:00,9.64,10.26,9.6,10.26,10158300.0_err
2022-05-18 07:00:00,10.51,10.68,10.34,10.47,11226900.0
2022-05-19 07:00:00,10.1,10.76,10.1,10.59,12282900.0
2022-05-20 07:00:00,10.72,10.92,10.51,10.59,10580000.0
2022-05-23 07:00:00,10.76,10.88,10.39,10.55,10742800.0
2022-05-24 07:00:00,10.55,10.63,10.18,10.63,9545900.0
2022-05-25 07:00:00,10.68,11.13,10.63,11.09,13931200.0
2022-05-26 07:00:00,11.17,11.17,10.84,10.88,10022600.0
2022-05-27 07:00:00,11,11,11,11,"11,357,700"
2022-05-30 07:00:00,11.13,11.26,11.05,11.13,9576000.0
2022-05-31 07:00:00,11.09,11.26,11.01,11.21,11418700.0
2022-06-01 07:00:00,11.21,11.75,11.13,11.54,19270100.0
2022-06-02 07:00:00,11.59,11.67,11.17,11.21,9044900.0
2022-06-03 07:00:00,11.17,11.3,10.97,11.17,9783700.0
2022-06-06 07:00:00,11.17,11.75,10.92,11.42,24932300.0
