date,open,high,low,close,volume
2022-01-04 07:00:00,37.16,37.53,36.68,37.26,516300.0
2022-01-05 07:00:00,37.16,38.33,37.16,37.79,626600.0
2022-01-06 07:00:00,37.63,37.63,37.05,37.21,512600.0
2022-01-07 07:00:00,37.47,37.47,36.84,36.89,523600.0
2022-01-10 07:00:00,36.84,37.26,36.2,36.25,862300.0
2022-01-11 07:00:00,35.98,36.25,35.13,35.13,894600.0
2022-01-12 07:00:00,35.13,35.61,34.6,35.19,476800.0
2022-01-13 07:00:00,36.04,36.04,35.19,35.19,392000.0
2022-01-14 07:00:00,34.87,35.66,34.87,35.34,158600.0
2022-01-17 07:00:00,35.34,35.45,33.53,34.07,836000.0
2022-01-18 07:00:00,34.07,34.55,33.48,34.07,417600.0
2022-01-19 07:00:00,34.12,34.44,34.07,34.39,118300.0
2022-01-20 07:00:00,34.33,35.08,34.33,34.6,212800.0
2022-01-21 07:00:00,34.65,35.08,34.65,34.92,189300.0
2022-01-24 07:00:00,35.03,35.03,33.32,33.53,393800.0
2022-01-25 07:00:00,33.53,34.33,33.38,34.23,314800.0
2022-01-26 07:00:00,34.23,34.81,34.12,34.55,508800.0
2022-01-27 07:00:00,34,36,34,36,"534,800"
2022-01-28 07:00:00,35.93,36.73,35.66,36.73,745200.0
2022-02-07 07:00:00,37.16,37.16,36.36,36.52,245100.0
2022-02-08 07:00:00,36.2,37.05,36.14,36.94,622100.0
2022-02-09 07:00:00,36.94,37.42,36.94,37.1,498600.0
2022-02-10 07:00:00,36.99,37.1,36.2,36.3,260500.0
2022-02-11 07:00:00,36.2,36.68,36.14,36.36,176700.0
2022-02-14 07:00:00,35.98,36.36,35.93,35.93,254500.0
2022-02-15 07:00:00,35.66,36.41,35.66,36.36,178600.0
2022-02-16 07:00:00,36.46,38.49,36.46,38.49,1134700.0
2022-02-17 07:00:00,38.49,38.59,37.95,38.06,517600.0
2022-02-18 07:00:00,37.85,39.28,37.85,38.59,899400.0
2022-02-21 07:00:00,38.65,39.18,38.06,38.54,744800.0
2022-02-22 07:00:00,38.27,38.33,37.79,38.11,497600.0
2022-02-23 07:00:00,38.43,39.92,38.11,39.66,1046100.0
2022-02-24 07:00:00,39.66,39.98,38.33,39.12,818600.0
2022-02-25 07:00:00,39.12,40.19,38.7,39.39,652600.0
2022-02-28 07:00:00,39.02,40.56,38.97,40.24,997300.0
2022-03-01 07:00:00,40.3,40.4,39.66,39.76,358600.0
2022-03-02 07:00:00,39.66,40.35,39.12,39.39,509300.0
2022-03-03 07:00:00,39.39,40.46,38.75,40.3,821400.0
2022-03-04 07:00:00,40.78,40.78,39.71,39.87,255900.0
2022-03-07 07:00:00,39.82,39.87,39.12,39.28,370100.0
2022-03-08 07:00:00,38.97,40.08,38.59,38.59,1110100.0
2022-03-09 07:00:00,38.49,38.86,53.985550941995584,37.85,859100.0
2022-03-10 07:00:00,38.38,38.86,38.06,38.17,446900.0
2022-03-11 07:00:00,38.38,39.71,38.17,38.43,856100.0
2022-03-14 07:00:00,38.17,39.12,38.17,38.8,402400.0
2022-03-15 07:00:00,39,39,38,38,"264,200"
2022-03-16 07:00:00,38.38,38.59,37.9,37.9,481100.0
2022-03-17 07:00:00,38.11,38.59,37.95,38.22,293700.0
2022-03-18 07:00:00,38.22,38.59,38.17,38.22,257700.0
2022-03-21 07:00:00,38.59,38.59,38.06,38.145701718894024,318200.0
2022-03-22 07:00:00,38.27,39.66,38.27,39.44,1134400.0
2022-03-23 07:00:00,39.44,40.35,39.23,39.66,826600.0
2022-03-24 07:00:00,39.5,42.42,39.39,42.42,2130800.0
2022-03-25 07:00:00,42.58,42.96,41.84,42.05,948100.0
2022-03-28 07:00:00,41.63,43.06,41.63,42.53,1154500.0
2022-03-29 07:00:00,43.06,43.49,42.53,42.85,1067000.0
2022-03-30 07:00:00,42.85,43.81,42.21,43.33,1382000.0
2022-03-31 07:00:00,44,45,43,43,"1,059,100"
2022-04-01 07:00:00,43.65,44.93,43.49,44.12161801282229,1105600.0
2022-04-04 07:00:00,44.71,45.19,43.92,43.92,766200.0
2022-04-05 07:00:00,43.92,44.34,43.28,43.65,800900.0
2022-04-06 07:00:00,43.38,45.25,43.28,45.73993309376828,935400.0
2022-04-07 07:00:00,45.14,45.78,43.12,43.12,1025700.0
2022-04-08 07:00:00,43.65,43.81,42.53,43.54,964100.0
2022-04-12 07:00:00,43.97,43.97,42.05,42.11,670500.0
2022-04-13 07:00:00,42.11,43.65,41.31,43.17,873400.0
2022-04-14 07:00:00,43.12,44.45,42.58,43.65,744400.0
2022-04-15 07:00:00,43.49,46.63,43.49,46.31,1484100.0
2022-04-18 07:00:00,46.31,47.7,45.57,47.16,852700.0
2022-04-19 07:00:00,47.16,47.27,44.69,45.55,608500.0
2022-04-20 07:00:00,45.22,45.39,43.07,43.07,1122400.0
2022-04-21 07:00:00,42.32,44.47,41.94,43.5,728300.0
2022-04-22 07:00:00,43.34,44.9,40.49,41.24,1356300.0
2022-04-25 07:00:00,41.72,41.72,38.39,38.39,1317900.0
2022-04-26 07:00:00,36.66,39.84,36.07,39.79,704100.0
2022-04-27 07:00:00,39.3,40.33,38.76,39.84,310000.0
2022-04-28 07:00:00,40.92,42.59,40.76,42.59,1010500.0
2022-04-29 07:00:00,43.07,45.44,43.07,44.36,961800.0
2022-05-04 07:00:00,44.69,45.44,44.36,44.69,732100.0
2022-05-05 07:00:00,45.22,45.44,43.12,44.26,778000.0
2022-05-06 07:00:00,44.04,47.32,43.61,46.3,1914500.0
2022-05-09 07:00:00,45.76,46.57,43.61,43.61,1189300.0
