date,open,high,low,close,volume
2022-01-04 07:00:00,12.03,12.19,11.95,12.03,12284800.0
2022-01-05 07:00:00,12.08,12.11,11.76,11.76,9735600.0
2022-01-06 07:00:00,11.76,12.03,11.6,12.03,17611400.0
2022-01-07 07:00:00,12.0,12.03,11.74,11.82,10968100.0
2022-01-10 07:00:00,11.87,12.0,11.39,11.39,8808000.0
2022-01-11 07:00:00,11.5,11.6,11.26,11.26,10186100.0
2022-01-12 07:00:00,11.28,11.87,11.12,11.87,20379700.0
2022-01-13 07:00:00,11.87,12.25,11.74,11.9,18076100.0
2022-01-14 07:00:00,11.55,12.03,11.55,12.03,13045700.0
2022-01-17 07:00:00,12.0,12.06,11.52,11.76,13097300.0
2022-01-18 07:00:00,11.44,11.71,11.02,11.02,8178700.0
2022-01-19 07:00:00,11.23,11.39,10.35,10.35,7557900.0
2022-01-20 07:00:00,10.59,11.02,10.45,10.96,10012700.0
2022-01-21 07:00:00,11.2,11.39,11.02,11.02,7067000.0
2022-01-24 07:00:00,11.02,11.34,10.99,11.02,10341700.0
2022-01-25 07:00:00,11.04,11.44,10.96,11.44,10558300.0
2022-01-26 07:00:00,11.55,11.9,11.5,11.87,15516500.0
2022-01-27 07:00:00,11.92,12.25,11.71,11.71,8719100.0
2022-01-28 07:00:00,11.71,12.03,11.71,12.03,10430600.0
2022-02-07 07:00:00,12.19,12.41,12.03,12.35,12971600.0
2022-02-08 07:00:00,12.25,12.43,12.19,12.41,11047800.0
2022-02-09 07:00:00,12.41,12.94,12.27,12.89,29219200.0
2022-02-10 07:00:00,12.75,12.86,12.62,12.62,13070400.0
2022-02-11 07:00:00,12.57,12.67,12.51,12.62,9905100.0
2022-02-14 07:00:00,12.3,12.46,11.76,11.76,19137600.0
2022-02-15 07:00:00,11.82,12.19,11.79,12.06,12320200.0
2022-02-16 07:00:00,12.11,12.22,12.0,12.08,9397700.0
2022-02-17 07:00:00,12.03,12.22,12.03,12.03,4697000.0
2022-02-18 07:00:00,12.0,12.06,11.92,11.92,9016600.0
2022-02-21 07:00:00,11.87,12.03,11.79,11.92,10414500.0
2022-02-22 07:00:00,11.76,11.98,11.66,11.79,9531900.0
2022-02-23 07:00:00,11.87,12.06,11.82,11.82,10010300.0
2022-02-24 07:00:00,11.82,11.92,11.39,11.6,12071800.0
2022-02-25 07:00:00,11.76,11.87,11.66,11.66,7373200.0
2022-02-28 07:00:00,11.68,11.71,11.58,11.58,5275500.0
2022-03-01 07:00:00,11.58,11.63,11.47,11.5,9618000.0
2022-03-02 07:00:00,11.42,11.47,11.18,11.23,14650200.0
2022-03-03 07:00:00,11.31,11.42,11.23,11.28,6319000.0
2022-03-04 07:00:00,11.39,11.63,11.34,11.42,6219500.0
2022-03-07 07:00:00,11.26,11.36,11.23,11.26,11834200.0
2022-03-08 07:00:00,11.12,11.47,11.1,11.2,13867200.0
2022-03-09 07:00:00,11.31,11.31,11.07,11.23,9773200.0
2022-03-10 07:00:00,11.39,11.5,11.26,11.26,6180400.0
2022-03-11 07:00:00,11.31,11.42,11.2,11.26,8088200.0
2022-03-14 07:00:00,11.34,11.74,11.23,11.68,21650700.0
2022-03-15 07:00:00,11.79,11.87,11.6,11.6,10352500.0
2022-03-16 07:00:00,11.63,11.74,11.52,11.63,5092100.0
2022-03-17 07:00:00,11.6,11.82,11.6,11.82,11222400.0
2022-03-18 07:00:00,11.82,11.95,11.58,11.58,10855600.0
2022-03-21 07:00:00,11.6,11.84,11.58,11.84,9584100.0
2022-03-22 07:00:00,11.82,11.9,11.76,11.79,14178100.0
2022-03-23 07:00:00,11.82,12.03,11.74,11.74,8460700.0
2022-03-24 07:00:00,11.74,11.87,11.68,11.76,5256700.0
2022-03-25 07:00:00,11.82,11.84,11.68,11.76,4405000.0
2022-03-28 07:00:00,11.76,11.76,11.42,11.44,8568600.0
2022-03-29 07:00:00,11.5,11.76,11.44,11.59030947257118,6999800.0
2022-03-30 07:00:00,11.5,11.74,11.36,11.63,7597100.0
2022-03-31 07:00:00,11.6,11.66,11.36,11.44,5595600.0
2022-04-01 07:00:00,11.28,11.87,11.28,11.82,10566600.0
2022-04-04 07:00:00,11.76,11.92,11.6,11.6,13831400.0
2022-04-05 07:00:00,11.5,11.6,11.39,11.39,8153300.0
2022-04-06 07:00:00,11.23,11.5,10.91,11.42,17364200.0_err
2022-04-07 07:00:00,11.28,11.42,11.02,11.04,11287000.0
2022-04-08 07:00:00,10.96,11.1,10.7,10.7,18300100.0
2022-04-12 07:00:00,10.72,10.8,10.16,10.16,9283100.0
2022-04-13 07:00:00,10.24,10.48,10.13,10.48,6053500.0
2022-04-14 07:00:00,10.59,10.78,10.51,10.51,6332900.0
2022-04-15 07:00:00,10.54,10.67,10.4,10.4,5247600.0
2022-04-18 07:00:00,10.37,10.48,9.89,10.4,9371500.0_err
2022-04-19 07:00:00,10.32,10.4,9.71,9.71,8090000.0
2022-04-20 07:00:00,9.63,9.87,9.04,9.04,8241200.0
2022-04-21 07:00:00,8.82,9.25,8.42,8.66,19085000.0
2022-04-22 07:00:00,8.85,9.01,8.58,8.77,10898300.0
2022-04-25 07:00:00,8.88,9.04,8.26,8.26,9262200.0
2022-04-26 07:00:00,8.07,8.5,7.89,8.45,12450900.0
2022-04-27 07:00:00,8.56,8.74,8.4,8.66,7815200.0
2022-04-28 07:00:00,8.74,8.9,8.64,8.66,4084700.0_err
2022-04-29 07:00:00,8.72,8.88,8.64,8.72,7934600.0
2022-05-04 07:00:00,8.85,9.14,8.77,8.93,8614400.0
2022-05-05 07:00:00,9.14,9.14,8.74,8.82,5086600.0
2022-05-06 07:00:00,8.64,8.77,8.29,8.29,5803400.0
2022-05-09 07:00:00,8.34,8.34,7.73,7.75,15576800.0
2022-05-10 07:00:00,7.49,7.89,7.43,7.86,10894600.0_err
2022-05-11 07:00:00,7.94,8.02,7.78,7.83,5278600.0
2022-05-12 07:00:00,7.75,7.83,7.3,7.33,11900700.0
2022-05-13 07:00:00,7.33,7.33,6.82,6.84,16984900.0
2022-05-16 07:00:00,6.95,7.22,6.5,6.5,13082500.0
2022-05-17 07:00:00,6.31,6.95,6.31,6.95,11063300.0
2022-05-18 07:00:00,7.19,7.43,7.06,7.537162066072429,6464200.0
2022-05-19 07:00:00,7.43,7.86,7.33,7.73,18992600.0
2022-05-20 07:00:00,7.75,7.91,7.65,7.89,12657800.0
2022-05-23 07:00:00,7.97,8.15,7.49,7.75,10002600.0
2022-05-24 07:00:00,7.65,7.83,7.38,7.7,11817800.0
2022-05-25 07:00:00,7.73,8.15,7.73,8.13,12425500.0
2022-05-26 07:00:00,8,8,8,8,"7,210,100"
2022-05-27 07:00:00,8.1,8.18,8.02,8.13,8113500.0
2022-05-30 07:00:00,8.18,8.21,8.07,8.1,9099700.0
2022-05-31 07:00:00,8.05,8.1,7.91,7.91,8480500.0
2022-06-01 07:00:00,7.94,8.13,7.91,7.94,4711500.0_err
2022-06-02 07:00:00,7.97,8.05,7.81,7.81,5684300.0
2022-06-03 07:00:00,7.81,7.86,7.65,7.73,4566700.0
2022-06-06 07:00:00,7.65,7.75,7.51,7.338403801251072,6839700.0
2022-06-07 07:00:00,7.51,7.51,7.17,7.3,9427800.0
2022-06-08 07:00:00,7.41,7.81,7.35,7.81,8126100.0
2022-06-09 07:00:00,7.86,7.97,7.78,7.83,3911900.0
2022-06-10 07:00:00,7.73,7.91,7.65,7.65,6049400.0
2022-06-13 07:00:00,7.38,7.54,7.22,7.22,9650800.0
2022-06-14 07:00:00,7.11,7.43,7.06,7.27,5758900.0
2022-06-15 07:00:00,7.3,7.38,6.87,7.09,5420200.0
2022-06-16 07:00:00,7.22,7.27,7.11,7.11,3930400.0
2022-06-17 07:00:00,6.95,7.0,6.63,6.92,12971900.0
2022-06-20 07:00:00,6.84,7.25,6.84,7.14,14402600.0
2022-06-21 07:00:00,7,7,7,7,"3,529,600"
2022-06-22 07:00:00,7.11,7.3,6.92,7.06,5018600.0
2022-06-23 07:00:00,7.09,7.27,7.06,7.25,3189200.0
2022-06-24 07:00:00,7.27,7.38,7.22,7.22,3883200.0
