date,open,high,low,close,volume
2022-01-04 07:00:00,47.02,50.71,46.99,49.7,54846.0
2022-01-05 07:00:00,49.86,50.07,49.36,49.7,5233.0
2022-01-06 07:00:00,49.86,49.93,48.78,48.78,5560.0
2022-01-07 07:00:00,49.15,49.66,47.33,47.67,33231.0
2022-01-10 07:00:00,48.21,50.71,48.21,49.36,72904.0
2022-01-11 07:00:00,49.36,51.25,49.36,51.01,99460.0
2022-01-12 07:00:00,50.95,51.39,49.73,50.774836644418244,58107.0
2022-01-13 07:00:00,50.71,51.05,49.7,49.76,50933.0
2022-01-14 07:00:00,50.3,50.3,48.68,49.9,41913.0
2022-01-17 07:00:00,49.22,49.7,46.65,48.68,43527.0
2022-01-18 07:00:00,45.64,47.46,45.64,46.69,23210.0
2022-01-19 07:00:00,46.65,48.85,46.31,47.33,17700.0
2022-01-20 07:00:00,48.31,48.51,47.33,48.51,10488.0
2022-01-21 07:00:00,48.0,49.02,47.67,48.17,50242.0
2022-01-24 07:00:00,47.33,48.28,46.65,46.65,40160.0
2022-01-25 07:00:00,47.36,48.0,46.89,48.0,49991.0
2022-01-26 07:00:00,49.36,49.36,46.69,47.67,22565.0
2022-01-27 07:00:00,47.06,47.8,46.99,47.33,16020.0
2022-01-28 07:00:00,48.58,48.58,46.86,47.67,3500.0
2022-02-07 07:00:00,47.67,47.67,46.65,47.16,44300.0_err
2022-02-08 07:00:00,47.06,47.06,46.89,46.89,16410.0
2022-02-09 07:00:00,46.79,47.26,46.79,46.82,15475.0
2022-02-10 07:00:00,47.06,47.33,46.86,47.23,16710.0
2022-02-11 07:00:00,48.68,48.68,46.82,46.99,15881.0
2022-02-14 07:00:00,46.96,46.99,46.38,46.92,11100.0
2022-02-15 07:00:00,46.65,47.33,46.65,47.33,9835.0
2022-02-16 07:00:00,46.69,47.16,46.69,47.13,7700.0
2022-02-17 07:00:00,47,47,47,47,"8,300"
2022-02-18 07:00:00,46.82,47.06,46.69,46.99,11700.0
2022-02-21 07:00:00,47.67,48.34,46.99,47.73,33319.0
2022-02-22 07:00:00,47.7,47.7,46.99,46.99,12219.0
2022-02-23 07:00:00,47.02,48.0,47.02,47.63,20050.0
2022-02-24 07:00:00,48.17,48.17,46.65,47.26,34011.0
2022-02-25 07:00:00,46.75,47.33,46.69,47.3,34321.0
2022-02-28 07:00:00,47,48,47,48,"54,472"
2022-03-01 07:00:00,47.19,47.67,46.99,47.5,20905.0
2022-03-02 07:00:00,46.99,47.94,46.99,47.63,7600.0
2022-03-03 07:00:00,47.02,48.0,46.82,46.99,12178.0
2022-03-04 07:00:00,47.67,47.7,46.65,46.99,15400.0_err
2022-03-07 07:00:00,46.99,46.99,46.52,46.65,40645.0
2022-03-08 07:00:00,46.65,46.69,46.59,46.65,31100.0
2022-03-09 07:00:00,46.65,46.65,46.52,46.65,41600.0
2022-03-10 07:00:00,46.65,46.65,46.48,46.62,15400.0
2022-03-11 07:00:00,46.59,46.59,49.91423432946119,46.52,29445.0
2022-03-14 07:00:00,45.33,46.48,45.3,46.15,8817.0
2022-03-15 07:00:00,46.62,46.65,45.98,46.31,16150.0
2022-03-16 07:00:00,46.62,46.65,49.9785153781791,46.15,12600.0
2022-03-17 07:00:00,46.35,46.35,46.11,46.11,16160.0
2022-03-18 07:00:00,46.65,46.65,46.25,46.25,8455.0
2022-03-21 07:00:00,46.31,46.31,45.98,45.98,26660.0
2022-03-22 07:00:00,46.15,46.65,45.81,46.65,20340.0
2022-03-23 07:00:00,46.01,46.01,45.88,45.98,2900.0
2022-03-24 07:00:00,45.98,46.59,45.98,46.04,6200.0
2022-03-25 07:00:00,46.18,46.31,45.64,46.18,16650.0
2022-03-28 07:00:00,46.01,46.15,45.5,45.64,5000.0
2022-03-29 07:00:00,46.15,46.15,45.71,45.98,5500.0
2022-03-30 07:00:00,45.84,45.84,45.5,45.64,16600.0
2022-03-31 07:00:00,45.81,46.65,44.62,46.65,72000.0
2022-04-01 07:00:00,46.65,48.14,45.88,47.33,57312.0
2022-04-04 07:00:00,47.33,48.68,47.33,47.87,30050.0
