date,open,high,low,close,volume
2022-01-04 07:00:00,23.86,24.19,23.76,24.04,11334600.0
2022-01-05 07:00:00,24.04,24.19,23.76,23.86,9569600.0
2022-01-06 07:00:00,23.71,23.81,23.43,23.57,10716700.0
2022-01-07 07:00:00,23.57,23.67,23.34,23.36,7832200.0
2022-01-10 07:00:00,23.38,23.43,22.98,22.98,8771400.0
2022-01-11 07:00:00,23.1,23.19,22.86,22.89,7296500.0
2022-01-12 07:00:00,22.89,23.81,22.86,23.81,12044200.0
2022-01-13 07:00:00,24.04,24.47,23.71,23.86,14417100.0
2022-01-14 07:00:00,23.62,23.81,23.38,23.5,5187100.0
2022-01-17 07:00:00,23.48,23.86,22.96,22.96,10990600.0
2022-01-18 07:00:00,22.96,23.36,22.91,23.03,7885200.0
2022-01-19 07:00:00,23.15,23.34,23.05,23.08,4221900.0
2022-01-20 07:00:00,22.98,23.34,22.96,23.08,6430300.0
2022-01-21 07:00:00,23.15,24.0,23.1,23.53,10321600.0
2022-01-24 07:00:00,23.6,24.28,23.53,23.76,16269200.0
2022-01-25 07:00:00,24.19,24.61,24.09,24.52,14466300.0
2022-01-26 07:00:00,24.75,25.18,24.56,24.75,15042300.0
2022-01-27 07:00:00,24.56,24.9,24.33,24.52,8044000.0
2022-01-28 07:00:00,24.52,25.04,24.38,24.94,10292900.0
2022-02-07 07:00:00,25.37,25.41,24.94,24.94,9809900.0
2022-02-08 07:00:00,24.94,25.65,24.94,25.41,16481000.0
2022-02-09 07:00:00,25.51,25.93,25.32,25.32,17391000.0
2022-02-10 07:00:00,25.32,25.6,25.08,25.32,11224900.0
2022-02-11 07:00:00,25.27,25.41,25.04,25.37,7847800.0
2022-02-14 07:00:00,25.13,25.13,24.33,24.33,18771500.0
2022-02-15 07:00:00,24.38,24.61,24.23,24.47,8584300.0
2022-02-16 07:00:00,24.66,24.66,24.33,24.38,6174400.0
2022-02-17 07:00:00,24.38,24.8,24.38,24.66,7301000.0
2022-02-18 07:00:00,24.42,24.56,24.33,24.38,6543700.0
2022-02-21 07:00:00,24.38,24.42,24.0,24.33,8654200.0
2022-02-22 07:00:00,24.09,24.42,23.9,24.28,10561000.0
2022-02-23 07:00:00,24.42,24.66,24.28,24.42,6188300.0
2022-02-24 07:00:00,24.33,24.52,23.53,23.86,15534300.0
2022-02-25 07:00:00,24.09,24.23,23.86,23.95,6665900.0
2022-02-28 07:00:00,23.86,24.04,23.71,23.81,7106100.0
2022-03-01 07:00:00,23.95,23.95,23.67,23.76,6945900.0
2022-03-02 07:00:00,23.67,23.67,23.24,23.24,17893700.0
2022-03-03 07:00:00,23.38,23.57,23.22,23.45,7391900.0
2022-03-04 07:00:00,23.5,23.81,23.38,23.6,7022700.0
2022-03-07 07:00:00,23.38,23.43,23.19,23.27,8122400.0
2022-03-08 07:00:00,23.15,23.38,23.05,23.15,8766400.0
