date,open,high,low,close,volume
2022-01-04 07:00:00,19.39,20.21,19.3,19.97,11034900.0
2022-01-05 07:00:00,19.86,19.97,19.58,19.62,3828100.0
2022-01-06 07:00:00,19.3,20.09,19.3,19.62,5190400.0
2022-01-07 07:00:00,19.55,19.81,19.16,19.16,4150700.0
2022-01-10 07:00:00,19.16,19.6,18.9,18.9,4219100.0
2022-01-11 07:00:00,18.87,19.39,18.69,18.78,4830300.0
2022-01-12 07:00:00,18.78,20.09,18.69,20.09,18620300.0
2022-01-13 07:00:00,20.23,20.56,19.67,19.69,17622800.0
2022-01-14 07:00:00,19.48,19.88,19.44,19.58,5566400.0
2022-01-17 07:00:00,19.44,19.72,18.78,18.78,9068700.0
2022-01-18 07:00:00,18,19,18,18,"9,953,400"
2022-01-19 07:00:00,18.03,18.83,18.03,18.36,6653400.0
2022-01-20 07:00:00,18.36,18.85,18.34,18.5,7434600.0
2022-01-21 07:00:00,18.52,19.16,18.52,18.69,8225000.0
2022-01-24 07:00:00,18.69,18.92,17.38,17.64,6820100.0
2022-01-25 07:00:00,17.61,18.69,17.61,18.57,8957900.0
2022-01-26 07:00:00,18.69,18.95,18.31,18.31,10946400.0
2022-01-27 07:00:00,18.41,18.92,18.31,18.78,7264800.0
2022-01-28 07:00:00,18.76,19.76,18.69,19.6,15526500.0
2022-02-07 07:00:00,19.76,19.9,19.3,19.10117255994912,5806800.0
2022-02-08 07:00:00,19.55,19.81,19.3,19.62,5776900.0
2022-02-09 07:00:00,19.58,19.79,19.34,19.39,5316900.0
2022-02-10 07:00:00,19.53,19.53,19.06,19.25,3954300.0
2022-02-11 07:00:00,19.16,20.07,19.06,20.02,15984500.0
2022-02-14 07:00:00,19.62,20.02,18.69,18.69,7405700.0
2022-02-15 07:00:00,19.16,19.18,27.57534095675589,19.04,3153900.0
2022-02-16 07:00:00,19.13,19.2,18.85,18.87,2879600.0
2022-02-17 07:00:00,18.87,19.23,18.83,19.23,3081100.0
2022-02-18 07:00:00,18.92,19.25,18.92,19.06,3759900.0
2022-02-21 07:00:00,18.92,19.11,18.73,19.11,3924200.0
2022-02-22 07:00:00,18.95,19.39,18.87,19.39,8309400.0
2022-02-23 07:00:00,19.39,20.18,19.37,19.9,16076300.0
2022-02-24 07:00:00,19.62,19.81,18.83,19.27,4957200.0
2022-02-25 07:00:00,19.48,19.97,19.3,19.6,10795200.0
2022-02-28 07:00:00,19.53,19.86,19.16,19.74,5548200.0
2022-03-01 07:00:00,19.72,20.18,19.58,20.0,11884800.0
2022-03-02 07:00:00,19.83,20.23,19.2,19.37,8271600.0
2022-03-03 07:00:00,19.44,19.74,19.2,19.39,4590700.0
2022-03-04 07:00:00,19.2,19.51,18.92,19.04,5107000.0
2022-03-07 07:00:00,18.87,18.9,17.99,18.22,10005000.0
2022-03-08 07:00:00,18.13,18.69,17.92,18.13,5092700.0
2022-03-09 07:00:00,18.15,18.38,18.13,18.13,2653800.0
2022-03-10 07:00:00,18.59,18.59,18.2,18.22,2043100.0
2022-03-11 07:00:00,18.08,18.45,18.01,18.06,2509400.0
2022-03-14 07:00:00,17.99,18.45,17.99,18.31,2160600.0
2022-03-15 07:00:00,18.31,18.83,18.27,18.64,8713700.0
