date,open,high,low,close,volume
2022-01-04 07:00:00,44.03,47.09,43.94,47.09,2287900.0
2022-01-05 07:00:00,47.42,47.92,46.34,46.34,1581700.0
2022-01-06 07:00:00,45.68,47.75,45.52,47.01,1110900.0
2022-01-07 07:00:00,47.09,49.24,46.34,48.83,1757700.0
2022-01-10 07:00:00,49.24,49.24,46.18,46.18,1429200.0
2022-01-11 07:00:00,45.52,47.67,45.52,45.52,1143100.0
2022-01-12 07:00:00,43.86,45.52,42.37,44.69,2325000.0
2022-01-13 07:00:00,44.85,45.77,42.21,42.62,1175400.0
2022-01-14 07:00:00,41.96,44.36,41.88,43.45,714000.0
2022-01-17 07:00:00,43.86,43.86,40.43,40.43,1433500.0
2022-01-18 07:00:00,39.31,40.43,38.23,39.31,920700.0
2022-01-19 07:00:00,40.8,40.8,38.73,39.81,676100.0
2022-01-20 07:00:00,40.88,42.54,39.81,42.54,1118700.0
2022-01-21 07:00:00,42.21,42.95,41.05,41.21,1020200.0
2022-01-24 07:00:00,40.63,41.34,38.36,38.48,713400.0
2022-01-25 07:00:00,38.07,41.13,37.82,40.97,584400.0
2022-01-26 07:00:00,40.97,42.95,40.97,41.13,659400.0
2022-01-27 07:00:00,41.21,42.29,39.56,39.56,428100.0
2022-01-28 07:00:00,39.81,41.05,39.31,40.05,374100.0
2022-02-07 07:00:00,41.63,41.63,40.22,41.3,279900.0
2022-02-08 07:00:00,41.3,43.03,41.3,42.87,1070100.0
2022-02-09 07:00:00,42.87,44.11,42.79,43.86,888500.0
2022-02-10 07:00:00,43.86,45.43,43.28,45.35,1938900.0
2022-02-11 07:00:00,44.69,45.68,44.69,45.1,1019700.0
2022-02-14 07:00:00,44.36,45.1,44.03,44.44,1005900.0
2022-02-15 07:00:00,44.28,44.36,43.45,44.36,734600.0
2022-02-16 07:00:00,44.94,45.35,44.28,45.19,1412200.0
2022-02-17 07:00:00,45.19,46.18,43.86,45.1,1235300.0
2022-02-18 07:00:00,44.52,47.09,44.28,46.76,2568200.0
2022-02-21 07:00:00,46.76,47.17,46.01,46.51,936000.0
2022-02-22 07:00:00,45.77,46.18,44.52,45.52,1497000.0
2022-02-23 07:00:00,45.19,46.18,44.52,45.52,1550100.0
2022-02-24 07:00:00,45.52,45.52,42.37,43.86,1878300.0
2022-02-25 07:00:00,44.03,45.19,43.86,44.36,774400.0
2022-02-28 07:00:00,44.61,44.61,43.45,43.45,860300.0
2022-03-01 07:00:00,43.2,44.61,42.7,44.61,1612700.0
2022-03-02 07:00:00,44.61,44.61,43.2,43.2,643000.0
2022-03-03 07:00:00,43.12,44.11,42.87,43.12013651872021,811500.0
2022-03-04 07:00:00,44.19,44.94,43.45,44.28,910000.0
2022-03-07 07:00:00,43.86,45.35,43.78,45.27,1225700.0
2022-03-08 07:00:00,45.02,46.51,44.52,44.52,1767500.0
2022-03-09 07:00:00,44.44,44.69,43.7,43.78,689800.0
2022-03-10 07:00:00,44.69,44.77,43.94,45.18946262071561,566500.0
2022-03-11 07:00:00,43.94,44.03,42.21,42.21,1459800.0
2022-03-14 07:00:00,41.46,42.62,40.88,40.92,844000.0
2022-03-15 07:00:00,40.55,42.04,40.14,41.88,545200.0
2022-03-16 07:00:00,42.21,42.54,40.84,41.01,655900.0
2022-03-17 07:00:00,41.38,42.29,41.05,41.88,669200.0
2022-03-18 07:00:00,42.37,42.79,41.54,42.12,311100.0
2022-03-21 07:00:00,41.79,42.79,41.79,42.45,361600.0
2022-03-22 07:00:00,42.62,43.78,42.54,43.03,799100.0
2022-03-23 07:00:00,43.03,44.85,42.87,44.85,1530300.0
2022-03-24 07:00:00,44.85,47.92,44.77,47.92,3583000.0
2022-03-25 07:00:00,47.67,49.65,47.67,48.83,1725700.0
2022-03-28 07:00:00,47.83,50.48,46.43,50.32,1804200.0
2022-03-29 07:00:00,50.32,50.73,49.49,49.65,998400.0
2022-03-30 07:00:00,49.08,50.48,47.59,50.15,1648000.0
2022-03-31 07:00:00,50,54,49,54,"2,687,500"
2022-04-01 07:00:00,54,54,52,53,"1,364,900"
2022-04-04 07:00:00,52.97,56.44,52.97,54.95,1808000.0
2022-04-05 07:00:00,54.54,55.12,53.46,53.71,1676300.0
2022-04-06 07:00:00,49.99,52.8,49.99,49.99,3357200.0
2022-04-07 07:00:00,49.57,50.73,46.76,47.92,2636800.0
2022-04-08 07:00:00,46.34,48.08,44.61,44.61,2000100.0
2022-04-12 07:00:00,45.52,45.93,42.21,43.12,1034600.0
2022-04-13 07:00:00,43.28,46.1,43.28,46.1,983900.0
2022-04-14 07:00:00,46.34,47.17,45.19,45.35,1099100.0
2022-04-15 07:00:00,43.45,44.69,42.29,42.37,1894300.0
2022-04-18 07:00:00,41.63,43.61,40.97,42.7,1487600.0
2022-04-19 07:00:00,43.2,44.03,39.72,39.72,1141100.0
2022-04-20 07:00:00,38.9,40.47,37.24,37.24,1602900.0
2022-04-21 07:00:00,36.41,39.31,35.42,38.4,1308500.0
2022-04-22 07:00:00,39.31,39.56,36.58,39.23,874600.0
2022-04-25 07:00:00,39.19,39.35,36.5,36.5,916300.0
2022-04-26 07:00:00,34.43,36.5,34.01,36.5,1081600.0
2022-04-27 07:00:00,36.5,38.07,34.01,37.74,550300.0
2022-04-28 07:00:00,37.32,39.23,37.32,38.15,920500.0
2022-04-29 07:00:00,38.19,39.23,37.28,39.06,878500.0
2022-05-04 07:00:00,39.06,39.06,37.9,38.65,941900.0
2022-05-05 07:00:00,38.94,40.34,38.94,40.18,1806200.0
2022-05-06 07:00:00,39.14,39.19,37.41,37.41,1575300.0
2022-05-09 07:00:00,35.71,36.87,34.8,34.8,1142500.0
2022-05-10 07:00:00,32.44,34.18,32.4,34.18,1474400.0
2022-05-11 07:00:00,33.72,34.76,32.28,33.1,449800.0
2022-05-12 07:00:00,33.93,34.18,30.79,30.79,1015500.0
2022-05-13 07:00:00,30.21,31.7,28.63,28.63,1246400.0
2022-05-16 07:00:00,29.38,30.46,26.65,26.65,1124800.0
2022-05-17 07:00:00,25.35,28.47,25.35,28.47,822200.0
2022-05-18 07:00:00,29.08,30.42,29.08,30.42,1042800.0
2022-05-19 07:00:00,29.17,32.55,29.17,32.55,1103000.0
2022-05-20 07:00:00,33.29,34.46,32.55,33.94,1182400.0
2022-05-23 07:00:00,34.63,34.63,31.6,31.94,1396300.0
2022-05-24 07:00:00,31.94,32.98,30.38,32.98,771000.0
2022-05-25 07:00:00,32.98,35.15,32.25,34.81,1554800.0
2022-05-26 07:00:00,34.89,36.41,34.68,34.89,1066800.0
2022-05-27 07:00:00,34.72,35.72,34.72,34.98,918000.0
2022-05-30 07:00:00,34.85,36.2,34.42,35.59,1150500.0
2022-05-31 07:00:00,35.59,36.37,34.72,34.81,1372600.0
2022-06-01 07:00:00,34.98,36.02,34.55,35.5,802700.0
2022-06-02 07:00:00,35.59,37.8,35.59,36.63,1482800.0
2022-06-03 07:00:00,36.2,36.63,35.33,35.98,784700.0
2022-06-06 07:00:00,35.98,36.98,35.42,35.98,1147000.0
2022-06-07 07:00:00,35.42,36.11,34.37,36.11,1320800.0
2022-06-08 07:00:00,36.76,38.63,36.72,38.63,1837500.0
2022-06-09 07:00:00,39.49,41.32,38.97,41.32,2513600.0
2022-06-10 07:00:00,40.36,42.23,40.36,40.84,1717700.0
2022-06-13 07:00:00,39.15,42.45,39.06,40.54,2095200.0
2022-06-14 07:00:00,40.1,43.36,40.02,43.36,2367100.0
2022-06-15 07:00:00,44.53,45.74,43.83,45.74,2459200.0
2022-06-16 07:00:00,46.09,47.48,44.1,44.79,2137500.0
2022-06-17 07:00:00,43.75,47.48,42.53,44.79,3030700.0
2022-06-20 07:00:00,45.22,46.7,42.79,43.05,2294900.0
2022-06-21 07:00:00,43.4,45.05,42.53,42.71,1952700.0
2022-06-22 07:00:00,42.97,45.05,65.32798431330589,42.71,1391200.0
2022-06-23 07:00:00,42.1,45.66,42.1,45.66,1208700.0
2022-06-24 07:00:00,46.7,48.52,46.0,46.0,1366500.0
2022-06-27 07:00:00,46.44,48.17,45.74,46.44,998300.0
2022-06-28 07:00:00,46.61,47.74,45.14,46.44,1203900.0
2022-06-29 07:00:00,46.0,46.44,45.22,46.09,767300.0
2022-06-30 07:00:00,46.0,47.31,45.66,45.66,611200.0
2022-07-01 07:00:00,45.05,45.92,43.05,45.92,1204400.0
2022-07-04 07:00:00,47,48,46,46,"856,100"
2022-07-05 07:00:00,46.44,46.79,42.97,42.97,1321000.0
2022-07-06 07:00:00,41.66,42.97,39.97,39.97,1470900.0
2022-07-07 07:00:00,39.93,40.15,37.32,40.1,931400.0
2022-07-08 07:00:00,39.93,41.58,39.84,40.54,556300.0
2022-07-11 07:00:00,40.45,41.71,39.06,41.36,942700.0
2022-07-12 07:00:00,42.01,43.83,41.23,43.83,723600.0
2022-07-13 07:00:00,43.66,44.88,42.97,43.92,644700.0
2022-07-14 07:00:00,43.31,44.18,43.23,44.01,819000.0
2022-07-15 07:00:00,44.01,45.14,43.83,43.83,659600.0
2022-07-18 07:00:00,44.27,45.57,43.92,43.92,673300.0
2022-07-19 07:00:00,43.92,46.96,43.92,46.96,2057300.0
2022-07-20 07:00:00,48.52,50.17,47.74,48.78,1322100.0
2022-07-21 07:00:00,48.7,51.21,47.74,50.78,1730500.0
2022-07-22 07:00:00,50.0,52.52,49.3,50.52,1467800.0
2022-07-25 07:00:00,50.43,51.56,49.3,49.48,716400.0
2022-07-26 07:00:00,49.91,50.95,48.78,48.78,918400.0
2022-07-27 07:00:00,48.52,52.17,47.74,52.17,2086100.0
2022-07-28 07:00:00,53.38,54.25,52.25,52.69,910400.0
2022-07-29 07:00:00,53.12,54.25,52.34,53.12,629300.0
2022-08-01 07:00:00,53.38,54.6,52.08,52.78,1534200.0
2022-08-02 07:00:00,52.95,54.25,52.34,52.52,1147200.0
2022-08-03 07:00:00,52.34,55.55,52.34,53.04,1046400.0
2022-08-04 07:00:00,53.3,53.3,50.43,50.43,1915100.0
2022-08-05 07:00:00,50.43,51.56,50.34,50.95,1025400.0
2022-08-08 07:00:00,50.87,52.95,50.34,50.61,797900.0
2022-08-09 07:00:00,50.61,52.52,50.52,51.13,1047300.0
2022-08-10 07:00:00,51.3,52.34,51.21,50.12308807317244,793800.0
2022-08-11 07:00:00,51.73,53.99,51.39,53.82,2258800.0
2022-08-12 07:00:00,53.82,57.55,53.73,57.55,2678900.0
2022-08-15 07:00:00,58.16,58.59,56.86,57.2,1027700.0
2022-08-16 07:00:00,57.2,58.42,56.42,58.07,705400.0
2022-08-17 07:00:00,57.98,60.41,55.99,56.68,1680600.0
2022-08-18 07:00:00,56.68,57.72,55.12,55.81,1647600.0
2022-08-19 07:00:00,55.99,59.72,55.55,59.72,680100.0
2022-08-22 07:00:00,58.16,59.72,57.2,57.98,1109000.0
2022-08-23 07:00:00,57.29,58.94,57.29,58.32953813039189,1067600.0
2022-08-24 07:00:00,59.03,62.76,58.16,60.76,1530400.0
2022-08-25 07:00:00,60.76,61.54,59.03,59.72,1089600.0
2022-08-26 07:00:00,59.72,61.63,59.2,60.59,809800.0
2022-08-29 07:00:00,59.89,59.89,57.29,58.85,1956200.0
2022-08-30 07:00:00,59.63,60.59,58.59,58.59,702500.0
2022-08-31 07:00:00,58.16,59.89,57.98,59.29,857800.0
2022-09-05 07:00:00,59.81,59.89,58.59,58.59,831100.0
2022-09-06 07:00:00,58.59,59.03,57.38,57.38,1228700.0
2022-09-07 07:00:00,56.59,56.86,53.38,53.38,3633100.0
2022-09-08 07:00:00,53.47,54.25,50.95,50.95,1694000.0
2022-09-09 07:00:00,52.08,54.51,51.21,54.51,1360600.0
2022-09-12 07:00:00,55.21,55.47,53.9,54.08,1138500.0
2022-09-13 07:00:00,54.16,54.6,52.6,52.95,970800.0
2022-09-14 07:00:00,51.21,54.51,50.95,54.51,1418500.0
2022-09-15 07:00:00,54.69,57.12,54.51,55.38,1542100.0
2022-09-16 07:00:00,55.38,55.47,52.86,53.38,1232100.0
2022-09-19 07:00:00,53.47,53.9,78.16156169782882,49.65,2450000.0
2022-09-20 07:00:00,50.34,52.25,48.7,51.99,1021700.0
2022-09-21 07:00:00,51.91,52.43,50.87,51.47,436200.0
2022-09-22 07:00:00,50.87,52.86,50.52,52.69,727700.0
2022-09-23 07:00:00,52.86,52.95,50.52,51.13,943000.0
2022-09-26 07:00:00,49.3,50.17,47.57,49.48,2216300.0
2022-09-27 07:00:00,50.27,50.36,46.83,46.83,628800.0
2022-09-28 07:00:00,46.83,47.44,45.32,45.32,976700.0
2022-09-29 07:00:00,45.85,47.27,43.73,43.73,924800.0
2022-09-30 07:00:00,42.94,45.5,42.36,45.41,1096700.0
2022-10-03 07:00:00,45.68,45.68,42.28,42.28,704000.0
2022-10-04 07:00:00,42.94,43.91,41.53,42.5,806600.0
2022-10-05 07:00:00,43.73,45.41,43.34,45.41,813000.0
2022-10-06 07:00:00,45.85,47.18,44.18,44.18,1230400.0
2022-10-07 07:00:00,43.29,45.5,42.41,44.18,1975000.0
2022-10-10 07:00:00,44.09,47.27,44.09,47.27,1377500.0
2022-10-11 07:00:00,47.27,48.24,44.18,44.18,1753300.0
2022-10-12 07:00:00,44.44,47.27,44.26,47.27,1239400.0
2022-10-13 07:00:00,46.83,47.71,45.59,46.3,969400.0
2022-10-14 07:00:00,47.27,48.42,46.3,46.3,1508300.0
2022-10-17 07:00:00,45.77,47.18,44.97,47.18,983400.0
