date,open,high,low,close,volume
2022-01-04 07:00:00,46.53,47.42,46.46,46.53,610400.0
2022-01-05 07:00:00,46.9,49.79,62.13095352029608,49.79,2390700.0
2022-01-06 07:00:00,50.68,50.97,49.05,49.57,1103900.0
2022-01-07 07:00:00,49.57,50.53,49.57,49.64,603500.0
2022-01-10 07:00:00,49.72,49.79,46.98,46.98,1562900.0
2022-01-11 07:00:00,47.05,47.72,45.5,45.87,972700.0
2022-01-12 07:00:00,45.13,47.27,44.46,47.27,1493900.0
2022-01-13 07:00:00,47.27,47.35,44.98,45.05,699800.0
2022-01-14 07:00:00,45.05,46.61,44.76,46.53,489500.0
2022-01-17 07:00:00,46.68,47.27,43.28,44.17,842100.0
2022-01-18 07:00:00,44.17,45.94,44.17,44.83,654300.0
2022-01-19 07:00:00,45.87,46.39,45.05,46.39,375800.0
2022-01-20 07:00:00,46,47,46,47,"506,900"
2022-01-21 07:00:00,47.79,49.12,46.76,46.76,588000.0
2022-01-24 07:00:00,46.76,46.98,44.46,44.46,491900.0
2022-01-25 07:00:00,44.46,46.98,44.46,46.83,455000.0
2022-01-26 07:00:00,46.98,48.09,46.98,47.64,487800.0
2022-01-27 07:00:00,47.42,47.72,45.79,45.87,231700.0
2022-01-28 07:00:00,45.94,46.61,44.54,45.13,553200.0
2022-02-07 07:00:00,45.87,47.2,45.28,46.76,275200.0
2022-02-08 07:00:00,47,50,46,50,"2,720,900"
2022-02-09 07:00:00,50.46,51.49,49.79,50.83,1348600.0
2022-02-10 07:00:00,50.01,52.53,50.01,51.27,1097700.0
2022-02-11 07:00:00,51.05,52.9,50.6,50.6,1343700.0
2022-02-14 07:00:00,50.31,54.08,49.94,54.08,1511200.0
2022-02-15 07:00:00,54.75,54.82,53.27,54.01,741600.0
2022-02-16 07:00:00,54.6,56.15,54.01,54.3,988600.0
2022-02-17 07:00:00,54.15,55.86,53.86,55.49,919000.0
2022-02-18 07:00:00,55.04,57.11,55.04,56.23,839700.0
2022-02-21 07:00:00,56.23,56.89,55.19,56.23,934700.0
2022-02-22 07:00:00,55.26,56.08,54.08,55.49,1277900.0
2022-02-23 07:00:00,56.23,59.33,55.71,58.45,1081200.0
2022-02-24 07:00:00,57.71,58.45,54.75,57.11,1491100.0
2022-02-25 07:00:00,57.63,57.93,56.89,56.97,621500.0
2022-02-28 07:00:00,56.97,58.96,56.3,56.6,512900.0
2022-03-01 07:00:00,56.97,58.3,56.82,57.71,1281700.0
2022-03-02 07:00:00,57.71,61.7,57.41,59.92,1162400.0
2022-03-03 07:00:00,60.37,61.03,59.26,59.85,592600.0
2022-03-04 07:00:00,59.85,59.92,59.11,59.33,637500.0
2022-03-07 07:00:00,58.52,60.59,58.08,58.3,1005300.0
2022-03-08 07:00:00,57.71,58.22,54.75,54.75,2540300.0
2022-03-09 07:00:00,55,57,54,55,"1,726,400"
2022-03-10 07:00:00,56.97,58.89,56.6,58.89,792100.0
2022-03-11 07:00:00,59.56,62.0,58.3,59.04,1666600.0
2022-03-14 07:00:00,58.22,61.03,57.78,59.63,1365700.0
2022-03-15 07:00:00,59.56,63.77,58.45,62.88,1978200.0
2022-03-16 07:00:00,64.22,64.29,62.96,63.33,991400.0
2022-03-17 07:00:00,63.99,63.99,61.55,62.74,899200.0
2022-03-18 07:00:00,62.88,63.33,60.96,61.55,2167900.0
2022-03-21 07:00:00,62,64,62,63,"765,200"
2022-03-22 07:00:00,62.88,63.18,61.55,63.18,702200.0
2022-03-23 07:00:00,63.77,65.4,63.48,64.59,1059600.0
2022-03-24 07:00:00,64.59,68.51,64.51,67.62,1899100.0
2022-03-25 07:00:00,67.99,70.65,67.32,69.54,1034400.0
2022-03-28 07:00:00,69.25,72.21,68.06,69.83549392627262,1378700.0
2022-03-29 07:00:00,71.32,71.76,68.65,68.65,1270100.0
2022-03-30 07:00:00,68.06,70.28,68.06,68.8,1157100.0
2022-03-31 07:00:00,68.28,71.02,67.55,70.13,1051200.0
2022-04-01 07:00:00,70.13,73.46,69.39,71.98,1383100.0
2022-04-04 07:00:00,73.17,73.17,69.84,69.91,865400.0
2022-04-05 07:00:00,69.17,71.39,68.8,71.1,883000.0
2022-04-06 07:00:00,71.69,71.69,68.51,71.02,951500.0
2022-04-07 07:00:00,70,70,66,66,"1,113,800"
2022-04-08 07:00:00,66.44,68.73,65.7,67.69,1043700.0
2022-04-12 07:00:00,68.65,72.43,67.77,72.35,1296500.0
2022-04-13 07:00:00,71.84,74.72,71.84,72.43,1251900.0
2022-04-14 07:00:00,72.87,76.94,72.72,75.9,1719000.0
2022-04-15 07:00:00,75.46,77.98,74.35,77.38,840700.0
2022-04-18 07:00:00,76.94,79.9,76.2,78.05,1221000.0
2022-04-19 07:00:00,78.27,78.42,75.24,75.46,1696300.0_err
2022-04-20 07:00:00,74.06,80.27,72.87,78.72,2145400.0
2022-04-21 07:00:00,76.57,78.79,75.46,76.2,956600.0
2022-04-22 07:00:00,76.57,76.94,70.87,70.87,2915200.0
2022-04-25 07:00:00,70.87,70.87,65.92,65.92,997600.0
2022-04-26 07:00:00,61.33,65.99,61.33,65.99,2933400.0
2022-04-27 07:00:00,65.62,70.58,64.51,70.58,1845400.0
2022-04-28 07:00:00,71.02,73.54,70.65,72.13,1218900.0
2022-04-29 07:00:00,71.76,76.94,71.24,76.94,2242900.0
2022-05-04 07:00:00,75.46,79.6,75.46,76.94,1619400.0
2022-05-05 07:00:00,77.53,77.53,72.87,76.2,1715200.0
2022-05-06 07:00:00,73.61,80.57,73.61,78.12,3028100.0
2022-05-09 07:00:00,75.83,78.79,98.31889592014718,72.72,1903700.0
2022-05-10 07:00:00,68.06,75.83,67.77,75.46,1639900.0
2022-05-11 07:00:00,75.46,77.61,72.13,74.72,1262300.0
2022-05-12 07:00:00,73.32,74.72,69.54,67.85885545389473,1623400.0
2022-05-13 07:00:00,66.95,68.43,64.73,64.73,1646200.0
2022-05-16 07:00:00,65.1,66.58,60.22,60.22,2561400.0
2022-05-17 07:00:00,56.3,64.36,56.08,64.36,2232100.0
2022-05-18 07:00:00,65.1,68.8,64.66,67.32,1526600.0
2022-05-19 07:00:00,65.47,68.43,64.73,67.32,1640100.0
2022-05-20 07:00:00,66.95,68.06,65.84,65.92,1340100.0
2022-05-23 07:00:00,66.29,69.99,65.1,66.95,2058700.0
2022-05-24 07:00:00,67.77,69.54,66.58,69.54,1338100.0
2022-05-25 07:00:00,70.65,74.35,70.28,74.35,2070000.0
2022-05-26 07:00:00,74.8,75.83,72.72,75.46,1427600.0
2022-05-27 07:00:00,75,80,75,76,"2,673,700"
2022-05-30 07:00:00,74.8,79.01,73.61,76.2,1973600.0
2022-05-31 07:00:00,75.46,78.27,73.98,76.05,1417500.0
2022-06-01 07:00:00,75.39,81.31,73.24,81.31,3408300.0
2022-06-02 07:00:00,82.27,84.04,80.64,81.75,1771100.0
2022-06-03 07:00:00,81.97,86.26,78.94,84.71,2321100.0
2022-06-06 07:00:00,84.34,85.37,80.64,80.64,2196600.0
2022-06-07 07:00:00,79.9,84.34,78.42,84.34,2840200.0
2022-06-08 07:00:00,84.49,87.3,79.9,79.9,3009800.0
2022-06-09 07:00:00,80.42,81.38,77.83,81.38,1922300.0
2022-06-10 07:00:00,80.64,81.9,75.68,75.68,3329100.0
2022-06-13 07:00:00,70.5,73.39,70.43,70.43,3066500.0
2022-06-14 07:00:00,67.03,73.61,67.03,72.5,2857100.0
2022-06-15 07:00:00,73.09,75.39,68.43,73.98,1998000.0
2022-06-16 07:00:00,75.46,78.12,73.39,75.46,2172900.0
2022-06-17 07:00:00,72.5,75.54,71.1,74.2,2599000.0
2022-06-20 07:00:00,73.98,76.87,73.09,74.72,1972700.0
2022-06-21 07:00:00,74.35,75.17,69.54,69.54,2508400.0
2022-06-22 07:00:00,69.76,70.28,64.73,64.73,3022800.0
2022-06-23 07:00:00,61.85,69.25,61.85,69.25,1360200.0
2022-06-24 07:00:00,70.28,70.65,66.58,66.58,959000.0
2022-06-27 07:00:00,67.69,68.65,65.84,68.58,774200.0
2022-06-28 07:00:00,68.58,69.32,65.1,68.06,2187400.0
2022-06-29 07:00:00,66.21,69.62,64.36,69.62,2542300.0
2022-06-30 07:00:00,69.91,69.91,67.32,69.17,1282100.0
2022-07-01 07:00:00,68.06,68.43,65.47,66.58,1274700.0
2022-07-04 07:00:00,67.18,67.25,62.0,64.66,1775500.0
2022-07-05 07:00:00,62.96,64.22,60.15,60.15,2240200.0
2022-07-06 07:00:00,58.45,62.81,57.71,59.19,1647700.0
2022-07-07 07:00:00,59.04,60.52,57.04,60.37,852800.0
2022-07-08 07:00:00,61.33,61.48,59.56,59.56,594200.0
2022-07-11 07:00:00,58.59,59.19,55.41,55.56,1481000.0
2022-07-12 07:00:00,55.86,59.41,55.12,59.41,1194900.0
2022-07-13 07:00:00,60.37,60.81,58.89,58.89,654300.0
2022-07-14 07:00:00,57.41,59.19,57.34,59.19,881100.0
2022-07-15 07:00:00,59.26,60.29,58.52,59.56,671200.0
2022-07-18 07:00:00,60.59,62.59,59.56,62.07,997300.0
2022-07-19 07:00:00,62.07,63.18,61.48,62.22,857700.0
2022-07-20 07:00:00,62.51,64.29,61.92,63.48,735700.0
2022-07-21 07:00:00,64.73,65.25,62.14,62.14,1196100.0
2022-07-22 07:00:00,62.14,62.51,61.18,62.07,705300.0
2022-07-25 07:00:00,62.22,62.88,61.48,61.48,561100.0
2022-07-26 07:00:00,61.55,61.77,57.93,58.3,1158100.0
2022-07-27 07:00:00,57.93,59.78,57.41,59.78,714800.0
2022-07-28 07:00:00,60.22,60.96,59.92,60.96,787500.0
2022-07-29 07:00:00,60.66,60.96,59.63,60.96,818500.0
2022-08-01 07:00:00,59.56,60.89,58.08,60.81,1433900.0
2022-08-02 07:00:00,61.03,61.11,59.19,59.19,790800.0
2022-08-03 07:00:00,59.19,61.63,58.82,61.11,1039800.0
2022-08-04 07:00:00,61.4,62.07,61.11,61.33,835600.0
2022-08-05 07:00:00,61.7,61.7,60.29,60.52,704000.0
2022-08-08 07:00:00,60.66,63.99,60.59,63.62,1303900.0
2022-08-09 07:00:00,63.99,63.99,62.22,62.51,879100.0
2022-08-10 07:00:00,62.14,63.48,61.92,61.92,607700.0
2022-08-11 07:00:00,62.29,63.77,61.92,62.22,1054900.0
2022-08-12 07:00:00,62.66,64.81,61.85,64.36,1669800.0
2022-08-15 07:00:00,64.73,65.1,64.36,64.96,807700.0
2022-08-16 07:00:00,65.03,65.03,64.22,64.22,583700.0
2022-08-17 07:00:00,64.36,66.29,82.72064488572862,64.29,1271900.0_err
2022-08-18 07:00:00,64.29,65.03,63.77,64.44,583300.0
