date,open,high,low,close,volume
2022-01-04 07:00:00,18.86,18.9,18.58,18.74,2311300.0
2022-01-05 07:00:00,18.74,19.21,18.43,18.66,1966300.0
2022-01-06 07:00:00,18.41,19.04,18.21,18.37,4190200.0
2022-01-07 07:00:00,18.27,18.49,18.15,18.17,2216300.0
2022-01-10 07:00:00,18.05,18.21,17.5,17.9,3785400.0
2022-01-11 07:00:00,17.9,18.09,17.42,17.58,1697800.0
2022-01-12 07:00:00,17.58,18.6,16.79,18.47,2888100.0
2022-01-13 07:00:00,18.64,19.08,18.29,18.33,4106800.0
2022-01-14 07:00:00,17.97,18.29,17.7,18.05,1318700.0
2022-01-17 07:00:00,18.05,18.37,17.11,17.31,3082400.0
2022-01-18 07:00:00,17.11,17.66,16.56,17.07,3248400.0
2022-01-19 07:00:00,16.99,17.54,16.99,17.15,1232900.0
2022-01-20 07:00:00,17.15,17.5,22.127871029656404,17.31,2766500.0
2022-01-21 07:00:00,17.11,18.09,17.09,17.45719495127773,2323300.0
2022-01-24 07:00:00,17.66,18.07,17.31,17.35,1532600.0
2022-01-25 07:00:00,17.35,18.01,17.31,17.859067641620364,1454600.0
2022-01-26 07:00:00,18.09,18.88,18.01,18.53,4286000.0
2022-01-27 07:00:00,18.54,18.88,18.21,18.41,1798500.0
2022-01-28 07:00:00,18.6,19.23,18.37,18.7,3606500.0
2022-02-07 07:00:00,18.84,19.08,18.62,18.62,1529200.0
2022-02-08 07:00:00,18.33,18.88,18.33,18.88,2461300.0
2022-02-09 07:00:00,19.06,19.27,18.76,18.84,2899700.0
2022-02-10 07:00:00,18.72,18.92,18.56,18.72,1854100.0
2022-02-11 07:00:00,18.6,19.0,18.58,18.76,1582500.0
2022-02-14 07:00:00,18.41,18.66,18.05,18.05,3436300.0
2022-02-15 07:00:00,18.09,18.37,17.7,18.17,2588200.0
2022-02-16 07:00:00,18.17,18.17,17.86,17.94,2393300.0
2022-02-17 07:00:00,18.09,18.41,17.94,18.41,1576800.0
2022-02-18 07:00:00,18.33,18.64,18.25,18.43,1499000.0
2022-02-21 07:00:00,18.17,18.43,18.15,18.33,1898300.0
2022-02-22 07:00:00,18.09,18.41,23.27852032319854,18.29,1809200.0
2022-02-23 07:00:00,18.49,18.82,18.37,18.45,1991300.0
2022-02-24 07:00:00,18.35,18.56,17.7,18.43,3087200.0
2022-02-25 07:00:00,18.53,18.74,18.49,18.64,2371600.0
2022-02-28 07:00:00,18.68,18.72,18.45,18.45,1375700.0
2022-03-01 07:00:00,18.41,18.49,18.17,18.49,1554800.0
2022-03-02 07:00:00,18.33,18.33,17.35,18.01,4369400.0
2022-03-03 07:00:00,17.88,18.09,17.46,18.09,2259100.0
2022-03-04 07:00:00,18.05,18.21,17.86,18.01,963100.0
2022-03-07 07:00:00,17.9,17.9,17.66,17.66,1310200.0
2022-03-08 07:00:00,17.62,17.86,17.44,17.54,2093200.0
2022-03-09 07:00:00,17.5,17.62,16.87,17.5,2100000.0
2022-03-10 07:00:00,17.82,17.82,17.46,17.46,900700.0
2022-03-11 07:00:00,17.11,17.5,17.11,17.19,1353800.0
2022-03-14 07:00:00,17.11,17.15,16.91,16.91,1675300.0
2022-03-15 07:00:00,16.99,17.23,16.85,17.01,1056100.0
2022-03-16 07:00:00,17.36,17.5,17.23,17.33,1020100.0
2022-03-17 07:00:00,17.54,17.66,17.38,17.38,560400.0
2022-03-18 07:00:00,17.4,17.46,17.31,17.42,621300.0
2022-03-21 07:00:00,17.54,17.62,22.279605002431193,17.62,1304200.0
2022-03-22 07:00:00,17.72,17.9,17.66,17.74,859100.0
2022-03-23 07:00:00,18,18,18,18,"666,500"
2022-03-24 07:00:00,17.7,17.7,17.46,17.58,1065800.0
2022-03-25 07:00:00,17.58,17.64,17.5,17.5,761900.0
2022-03-28 07:00:00,17.42,17.5,17.13,17.29,906700.0
2022-03-29 07:00:00,17.29,17.76,17.29,17.66,1060000.0
2022-03-30 07:00:00,17.62,18.49,17.62,18.49,3653000.0
2022-03-31 07:00:00,18.41,18.53,18.29,18.51,1278200.0
2022-04-01 07:00:00,18.49,19.06,18.39,18.84,2657300.0
2022-04-04 07:00:00,19.19,19.19,18.72,18.8,1724400.0
2022-04-05 07:00:00,18.74,18.8,18.43,18.43,1416000.0
2022-04-06 07:00:00,18.41,19.04,18.25,18.64,1998700.0
2022-04-07 07:00:00,18.68,18.96,18.37,18.37,1509900.0_err
2022-04-08 07:00:00,18.49,18.49,17.7,17.7,1430500.0
2022-04-12 07:00:00,17.9,17.94,17.38,17.38,991400.0
2022-04-13 07:00:00,17.42,17.8,17.07,17.7,885500.0
2022-04-14 07:00:00,17.7,17.82,17.56,17.6,551500.0
2022-04-15 07:00:00,17.5,17.6,17.21,17.23,1150900.0
2022-04-18 07:00:00,17.11,17.21,16.6,16.99,1632900.0
2022-04-19 07:00:00,17,17,16,17,"947,100"
2022-04-20 07:00:00,16.72,16.85,16.26,16.26,659100.0
2022-04-21 07:00:00,16.32,16.52,15.18,16.52,1573400.0
2022-04-22 07:00:00,16.52,16.97,15.73,16.72,1051800.0
2022-04-25 07:00:00,16.72,16.72,15.56,15.71,1173700.0
2022-04-26 07:00:00,15.54,16.17,14.65,16.17,1082600.0
2022-04-27 07:00:00,16.13,16.44,15.73,16.44,676300.0
2022-04-28 07:00:00,16.18,16.54,16.17,16.28,494800.0
2022-04-29 07:00:00,16.32,17.01,16.22,16.91,1467600.0
2022-05-04 07:00:00,17.11,17.11,15.89,15.89,621500.0
2022-05-05 07:00:00,16.32,16.52,15.97,16.44,702200.0
2022-05-06 07:00:00,16.13,16.4,15.93,15.97,616900.0
2022-05-09 07:00:00,15.73,15.97,14.87,15.34,1298700.0
2022-05-10 07:00:00,14.36,15.22,14.36,15.1,1148900.0
2022-05-11 07:00:00,15.38,15.52,15.06,15.52,668700.0
2022-05-12 07:00:00,15.34,15.46,14.43,14.43,1511900.0
2022-05-13 07:00:00,14.33,14.81,13.43,13.43,1756000.0
2022-05-16 07:00:00,13.32,14.33,12.5,13.56,3900600.0
2022-05-17 07:00:00,13.53,14.2,12.95,14.12,1725900.0
2022-05-18 07:00:00,14.33,14.36,13.8,14.12,1185100.0
2022-05-19 07:00:00,13.37,13.96,13.37,13.69,1359600.0
2022-05-20 07:00:00,13.69,13.85,13.53,13.72,967000.0
2022-05-23 07:00:00,13.8,13.8,13.16,13.16,877500.0
2022-05-24 07:00:00,12.98,13.53,12.82,13.53,1034000.0
2022-05-25 07:00:00,13.53,13.98,13.53,13.98,1084900.0
2022-05-26 07:00:00,14.06,14.06,13.82,13.9,798500.0
2022-05-27 07:00:00,13.93,14.28,13.82,14.25,2060600.0
2022-05-30 07:00:00,14.28,14.49,14.22,14.43,999300.0
2022-05-31 07:00:00,14.46,14.46,14.12,14.22,467200.0
2022-06-01 07:00:00,14.2,14.38,14.01,14.06,514600.0
2022-06-02 07:00:00,14.06,14.2,13.82,13.96,752700.0
2022-06-03 07:00:00,13.96,14.01,13.72,13.85,633800.0
2022-06-06 07:00:00,13.85,13.88,13.69,13.88,1099500.0
2022-06-07 07:00:00,13.88,13.9,13.48,13.8,755400.0
2022-06-08 07:00:00,14.06,14.33,13.8,14.14,968300.0
2022-06-09 07:00:00,14.22,14.22,13.96,14.06,380900.0
2022-06-10 07:00:00,13.85,14.14,13.82,13.82,607900.0
2022-06-13 07:00:00,13.29,13.43,12.87,12.87,1897500.0
2022-06-14 07:00:00,12.84,12.84,11.99,11.99,2198900.0
