date,open,high,low,close,volume
2022-01-04 07:00:00,21.21,21.33,21.13,21.16,14307900.0
2022-01-05 07:00:00,21.16,21.21,20.83,20.83,13262600.0
2022-01-06 07:00:00,20.72,20.83,20.48,20.63,14344800.0
2022-01-07 07:00:00,20.6,20.63,20.31,20.31,11996200.0
2022-01-10 07:00:00,20.25,20.6,20.04,20.19,11049800.0
2022-01-11 07:00:00,20.19,20.42,19.95,19.996175524614657,9312300.0
2022-01-12 07:00:00,20.07,20.8,19.86,20.77,12092100.0
2022-01-13 07:00:00,20.95,21.27,20.51,20.69,15856600.0
2022-01-14 07:00:00,20.69,20.77,20.36,20.45,6912100.0
2022-01-17 07:00:00,20.45,20.6,19.4,19.4,12758900.0
2022-01-18 07:00:00,19.4,19.89,19.37,19.51,6343100.0
2022-01-19 07:00:00,19.54,19.92,19.54,19.66,6515600.0_err
2022-01-20 07:00:00,19.72,19.92,19.48,19.92,7756800.0_err
2022-01-21 07:00:00,,,,,
2022-01-24 07:00:00,,,,,
2022-01-25 07:00:00,,,,,
2022-01-26 07:00:00,,,,,
2022-01-27 07:00:00,,,,,
2022-01-28 07:00:00,,,,,
2022-02-07 07:00:00,,,,,
2022-02-08 07:00:00,,,,,
2022-02-09 07:00:00,,,,,
2022-02-10 07:00:00,,,,,
2022-02-11 07:00:00,,,,,
2022-02-14 07:00:00,,,,,
2022-02-15 07:00:00,,,,,
2022-02-16 07:00:00,,,,,
2022-02-17 07:00:00,,,,,
2022-02-18 07:00:00,,,,,
2022-02-21 07:00:00,,,,,
2022-02-22 07:00:00,,,,,
2022-02-23 07:00:00,,,,,
2022-02-24 07:00:00,,,,,
2022-02-25 07:00:00,,,,,
2022-02-28 07:00:00,,,,,
2022-03-01 07:00:00,,,,,
2022-03-02 07:00:00,21.95,21.95,21.42,21.42,29095300.0
2022-03-03 07:00:00,21.6,21.98,21.42,21.98,20145000.0
2022-03-04 07:00:00,22.01,22.86,21.98,22.36,47246400.0
2022-03-07 07:00:00,22.3,22.48,21.92,22.12,19257100.0
2022-03-08 07:00:00,22.01,22.12,21.57,21.71,16269800.0
2022-03-09 07:00:00,21.8,21.86,21.42,21.63,13754700.0
2022-03-10 07:00:00,22.01,22.04,21.57,21.57,10978100.0
2022-03-11 07:00:00,21.51,21.74,21.24,21.36,10846400.0
2022-03-14 07:00:00,21.19,21.3,20.89,21.13,14189800.0
2022-03-15 07:00:00,21.13,21.68,21.13,21.65,11626100.0
2022-03-16 07:00:00,21.71,21.86,21.6,21.6,8577500.0
2022-03-17 07:00:00,21.68,21.77,21.39,21.39,8245000.0
2022-03-18 07:00:00,21.45,21.54,21.24,21.27,9468400.0
2022-03-21 07:00:00,21.42,21.65,21.19,21.6,6580000.0
2022-03-22 07:00:00,21.6,22.07,21.6,21.63,10463600.0
2022-03-23 07:00:00,21.74,21.74,21.51,21.51,9286100.0
2022-03-24 07:00:00,21.51,21.54,21.33,21.33,12673000.0
2022-03-25 07:00:00,21.33,21.65,21.3,21.57,9600800.0
2022-03-28 07:00:00,21.51,21.51,21.13,21.27,12230200.0
2022-03-29 07:00:00,21.27,21.42,21.27,21.36,7423300.0
2022-03-30 07:00:00,21.3,21.98,21.24,21.6,16622400.0
2022-03-31 07:00:00,21.65,22.01,21.6,21.83,9162300.0
2022-04-01 07:00:00,21.77,22.65,21.71,22.65,36857900.0
2022-04-04 07:00:00,23.24,23.42,22.83,22.89,24503700.0
2022-04-05 07:00:00,22.71,23.0,22.39,22.48,15772700.0
2022-04-06 07:00:00,22.36,23.59,22.21,23.44,41068500.0
2022-04-07 07:00:00,23.53,24.09,23.36,23.36,31583800.0
2022-04-08 07:00:00,23.36,23.5,22.77,22.77,23996600.0_err
2022-04-12 07:00:00,22.95,23.59,22.89,22.89,25203900.0
2022-04-13 07:00:00,23.12,23.15,22.3,22.89,25270100.0
2022-04-14 07:00:00,22.89,23.83,22.83,23.18,23375700.0
2022-04-15 07:00:00,23.06,23.3,22.12,22.59,29772100.0
2022-04-18 07:00:00,22.59,22.65,21.51,21.51,28756000.0
2022-04-19 07:00:00,21.63,21.98,20.95,21.01,24120700.0
2022-04-20 07:00:00,20.83,21.27,20.66,20.66,21334600.0
2022-04-21 07:00:00,20.6,21.42,20.25,20.83,18919400.0
2022-04-22 07:00:00,21.24,21.83,20.77,21.6,22705300.0
2022-04-25 07:00:00,21.51,21.68,20.1,20.1,32739600.0
2022-04-26 07:00:00,19.72,21.48,19.42,21.36,22646100.0
2022-04-27 07:00:00,21.13,21.39,20.77,21.1,12469900.0
2022-04-28 07:00:00,21.19,21.54,21.04,21.42,11125800.0
2022-04-29 07:00:00,21.42,21.65,21.3,21.54,13253000.0
