date,open,high,low,close,volume
2022-01-04 07:00:00,30.3,31.5,30.3,31.15,8227900.0
2022-01-05 07:00:00,31.25,33.3,31.25,33.3,10789700.0
2022-01-06 07:00:00,34.5,35.6,34.1,35.6,24897800.0
2022-01-07 07:00:00,35.95,37.0,34.75,34.75,16447000.0
2022-01-10 07:00:00,34.65,36.5,34.65,35.0,11058000.0
2022-01-11 07:00:00,34.8,35.6,33.95,34.2,13557200.0
2022-01-12 07:00:00,33.95,36.05,32.2,36.0,17913300.0
2022-01-13 07:00:00,36.1,36.25,33.8,33.8,10549600.0
2022-01-14 07:00:00,33.0,34.65,33.0,34.4,5549300.0
2022-01-17 07:00:00,34.2,34.7,32.0,32.0,10933900.0
2022-01-18 07:00:00,31.6,33.2,31.5,32.4,9207200.0
2022-01-19 07:00:00,32.6,33.3,32.5,33.25,4998000.0
2022-01-20 07:00:00,32.9,34.3,32.7,33.6,5387000.0
2022-01-21 07:00:00,33.65,34.0,33.1,33.1,4567900.0
2022-01-24 07:00:00,33.1,33.1,31.0,31.0,6704400.0
2022-01-25 07:00:00,31.85,33.15,31.0,33.15,6177100.0
2022-01-26 07:00:00,33.6,35.25,33.15,33.9,8966300.0
2022-01-27 07:00:00,33.8,34.95,33.6,34.2,6133600.0_err
2022-01-28 07:00:00,34.1,35.8,34.1,34.95,9720700.0
2022-02-07 07:00:00,35.8,36.85,35.1,35.5,12205700.0
2022-02-08 07:00:00,35.5,35.95,35.0,35.5,5480400.0
2022-02-09 07:00:00,35.5,35.9,35.4,35.9,5340100.0
2022-02-10 07:00:00,36.0,36.7,35.3,36.0,11025800.0
2022-02-11 07:00:00,35.95,35.95,34.6,34.6,7741700.0
2022-02-14 07:00:00,33.6,34.25,33.0,33.0,9234200.0
2022-02-15 07:00:00,33.0,34.0,32.7,34.0,8107200.0
2022-02-16 07:00:00,34.2,34.45,33.75,34.3,4748300.0
2022-02-17 07:00:00,34.3,34.75,34.0,34.45,3764700.0
2022-02-18 07:00:00,34.0,34.35,33.5,33.6,6182000.0
2022-02-21 07:00:00,33.55,34.2,33.45,34.1,5509700.0
2022-02-22 07:00:00,33.9,34.8,33.5,34.5,7445200.0
2022-02-23 07:00:00,34.95,35.45,34.6,34.9,6769800.0
2022-02-24 07:00:00,34.65,34.9,33.15,34.0,12182800.0
2022-02-25 07:00:00,34.4,34.5,34.0,34.0,4080500.0
2022-02-28 07:00:00,34,34,34,34,"5,203,100"
2022-03-01 07:00:00,33.5,33.9,33.3,33.5,4021300.0
2022-03-02 07:00:00,33.4,33.5,32.6,32.8,7563900.0
2022-03-03 07:00:00,33.0,33.1,32.5,32.7,6796000.0
2022-03-04 07:00:00,32.65,34.0,32.35,33.75,12248000.0
2022-03-07 07:00:00,33.3,33.3,32.8,32.9,10892800.0
2022-03-08 07:00:00,32.75,33.0,32.5,32.5,4935000.0
2022-03-09 07:00:00,32.5,32.6,31.6,31.6,6560500.0
2022-03-10 07:00:00,32.1,32.6,32.0,32.0,14045300.0
2022-03-11 07:00:00,31.7,32.5,31.5,31.85,3607800.0
2022-03-14 07:00:00,31.65,32.45,31.0,32.0,5191300.0
2022-03-15 07:00:00,32.0,32.25,31.65,31.75,3266700.0
2022-03-16 07:00:00,32,32,32,32,"3,471,300"
2022-03-17 07:00:00,32.0,32.25,31.95,32.25,2487300.0
2022-03-18 07:00:00,32.45,33.35,32.15,33.0,6805500.0
2022-03-21 07:00:00,33.0,33.3,32.8,33.2,3556300.0
2022-03-22 07:00:00,33.0,33.35,32.95,33.2,4008800.0
2022-03-23 07:00:00,33.1,33.5,32.85,32.85,3724800.0_err
2022-03-24 07:00:00,32.85,33.1,32.75,32.8,3310600.0
2022-03-25 07:00:00,32.8,32.95,32.6,32.7,2087800.0
2022-03-28 07:00:00,32.5,32.9,32.0,32.0,3672900.0
2022-03-29 07:00:00,32.4,32.75,32.15,32.55,2705000.0
2022-03-30 07:00:00,32.55,33.15,32.4,32.5,3398500.0
2022-03-31 07:00:00,32.85,33.75,32.7,33.45,5659000.0
2022-04-01 07:00:00,33.4,34.05,33.05,34.05,6486100.0
2022-04-04 07:00:00,34.6,34.65,34.05,34.21250930716879,4018900.0
2022-04-05 07:00:00,33.8,34.2,33.5,33.65,3095300.0
2022-04-06 07:00:00,33.65,34.15,33.4,33.6,5411400.0_err
2022-04-07 07:00:00,33.65,33.8,32.65,32.65,4387100.0
2022-04-08 07:00:00,32.55,33.0,32.2,32.2,3245800.0
2022-04-12 07:00:00,32.2,32.45,31.1,31.1,4993200.0
2022-04-13 07:00:00,31.25,31.9,31.2,31.85,2713700.0
