date,open,high,low,close,volume
2022-01-04 07:00:00,41.77,42.74,41.77,42.05,64515.0
2022-01-05 07:00:00,42.0,42.34,41.42,42.05,132767.0
2022-01-06 07:00:00,42,42,41,41,"105,568"
2022-01-07 07:00:00,41.2,41.31,41.02,41.2,42390.0
2022-01-10 07:00:00,41.2,41.25,40.28,40.34,152059.0
2022-01-11 07:00:00,40.22,40.57,40.05,40.05,107033.0
2022-01-12 07:00:00,41.2,41.77,40.05,40.91,104310.0
2022-01-13 07:00:00,40.68,40.68,40.05,40.57,18350.0
2022-01-14 07:00:00,40.11,40.51,40.05,40.34,38186.0
2022-01-17 07:00:00,40.28,40.34,38.91,39.08,107803.0
2022-01-18 07:00:00,39.08,39.08,38.85,38.96,83693.0
2022-01-19 07:00:00,38.91,38.91,38.34,38.45,87659.0
2022-01-20 07:00:00,38.45,39.31,38.28,40.290018498364866,71266.0
2022-01-21 07:00:00,39.31,39.31,38.56,38.62,83539.0
2022-01-24 07:00:00,38.62,38.62,37.7,37.7,146002.0
2022-01-25 07:00:00,37.76,37.82,37.13,37.36,135494.0
2022-01-26 07:00:00,37.48,37.48,36.28,37.48,331119.0
2022-01-27 07:00:00,37.48,38.16,36.62,37.091115674845135,109356.0
2022-01-28 07:00:00,37.13,38.16,36.56,38.11,113576.0
2022-02-07 07:00:00,38.11,38.34,37.25,38.16,67285.0
2022-02-08 07:00:00,38.45,39.36,38.34,39.31,118032.0
2022-02-09 07:00:00,39.36,40.39,39.36,40.17,81355.0
2022-02-10 07:00:00,40.11,40.62,39.36,40.05,79764.0
2022-02-11 07:00:00,39.48,39.59,39.19,39.19,50991.0
2022-02-14 07:00:00,39.25,40.22,38.39,40.05,88353.0
2022-02-15 07:00:00,39.88,40.17,38.96,39.82,83699.0
2022-02-16 07:00:00,40.05,40.11,39.71,40.05,85238.0
2022-02-17 07:00:00,39.99,39.99,38.91,39.36,119359.0
2022-02-18 07:00:00,39.19,39.59,39.19,39.59,106162.0
2022-02-21 07:00:00,39.59,40.22,39.36,39.80230432181989,133805.0
2022-02-22 07:00:00,40.05,40.05,39.25,39.48,66045.0
2022-02-23 07:00:00,39.48,39.65,39.31,39.59,97055.0
2022-02-24 07:00:00,39.54,39.94,38.22,38.86286384811175,97890.0
2022-02-25 07:00:00,38.79,38.91,38.51,38.56,67161.0
2022-02-28 07:00:00,39,39,38,38,"154,641"
2022-03-01 07:00:00,38.22,38.45,37.88,38.34,116860.0
2022-03-02 07:00:00,38.05,38.11,37.53,37.65,145564.0
2022-03-03 07:00:00,37.65,38.45,37.53,38.22,67584.0
2022-03-04 07:00:00,37.88,38.22,37.53,37.53,106873.0
2022-03-07 07:00:00,37.36,37.88,37.08,37.08,162461.0
2022-03-08 07:00:00,37.19,37.48,36.85,37.42,213075.0
2022-03-09 07:00:00,37.65,38.11,36.85,37.08,244841.0
2022-03-10 07:00:00,37.13,38.56,37.13,38.34,148473.0
2022-03-11 07:00:00,38.34,38.91,38.34,38.34,91128.0
2022-03-14 07:00:00,38.34,38.39,37.53,38.34,144524.0
2022-03-15 07:00:00,38.34,38.51,37.99,38.51,132815.0
2022-03-16 07:00:00,38.51,40.22,38.51,40.11,271131.0
2022-03-17 07:00:00,40.17,41.48,40.17,41.42,279830.0
2022-03-18 07:00:00,41.42,42.45,41.2,41.6,256392.0
2022-03-21 07:00:00,41.77,42.17,40.74,41.71,193624.0
2022-03-22 07:00:00,41.71,41.71,40.91,41.2,156926.0
2022-03-23 07:00:00,41.2,42.28,40.85,41.6,190991.0
2022-03-24 07:00:00,41.65,44.17,41.65,44.06,510354.0
2022-03-25 07:00:00,44.0,46.12,43.94,45.66,1043912.0
2022-03-28 07:00:00,45.66,46.92,45.66,46.86,635430.0
2022-03-29 07:00:00,46.52,46.86,45.89,46.52,394432.0
2022-03-30 07:00:00,46.4,46.92,45.77,46.34,486869.0
2022-03-31 07:00:00,45.83,46.63,45.72,46.23,366758.0
2022-04-01 07:00:00,45.83,46.63,45.66,46.46,692359.0
2022-04-04 07:00:00,46.06,48.29,46.06,47.89,497449.0
2022-04-05 07:00:00,48.06,48.23,47.2,47.6,152615.0
2022-04-06 07:00:00,47.55,47.72,46.17,47.32,253724.0
2022-04-07 07:00:00,46.34,48.0,46.29,46.8,199719.0
2022-04-08 07:00:00,46.92,47.09,44.06,44.92,435388.0
2022-04-12 07:00:00,45.2,45.66,43.6,44.17,235235.0
2022-04-13 07:00:00,44.28,46.29,42.63,45.2,422610.0
2022-04-14 07:00:00,44.23,47.38,44.23,46.92,906606.0
2022-04-15 07:00:00,46.34,48.12,46.34,47.72,563176.0
2022-04-18 07:00:00,47.72,48.63,46.46,46.92,559820.0
2022-04-19 07:00:00,46.92,48.63,46.34,47.72,995402.0
2022-04-20 07:00:00,47.43,48.46,45.77,46.63,584520.0
2022-04-21 07:00:00,46.06,48.06,44.34,46.0,396468.0
2022-04-22 07:00:00,45.83,46.57,41.2,43.2,707222.0
2022-04-25 07:00:00,43.2,43.94,37.82,39.48,528156.0
2022-04-26 07:00:00,39.65,41.14,37.19,40.85,339626.0
2022-04-27 07:00:00,40.85,42.34,40.62,41.2,206041.0
2022-04-28 07:00:00,41.6,43.48,41.6,42.34,249222.0
2022-04-29 07:00:00,42.51,43.43,41.65,43.2,455180.0
2022-05-04 07:00:00,43.14,43.14,41.14,41.65,143183.0
2022-05-05 07:00:00,41.48,42.8,39.94,41.2,346781.0
2022-05-06 07:00:00,40.62,40.62,38.91,39.36,203719.0
2022-05-09 07:00:00,39.42,39.42,35.13,36.67,429604.0
2022-05-10 07:00:00,36.45,41.77,35.47,39.99,256740.0
2022-05-11 07:00:00,40.05,40.51,38.62,39.42,129326.0
2022-05-12 07:00:00,39.31,41.2,37.76,38.62,273303.0
2022-05-13 07:00:00,38.62,39.82,36.56,37.19,204645.0
2022-05-16 07:00:00,38.05,40.34,38.05,38.74,240326.0
2022-05-17 07:00:00,39.71,39.94,38.11,39.82,592680.0
2022-05-18 07:00:00,39.08,40.05,38.22,39.76,259195.0
2022-05-19 07:00:00,38.85,39.48,37.65,37.65,281149.0
2022-05-20 07:00:00,38.28,38.85,37.19,38.22,682479.0
2022-05-23 07:00:00,37.53,39.65,36.67,38.28,446774.0
2022-05-24 07:00:00,37.99,39.08,37.13,37.93,320100.0
2022-05-25 07:00:00,37.99,38.28,37.19,38.11,520863.0
2022-05-26 07:00:00,37.65,40.05,37.65,39.36,793741.0
2022-05-27 07:00:00,39.08,41.14,39.08,40.51,463517.0
2022-05-30 07:00:00,40.51,40.74,39.71,40.17,313752.0
2022-05-31 07:00:00,39.99,40.39,39.19,39.19,319519.0
2022-06-01 07:00:00,38.91,39.42,38.28,38.91,444940.0
2022-06-02 07:00:00,38.68,39.42,38.28,38.56,392733.0
2022-06-03 07:00:00,38.62,39.48,38.28,38.79,330949.0
2022-06-06 07:00:00,38.62,39.94,38.56,39.25,514007.0
2022-06-07 07:00:00,39.48,39.71,38.34,39.36,327201.0
2022-06-08 07:00:00,38.74,39.65,38.68,39.42,535987.0
2022-06-09 07:00:00,39.48,39.65,38.91,39.25,321429.0
2022-06-10 07:00:00,39.02,39.42,38.05,38.16,434974.0
2022-06-13 07:00:00,38,38,36,36,"580,625"
2022-06-14 07:00:00,35.76,37.19,35.47,36.9,417841.0
2022-06-15 07:00:00,36.9,36.9,53.647519356967955,35.59,369410.0
2022-06-16 07:00:00,36.56,36.56,35.13,35.47,270260.0
2022-06-17 07:00:00,35.47,35.47,32.96,33.24,386887.0
2022-06-20 07:00:00,33.24,33.64,29.18,29.3,821896.0
2022-06-21 07:00:00,29.47,30.9,28.89,30.04,283377.0
2022-06-22 07:00:00,30.32,31.41,29.7,30.44,133735.0
2022-06-23 07:00:00,30.32,32.61,30.32,32.04,233086.0
2022-06-24 07:00:00,31.58,32.44,31.24,32.04,206900.0
2022-06-27 07:00:00,32.1,32.5,31.76,31.87,28910.0
2022-06-28 07:00:00,30.32,32.61,30.32,31.41,152225.0
2022-06-29 07:00:00,31.76,32.33,31.18,31.7,252006.0
2022-06-30 07:00:00,31.47,32.33,30.9,31.98,117090.0
2022-07-01 07:00:00,32.33,32.61,30.9,31.98,172910.0
