symbol,row_count
VPH,2687
MBB,2683
DBC,2681
SHS,2677
DCL,2676
JVC,2673
TTF,2673
VCG,2673
TDC,2672
CTI,2671
PVT,2671
DGW,2669
MSN,2667
HHG,2665
PHC,2665
VIG,2665
ACB,2663
IDI,2663
L14,2663
HAG,2662
HAP,2662
SAM,2662
TNT,2661
DLG,2660
DPR,2660
CSM,2659
IMP,2658
PTL,2658
STB,2658
CSV,2651
KMR,2651
VNG,2648
D2D,2644
S99,2642
NLG,2635
GSP,2634
APG,2633
BVS,2631
DHA,2631
VHC,2631
ELC,2630
UDC,2629
DST,2628
NAF,2628
SHN,2626
SBA,2625
VOS,2625
DHM,2624
HT1,2623
ANV,2621
FCN,2617
TMT,2617
ASM,2614
CTG,2613
NHA,2606
VEF,2605
KDC,2604
MCG,2603
CSC,2599
DGC,2593
BTP,2590
KSQ,2584
ITD,2583
VE9,2565
FCM,2563
SWC,2562
TRC,2560
THG,2557
SAS,2555
IJC,2554
VSH,2554
HDG,2551
ACC,2548
SRF,2544
DRH,2535
VDS,2529
THT,2528
IDV,2527
SFI,2525
PGD,2520
SAV,2498
VNP,2489
HCD,2485
UIC,2481
HID,2478
ACL,2477
NSC,2464
NAG,2457
VNR,2451
LBM,2450
CTP,2438
VCA,2434
GHC,2423
NDX,2415
LHC,2411
PSB,2410
ICG,2406
PVO,2406
PV2,2405
VLC,2405
TVN,2399
PC1,2396
ONE,2382
ACV,2379
MAC,2370
DXV,2363
NVL,2352
PXI,2347
UNI,2347
DBD,2331
VJC,2328
GMC,2306
MCO,2294
SD6,2287
BHN,2286
DVN,2262
VRG,2261
CDN,2260
VFG,2259
MIG,2254
EVG,2253
DRI,2251
PXS,2240
STG,2237
DAG,2236
VCI,2230
BTS,2223
SD2,2223
PTI,2221
SCL,2221
CVT,2219
HAC,2209
TXM,2206
VCC,2197
VMD,2189
PLP,2188
TCW,2184
RIC,2181
SBV,2175
HU3,2174
HBS,2171
VNL,2171
TBC,2168
SVC,2162
LDP,2156
ABT,2152
BLI,2152
MPC,2146
CTR,2141
VRE,2127
DTL,2122
VSI,2115
SD3,2108
HDB,2105
VPG,2089
HAS,2083
CIA,2082
EIN,2069
SMT,2065
TTN,2064
ILA,2063
PGT,2063
BAB,2059
OIL,2059
POW,2056
PIC,2053
AFX,2051
VCP,2050
BCM,2049
TDS,2044
PTS,2039
POS,2034
VKC,2034
TPB,2033
NHH,2029
TFC,2029
FRT,2022
PVL,2018
VHM,2007
SMA,2006
SC5,1992
CLX,1991
TDT,1973
VLB,1973
QNC,1966
CCI,1957
APF,1955
DIH,1949
CRE,1942
XPH,1925
EVS,1906
DSC,1900
VHL,1894
MCF,1889
VTA,1870
PPH,1857
SSN,1855
CDO,1853
PGV,1841
HPX,1838
TNC,1835
FDC,1832
ALV,1829
VIF,1820
PCT,1808
NHT,1804
VNH,1803
DAT,1790
SID,1785
APP,1764
ACM,1759
TTC,1756
SD4,1753
AGP,1744
HMS,1742
SJM,1742
TTZ,1729
FTM,1712
PVV,1704
SAC,1698
EBS,1677
MH3,1673
VBB,1673
ND2,1662
PPP,1662
TV1,1658
VTD,1646
HKT,1634
XMC,1624
PNC,1618
BMS,1613
TL4,1609
AGG,1602
TMB,1597
GSM,1590
MML,1587
ANT,1578
MPT,1574
GND,1571
VMG,1570
C21,1568
TLP,1560
VC6,1552
STC,1543
DC1,1515
TCI,1513
HPD,1500
CDP,1496
NDT,1486
VET,1466
POV,1465
PBC,1449
VGV,1444
TDW,1429
TNB,1428
BTN,1421
NAS,1419
DHD,1410
CTB,1406
NAB,1400
VIN,1396
TPP,1394
TOP,1386
TJC,1373
MIC,1364
PGB,1357
MCM,1354
MSB,1352
CTX,1339
ABR,1337
TGG,1330
QTC,1328
DTI,1312
AVC,1303
TAR,1303
ADC,1302
SSB,1297
HEJ,1296
SCG,1274
VTH,1266
CST,1265
VCM,1258
BHP,1256
CCR,1256
VE8,1251
AG1,1248
CKD,1242
TNS,1242
LMH,1233
HTC,1228
ATS,1201
QHD,1201
BBS,1196
HC3,1192
PRE,1183
SFN,1178
SGS,1178
BCA,1173
CQN,1158
HOT,1157
KTT,1154
VSF,1152
VNI,1138
BMJ,1137
BLT,1135
BAF,1122
PXA,1119
L61,1117
NUE,1107
ILC,1103
SSH,1079
G20,1068
HMR,1058
A@,1057
TST,1052
SGD,1051
DPC,1041
VFC,1039
HAV,1027
BCP,1025
BVL,1021
ZZZZZZ,1020
GEE,1019
HTT,1018
MTP,1017
CID,1013
???,1010
LSG,1005
MEL,997
CX8,987
GMH,983
PJC,980
BHA,979
L62,978
SGH,977
KGM,976
PCH,961
PCC,957
123,955
LAI,955
QPH,948
DVG,945
CQT,936
THP,919
PRO,918
NTH,916
X20,915
TS3,913
AGX,906
SGI,891
NDC,871
SVG,871
VTX,869
VES,864
HBH,855
KST,846
VQC,842
NNT,841
DSG,839
CLM,834
PEG,825
BAL,822
CMN,822
SDU,822
TRS,820
TNW,814
HPM,780
VPA,773
PAP,762
CMM,761
LTC,759
NFC,749
HEV,747
DHB,744
VIE,740
STT,727
DNC,724
NDP,724
YTC,720
PVR,715
GPC,713
LG9,701
BTU,696
PND,688
E12,682
CYC,681
GDA,676
ARM,664
PCM,647
SZG,643
HIO,642
DNH,641
MA1,636
UPH,625
S12,624
L63,623
PXM,623
MCC,613
VNY,613
VXB,599
VST,598
DAS,596
CTW,590
PVH,585
SBB,579
DWS,577
THW,570
HPH,569
HSP,550
TDF,548
CT3,542
S72,542
BDW,537
HEP,537
VVS,537
GTT,535
HAM,534
BT1,532
PNP,484
IHK,465
STL,462
TT6,455
NJC,446
AVG,442
NSG,441
TH1,436
X26,433
TBR,417
PVY,416
BWA,400
VNX,400
PTM,395
PIS,388
CCT,382
SPD,381
GMA,376
BBH,357
RYG,352
BLN,342
RAT,328
TAN,327
BHC,303
DWC,302
TSG,297
TNV,296
JOS,272
PTO,266
QST,266
IME,263
MBT,259
LM3,256
BMV,252
TRV,233
TD6,232
TET,229
ONW,223
TNP,207
UEM,180
C22,175
BMG,174
VKP,174
QNW,173
HLS,158
NTF,154
DLT,135
CRV,126
CCV,117
SSF,109
VPX,109
VCK,108
VLS,107
VMA,105
TVH,104
SAL,81
BNW,80
HLT,63
TVG,51
MLC,48
VXP,46
HLO,45
TQN,42
TCJ,40
DUS,39
EMG,37
HGT,33
DNN,27
FGL,27
KHX,26
HPO,18
VBT,18
GH3,17
CLI,16
MQB,15
SVH,14
BHG,10
HHN,6
THN,5
CK8,4
VBG,4
MDA,3
VPW,3
