Top_K,Min_Volume,Min_Close,Min_Predicted_Return,Transaction_Cost_Rate,Slippage_Rate,Round_Trip_Cost_Rate,Eligible_Rows,Eligible_Symbols,Backtest_Days,Trade_Days,Average_Daily_Return,Average_Daily_Return_Net,Cumulative_Return,Cumulative_Return_Net,Benchmark_Cumulative_Return,Hit_Rate,Sharpe_Ratio,Sharpe_Ratio_Net
5,200000,10.0,0.02,0.001,0.001,0.004,2599,106,389,13,-0.00011067082938987135,-0.00024434692193485864,-0.06720254829482986,-0.11490268644358292,-0.9633084491025498,1.5424164524421593,-0.14989708848910702,-0.3293080333864603
10,200000,10.0,0.02,0.001,0.001,0.004,2599,106,389,13,-0.00016034130254712482,-0.00029401739509211206,-0.08510129176309988,-0.13195386115469143,-0.9633084491025498,1.2853470437017995,-0.21694635308090193,-0.39529313632466434
20,200000,10.0,0.02,0.001,0.001,0.004,2599,106,389,13,-0.00016034130254712482,-0.00029401739509211206,-0.08510129176309988,-0.13195386115469143,-0.9633084491025498,1.2853470437017995,-0.21694635308090193,-0.39529313632466434
5,100000,10.0,0.01,0.001,0.001,0.004,5519,141,389,162,0.0013389099667113437,-0.0003268998019261894,0.393546512142555,-0.27157847207557806,-0.8326823497864856,20.565552699228792,0.6792912633600873,-0.1660524325017239
5,200000,5.0,0.02,0.001,0.001,0.004,3998,148,389,22,-0.0004451539198316211,-0.000671374999523138,-0.20603171675180876,-0.2738865947969126,-0.9627651325056273,2.570694087403599,-0.41133394997434075,-0.6159756019435292
10,200000,5.0,0.02,0.001,0.001,0.004,3998,148,389,22,-0.0004948243929888747,-0.0007210454726803914,-0.22126657250513837,-0.28787498493499497,-0.9627651325056273,2.313624678663239,-0.4570344608076048,-0.660853044685201
20,200000,5.0,0.02,0.001,0.001,0.004,3998,148,389,22,-0.0004948243929888747,-0.0007210454726803914,-0.22126657250513837,-0.28787498493499497,-0.9627651325056273,2.313624678663239,-0.4570344608076048,-0.660853044685201
20,100000,10.0,0.01,0.001,0.001,0.004,5519,141,389,162,0.0012481209380947212,-0.0004176888305428119,0.3472285828680466,-0.2958809285000221,-0.8326823497864856,20.308483290488432,0.6358783218984702,-0.21301260580312217
10,100000,10.0,0.01,0.001,0.001,0.004,5519,141,389,162,0.0012256574651303967,-0.0004401523035071363,0.3355731105867188,-0.3019968181546323,-0.8326823497864856,20.308483290488432,0.6245123037729972,-0.22448457169806055
20,100000,5.0,0.01,0.001,0.001,0.004,8514,191,389,225,0.0018550729603234453,-0.000458551718339795,0.6462650434617931,-0.3311552210473584,-0.8746277253970194,28.53470437017995,0.87227177452871,-0.21583876785402054
10,100000,5.0,0.01,0.001,0.001,0.004,8514,191,389,225,0.0018489584152654997,-0.000464666263397741,0.6439230979149253,-0.3321081280999726,-0.8746277253970194,28.53470437017995,0.8714098650096238,-0.21922238517308215
5,100000,5.0,0.01,0.001,0.001,0.004,8514,191,389,225,0.0018474107049503395,-0.00046621397371290104,0.6403077489141902,-0.33358685341292893,-0.8746277253970194,28.53470437017995,0.8672913388424925,-0.21909415122293424
5,100000,10.0,0.02,0.001,0.001,0.004,5519,141,389,22,-0.0007792090832268248,-0.0010054301629183417,-0.2974087158390786,-0.35775260658523067,-0.8326823497864856,2.313624678663239,-0.7830720284231232,-0.9970146751804362
10,100000,10.0,0.02,0.001,0.001,0.004,5519,141,389,22,-0.0008225064689987522,-0.001048727548690269,-0.30929069442917767,-0.3686578450196444,-0.8326823497864856,2.056555269922879,-0.8248201395684389,-1.0371287099312585
20,100000,10.0,0.02,0.001,0.001,0.004,5519,141,389,22,-0.0008225064689987522,-0.001048727548690269,-0.30929069442917767,-0.3686578450196444,-0.8326823497864856,2.056555269922879,-0.8248201395684389,-1.0371287099312585
10,100000,5.0,0.02,0.001,0.001,0.004,8514,191,389,33,-0.0010548801548386083,-0.0013942117743758837,-0.38714619729991295,-0.46430387525913086,-0.8746277253970194,3.3419023136246784,-0.8382000260197005,-1.0955629821682635
5,100000,5.0,0.02,0.001,0.001,0.004,8514,191,389,33,-0.0010579782615657365,-0.001397309881103012,-0.38754033964549595,-0.4646486590312525,-0.8746277253970194,3.5989717223650386,-0.8439905946520968,-1.1022180231582213
20,100000,5.0,0.02,0.001,0.001,0.004,8514,191,389,33,-0.0010792926829493444,-0.0014186243024866198,-0.39297396911873206,-0.4694184221449246,-0.8746277253970194,3.3419023136246784,-0.8573339864162338,-1.1141660937159086
20,50000,10.0,0.02,0.001,0.001,0.004,9068,164,389,37,-0.001106185067621545,-0.0014866477925572783,-0.4025166717763774,-0.48611018298831765,-0.7809691665221874,3.5989717223650386,-0.8523109745188382,-1.1329681043863404
10,50000,10.0,0.02,0.001,0.001,0.004,9068,164,389,37,-0.0011332998002693037,-0.0015137625252050369,-0.40809416313765934,-0.49092425357690805,-0.7809691665221874,3.5989717223650386,-0.879942131157916,-1.1620730854632693
5,50000,5.0,0.0,0.001,0.001,0.004,14011,225,389,389,0.002553903714005752,-0.0014460962859942493,1.3530778000150785,-0.5036703299729712,-0.8176160724996954,52.69922879177378,1.5274204663282258,-0.8648709234399419
