Top_K,Min_Volume,Min_Close,Min_Buy_Probability,Min_Buy_Sell_Margin,Transaction_Cost_Rate,Slippage_Rate,Round_Trip_Cost_Rate,Eligible_Rows,Eligible_Symbols,Backtest_Days,Trade_Days,Average_Daily_Return,Average_Daily_Return_Net,Cumulative_Return,Cumulative_Return_Net,Benchmark_Cumulative_Return,Hit_Rate,Sharpe_Ratio,Sharpe_Ratio_Net
5,50000,10.0,0.45,0.0,0.001,0.001,0.004,9068,164,389,144,0.00594378353369545,0.004463063739350975,6.953033031409759,3.498699498809332,-0.7809691665221874,22.62210796915167,2.687719255121977,2.0400249405092374
10,50000,10.0,0.45,0.0,0.001,0.001,0.004,9068,164,389,144,0.005859095753381463,0.004378375959036989,6.720383184817966,3.3666324704859543,-0.7809691665221874,22.62210796915167,2.667699400747633,2.0150611942989713
20,50000,10.0,0.45,0.0,0.001,0.001,0.004,9068,164,389,144,0.005798610556601712,0.004317890762257237,6.549627154326198,3.2696877482977706,-0.7809691665221874,22.62210796915167,2.6466310147589303,1.9919440007938005
5,50000,5.0,0.45,0.0,0.001,0.001,0.004,14011,225,389,251,0.005308253588638408,0.0027272767248851925,4.383936216705866,0.9790935297915968,-0.8176160724996954,31.876606683804624,1.9011322173327099,0.9796188191394242
20,50000,5.0,0.45,0.0,0.001,0.001,0.004,14011,225,389,251,0.005203311385640715,0.0026223345218875007,4.196543191773289,0.9099751409266199,-0.8176160724996954,32.13367609254499,1.8777828682618316,0.9490884497239738
10,50000,5.0,0.45,0.0,0.001,0.001,0.004,14011,225,389,251,0.005199924854457073,0.0026189479907038587,4.185081864865204,0.9057398968928947,-0.8176160724996954,32.13367609254499,1.8739218822899864,0.9465198199657167
5,100000,5.0,0.55,0.0,0.001,0.001,0.004,8514,191,389,19,0.0019654122711187626,0.0017700395204760886,0.9983599356742863,0.8564700288241303,-0.8746277253970194,3.8560411311053984,1.5842144876916266,1.4536861122955862
10,100000,5.0,0.55,0.0,0.001,0.001,0.004,8514,191,389,19,0.0019065380253168844,0.0017111652746742108,0.9552900985878408,0.8163069615461602,-0.8746277253970194,3.5989717223650386,1.5486273642633321,1.4157420593857832
20,100000,5.0,0.55,0.0,0.001,0.001,0.004,8514,191,389,19,0.0018543608539732432,0.0016589881033305695,0.9155503944290178,0.7792435252608205,-0.8746277253970194,3.5989717223650386,1.503494425964108,1.369235295212169
10,50000,5.0,0.55,0.0,0.001,0.001,0.004,14011,225,389,42,0.002198229705237147,0.0017663530985533415,1.0893472876660706,0.7700449972292422,-0.8176160724996954,6.683804627249357,1.402546427483266,1.1401306599415175
20,50000,5.0,0.55,0.0,0.001,0.001,0.004,14011,225,389,42,0.002192238013898002,0.001760361407214197,1.083964401919228,0.7654648086957856,-0.8176160724996954,6.683804627249357,1.3971371712030984,1.1349042218303718
5,50000,5.0,0.55,0.0,0.001,0.001,0.004,14011,225,389,42,0.0021944693585102698,0.001762592751826465,1.0825748461889728,0.7642727345260487,-0.8176160724996954,6.426735218508997,1.389081032289889,1.1284785554620436
5,50000,5.0,0.6,0.0,0.001,0.001,0.004,14011,225,389,17,0.0017289432921367392,0.0015541360941932945,0.8646992908791826,0.7459128425070067,-0.8176160724996954,3.0848329048843186,1.6771945906660835,1.5443624618981455
10,50000,5.0,0.6,0.0,0.001,0.001,0.004,14011,225,389,17,0.0017059091920200603,0.0015311019940766157,0.8525864915304902,0.7345421892012736,-0.8176160724996954,3.3419023136246784,1.697995825515285,1.5626091340438801
20,50000,5.0,0.6,0.0,0.001,0.001,0.004,14011,225,389,17,0.001687052406518874,0.0015122452085754288,0.8390878886995707,0.721853282029925,-0.8176160724996954,3.0848329048843186,1.6793952580005092,1.5430661074951246
5,100000,10.0,0.45,0.0,0.001,0.001,0.004,5519,141,389,75,0.0023919684561507382,0.001620760229929658,1.2112551076318168,0.6414957674173372,-0.8326823497864856,10.796915167095115,1.4130469948161153,0.9661880990133003
20,100000,10.0,0.45,0.0,0.001,0.001,0.004,5519,141,389,75,0.0023892157315996885,0.0016180075053786082,1.2107448701008914,0.641120079243612,-0.8326823497864856,10.796915167095115,1.4165060027218828,0.9680740056781163
10,100000,10.0,0.45,0.0,0.001,0.001,0.004,5519,141,389,75,0.0023803308653791216,0.0016091226391580413,1.2044108160999936,0.6364029544035863,-0.8326823497864856,10.796915167095115,1.4142905824368517,0.9648392137339824
5,100000,5.0,0.6,0.0,0.001,0.001,0.004,8514,191,389,10,0.0014182926233778815,0.0013154648598817373,0.6598377611741757,0.5976025461564274,-0.8746277253970194,2.056555269922879,1.437171509889645,1.3629646602947172
10,100000,5.0,0.6,0.0,0.001,0.001,0.004,8514,191,389,10,0.001349296062963035,0.0012464682994668909,0.6178260003165146,0.557012742324775,-0.8746277253970194,1.7994858611825193,1.3855853576268171,1.3080503727927024
20,100000,5.0,0.6,0.0,0.001,0.001,0.004,8514,191,389,10,0.001349296062963035,0.0012464682994668909,0.6178260003165146,0.557012742324775,-0.8746277253970194,1.7994858611825193,1.3855853576268171,1.3080503727927024
5,50000,10.0,0.6,0.0,0.001,0.001,0.004,9068,164,389,13,0.001031886900699313,0.0008982108081543257,0.4393379889683453,0.36806802084705126,-0.7809691665221874,2.056555269922879,1.1512680698302074,1.0211735228064898
