feature,importance
return_3d,0.08841357
volatility_20d,0.08767134
volatility_5d,0.08005149
close_position,0.072581455
rolling_max_20d,0.06174795
low,0.058731586
daily_range,0.05765409
return_1d,0.048610978
price_vs_ma20,0.044981852
return_5d,0.043951508
volume,0.040765323
volume_ma_5,0.0317321
close,0.029338542
volume_ma_20,0.02593339
drawdown_20d,0.025308572
return_10d,0.021059394
ma5_vs_ma20,0.019048458
high,0.019027317
ma_5,0.018444091
return_20d,0.017831586
volume_change_1d,0.015928295
encode_sector,0.01591412
ma_50,0.015103438
open,0.014577755
ma_20,0.014282027
volume_ratio_5_20,0.011375208
volatility_change,0.011283582
body_ratio,0.008651099
