Top_K,Min_Volume,Min_Close,Min_Buy_Probability,Min_Buy_Sell_Margin,Transaction_Cost_Rate,Slippage_Rate,Round_Trip_Cost_Rate,Eligible_Rows,Eligible_Symbols,Backtest_Days,Trade_Days,Average_Daily_Return,Average_Daily_Return_Net,Cumulative_Return,Cumulative_Return_Net,Benchmark_Cumulative_Return,Hit_Rate,Sharpe_Ratio,Sharpe_Ratio_Net
5,200000,10.0,0.45,0.0,0.001,0.001,0.004,11463,140,202,47,0.001518849203827296,0.0005881561345203647,0.23751322382771023,0.025530674156662547,-0.45773196356690604,11.881188118811881,0.7831971450361999,0.3043289812392913
10,200000,10.0,0.45,0.0,0.001,0.001,0.004,11463,140,202,47,0.001518849203827296,0.0005881561345203647,0.23751322382771023,0.025530674156662547,-0.45773196356690604,11.881188118811881,0.7831971450361999,0.3043289812392913
20,200000,10.0,0.45,0.0,0.001,0.001,0.004,11463,140,202,47,0.001518849203827296,0.0005881561345203647,0.23751322382771023,0.025530674156662547,-0.45773196356690604,11.881188118811881,0.7831971450361999,0.3043289812392913
5,50000,5.0,0.6,0.0,0.001,0.001,0.004,19664,248,202,0,0.0,0.0,0.0,0.0,-0.5476546385715119,0.0,0.0,0.0
5,50000,5.0,0.65,0.0,0.001,0.001,0.004,19664,248,202,0,0.0,0.0,0.0,0.0,-0.5476546385715119,0.0,0.0,0.0
5,50000,10.0,0.55,0.0,0.001,0.001,0.004,15964,201,202,0,0.0,0.0,0.0,0.0,-0.43775603814134767,0.0,0.0,0.0
5,50000,10.0,0.6,0.0,0.001,0.001,0.004,15964,201,202,0,0.0,0.0,0.0,0.0,-0.43775603814134767,0.0,0.0,0.0
5,50000,10.0,0.65,0.0,0.001,0.001,0.004,15964,201,202,0,0.0,0.0,0.0,0.0,-0.43775603814134767,0.0,0.0,0.0
5,100000,5.0,0.6,0.0,0.001,0.001,0.004,16205,212,202,0,0.0,0.0,0.0,0.0,-0.5584239644224305,0.0,0.0,0.0
5,100000,5.0,0.65,0.0,0.001,0.001,0.004,16205,212,202,0,0.0,0.0,0.0,0.0,-0.5584239644224305,0.0,0.0,0.0
5,100000,10.0,0.55,0.0,0.001,0.001,0.004,13521,172,202,0,0.0,0.0,0.0,0.0,-0.4312729726883556,0.0,0.0,0.0
