feature,importance
close,0.37129235
high,0.2264209
low,0.124692515
open,0.085166186
ma_5,0.068489075
volume_ma_20,0.019385427
volume_ma_5,0.016962621
ma_50,0.015966106
ma_20,0.0109523805
return_20d,0.01087757
encode_sector,0.0101021845
daily_range,0.008151969
rolling_max_20d,0.007914409
volatility_20d,0.0077653555
return_10d,0.003331455
volume,0.0026706231
drawdown_20d,0.0019239453
volatility_5d,0.001616983
price_vs_ma20,0.0012913945
ma5_vs_ma20,0.0012833505
return_3d,0.0009869763
return_5d,0.00082650076
volume_ratio_5_20,0.0005763701
volatility_change,0.00056920963
return_1d,0.00042763527
close_position,0.00014364118
body_ratio,0.00013742154
volume_change_1d,7.545853e-05
