model_name,trading_date,selected_symbols,selected_count,daily_return,benchmark_return,avg_buy_probability,daily_cost_rate,daily_return_net,cumulative_return,cumulative_return_net,benchmark_cumulative_return,created_at
model3,2024-10-23,,0,0.0,-0.005629355563389474,0.0,0.0,0.0,0.0,0.0,-0.005629355563389504,2026-06-08 20:08:44
model3,2024-10-24,,0,0.0,0.007450218309215899,0.0,0.0,0.0,0.0,0.0,0.0017789228179390104,2026-06-08 20:08:44
model3,2024-10-25,CTP,1,0.04857142857142871,0.0001638614216401273,0.35372403264045715,0.004,0.044571428571428706,0.04857142857142871,0.044571428571428706,0.0019430757364011786,2026-06-08 20:08:44
model3,2024-10-28,,0,0.0,-0.009061184650014825,0.0,0.0,0.0,0.04857142857142871,0.044571428571428706,-0.007135715481650151,2026-06-08 20:08:44
model3,2024-10-29,,0,0.0,-0.01296780871473752,0.0,0.0,0.0,0.04857142857142871,0.044571428571428706,-0.020010989602978868,2026-06-08 20:08:44
model3,2024-10-30,,0,0.0,0.00046733339688973284,0.0,0.0,0.0,0.04857142857142871,0.044571428571428706,-0.019553008009835504,2026-06-08 20:08:44
model3,2024-10-31,,0,0.0,0.0039617063155109435,0.0,0.0,0.0,0.04857142857142871,0.044571428571428706,-0.015668764969644422,2026-06-08 20:08:44
model3,2024-11-01,,0,0.0,0.005544948268857918,0.0,0.0,0.0,0.04857142857142871,0.044571428571428706,-0.010210699191980144,2026-06-08 20:08:44
model3,2024-11-04,,0,0.0,0.018937280398114355,0.0,0.0,0.0,0.04857142857142871,0.044571428571428706,0.00853321833247489,2026-06-08 20:08:44
model3,2024-11-05,,0,0.0,0.01937780383084795,0.0,0.0,0.0,0.04857142857142871,0.044571428571428706,0.028076377194215185,2026-06-08 20:08:44
model3,2024-11-06,,0,0.0,0.005689622618273179,0.0,0.0,0.0,0.04857142857142871,0.044571428571428706,0.03392574380321167,2026-06-08 20:08:44
model3,2024-11-07,,0,0.0,-0.006009959961224494,0.0,0.0,0.0,0.04857142857142871,0.044571428571428706,0.027711891480075135,2026-06-08 20:08:44
model3,2024-11-08,,0,0.0,-0.023725865231479435,0.0,0.0,0.0,0.04857142857142871,0.044571428571428706,0.0033285376460301386,2026-06-08 20:08:44
model3,2024-11-11,"VOS,TRC",2,-0.032865978342034474,-0.027251917661777418,0.38322940468788147,0.004,-0.03686597834203448,0.014109102709924048,0.006062280909006512,-0.024014089049610998,2026-06-08 20:08:44
model3,2024-11-12,"HAG,VOS",2,-0.030023745562697823,-0.037170310560027946,0.3736801743507385,0.004,-0.03402374556269783,-0.01633825096265451,-0.02816772615686891,-0.060291788461848794,2026-06-08 20:08:44
model3,2024-11-13,VOS,1,-0.10102301790281332,-0.030221168075262293,0.36789578199386597,0.004,-0.10502301790281332,-0.11571072944596694,-0.13023248445122781,-0.08869086826444739,2026-06-08 20:08:44
model3,2024-11-14,,0,0.0,-0.007157973111673767,0.0,0.0,0.0,-0.11571072944596694,-0.13023248445122781,-0.09521399452583323,2026-06-08 20:08:44
model3,2024-11-15,"VOS,ITD",2,-0.0385931309761402,0.0031574167388333575,0.3597867488861084,0.004,-0.0425931309761402,-0.14983822108525424,-0.16727860615978873,-0.09235720804708702,2026-06-08 20:08:44
