model_name,metric_group,metric_name,metric_value,created_at
model3,classification,Accuracy,56.3360985736739,2026-06-08 20:08:44
model3,classification,Macro_Precision,0.5078505506138996,2026-06-08 20:08:44
model3,classification,Macro_Recall,0.46157137232513423,2026-06-08 20:08:44
model3,classification,Macro_F1,0.46041155096399505,2026-06-08 20:08:44
model3,classification,Adjusted_Accuracy,52.70598519041495,2026-06-08 20:08:44
model3,classification,Adjusted_Macro_Precision,0.617302331567383,2026-06-08 20:08:44
model3,classification,Adjusted_Macro_Recall,0.35159041559475,2026-06-08 20:08:44
model3,classification,Adjusted_Macro_F1,0.26830024953270143,2026-06-08 20:08:44
model3,classification,Adjusted_BUY_Precision,67.67810026385224,2026-06-08 20:08:44
model3,classification,Adjusted_SELL_Precision,65.12086827824372,2026-06-08 20:08:44
model3,classification,Signal_Min_Action_Probability,0.6,2026-06-08 20:08:44
model3,classification,Signal_Min_Action_Margin,0.0,2026-06-08 20:08:44
model3,classification,Baseline_Accuracy,51.588962572598064,2026-06-08 20:08:44
model3,classification,Baseline_Label,HOLD,2026-06-08 20:08:44
model3,backtest,Top_K,5,2026-06-08 20:08:44
model3,backtest,Min_Volume,100000,2026-06-08 20:08:44
model3,backtest,Min_Close,10.0,2026-06-08 20:08:44
model3,backtest,Min_Buy_Probability,0.35,2026-06-08 20:08:44
model3,backtest,Min_Buy_Sell_Margin,0.0,2026-06-08 20:08:44
model3,backtest,Transaction_Cost_Rate,0.001,2026-06-08 20:08:44
model3,backtest,Slippage_Rate,0.001,2026-06-08 20:08:44
model3,backtest,Round_Trip_Cost_Rate,0.004,2026-06-08 20:08:44
model3,backtest,Eligible_Rows,26517,2026-06-08 20:08:44
model3,backtest,Eligible_Symbols,198,2026-06-08 20:08:44
model3,backtest,Backtest_Days,393,2026-06-08 20:08:44
model3,backtest,Trade_Days,360,2026-06-08 20:08:44
model3,backtest,Average_Daily_Return,0.006897582975275581,2026-06-08 20:08:44
model3,backtest,Average_Daily_Return_Net,0.0032334608378709988,2026-06-08 20:08:44
model3,backtest,Cumulative_Return,8.498185859579147,2026-06-08 20:08:44
model3,backtest,Cumulative_Return_Net,1.2601190056904827,2026-06-08 20:08:44
model3,backtest,Benchmark_Cumulative_Return,0.20222287053967625,2026-06-08 20:08:44
model3,backtest,Hit_Rate,50.38167938931297,2026-06-08 20:08:44
model3,backtest,Sharpe_Ratio,2.2678276143767047,2026-06-08 20:08:44
model3,backtest,Sharpe_Ratio_Net,1.0638948838504,2026-06-08 20:08:44
