model_name,trading_date,encode_sector,sector,buy_count,hold_count,sell_count,total_symbols,created_at
model3,2024-10-23,0,0,0,31,1,32,2026-06-08 20:08:44
model3,2024-10-23,1,1,0,30,0,30,2026-06-08 20:08:44
model3,2024-10-23,2,2,0,12,0,12,2026-06-08 20:08:44
model3,2024-10-23,3,3,0,61,2,63,2026-06-08 20:08:44
model3,2024-10-23,4,4,0,19,0,19,2026-06-08 20:08:44
model3,2024-10-23,5,5,0,5,0,5,2026-06-08 20:08:44
model3,2024-10-23,6,6,0,6,1,7,2026-06-08 20:08:44
model3,2024-10-23,7,7,0,8,0,8,2026-06-08 20:08:44
model3,2024-10-23,8,8,0,27,0,27,2026-06-08 20:08:44
model3,2024-10-23,9,9,0,15,0,15,2026-06-08 20:08:44
model3,2024-10-23,10,10,0,10,1,11,2026-06-08 20:08:44
model3,2024-10-23,11,11,1,18,0,19,2026-06-08 20:08:44
model3,2024-10-23,12,12,0,8,0,8,2026-06-08 20:08:44
model3,2024-10-23,13,13,0,23,1,24,2026-06-08 20:08:44
model3,2024-10-23,14,14,0,5,0,5,2026-06-08 20:08:44
model3,2024-10-23,15,15,0,4,0,4,2026-06-08 20:08:44
model3,2024-10-23,16,16,0,5,0,5,2026-06-08 20:08:44
model3,2024-10-23,17,17,0,2,0,2,2026-06-08 20:08:44
model3,2024-10-23,18,18,0,1,0,1,2026-06-08 20:08:44
model3,2024-10-24,0,0,0,26,2,28,2026-06-08 20:08:44
model3,2024-10-24,1,1,0,27,0,27,2026-06-08 20:08:44
model3,2024-10-24,2,2,0,12,0,12,2026-06-08 20:08:44
model3,2024-10-24,3,3,0,64,1,65,2026-06-08 20:08:44
model3,2024-10-24,4,4,0,18,0,18,2026-06-08 20:08:44
model3,2024-10-24,5,5,0,3,0,3,2026-06-08 20:08:44
model3,2024-10-24,6,6,0,6,0,6,2026-06-08 20:08:44
model3,2024-10-24,7,7,0,5,0,5,2026-06-08 20:08:44
model3,2024-10-24,8,8,1,22,0,23,2026-06-08 20:08:44
model3,2024-10-24,9,9,0,13,0,13,2026-06-08 20:08:44
model3,2024-10-24,10,10,0,11,0,11,2026-06-08 20:08:44
model3,2024-10-24,11,11,0,19,0,19,2026-06-08 20:08:44
model3,2024-10-24,12,12,0,8,0,8,2026-06-08 20:08:44
model3,2024-10-24,13,13,0,23,1,24,2026-06-08 20:08:44
model3,2024-10-24,14,14,0,5,0,5,2026-06-08 20:08:44
model3,2024-10-24,15,15,0,3,0,3,2026-06-08 20:08:44
model3,2024-10-24,16,16,0,6,0,6,2026-06-08 20:08:44
model3,2024-10-24,17,17,0,2,0,2,2026-06-08 20:08:44
model3,2024-10-24,18,18,0,1,0,1,2026-06-08 20:08:44
model3,2024-10-25,0,0,1,34,0,35,2026-06-08 20:08:44
model3,2024-10-25,1,1,0,33,0,33,2026-06-08 20:08:44
model3,2024-10-25,2,2,0,12,0,12,2026-06-08 20:08:44
model3,2024-10-25,3,3,0,67,1,68,2026-06-08 20:08:44
model3,2024-10-25,4,4,0,16,0,16,2026-06-08 20:08:44
model3,2024-10-25,5,5,0,2,0,2,2026-06-08 20:08:44
model3,2024-10-25,6,6,0,9,0,9,2026-06-08 20:08:44
model3,2024-10-25,7,7,0,9,2,11,2026-06-08 20:08:44
model3,2024-10-25,8,8,0,28,2,30,2026-06-08 20:08:44
model3,2024-10-25,9,9,0,12,1,13,2026-06-08 20:08:44
model3,2024-10-25,10,10,0,11,1,12,2026-06-08 20:08:44
model3,2024-10-25,11,11,0,16,0,16,2026-06-08 20:08:44
model3,2024-10-25,12,12,0,8,1,9,2026-06-08 20:08:44
model3,2024-10-25,13,13,0,24,0,24,2026-06-08 20:08:44
model3,2024-10-25,14,14,0,4,0,4,2026-06-08 20:08:44
model3,2024-10-25,15,15,0,4,0,4,2026-06-08 20:08:44
model3,2024-10-25,16,16,0,7,0,7,2026-06-08 20:08:44
model3,2024-10-25,17,17,0,1,0,1,2026-06-08 20:08:44
model3,2024-10-25,18,18,0,1,0,1,2026-06-08 20:08:44
model3,2024-10-28,0,0,1,26,0,27,2026-06-08 20:08:44
model3,2024-10-28,1,1,0,27,0,27,2026-06-08 20:08:44
model3,2024-10-28,2,2,0,12,0,12,2026-06-08 20:08:44
model3,2024-10-28,3,3,0,60,2,62,2026-06-08 20:08:44
model3,2024-10-28,4,4,0,17,0,17,2026-06-08 20:08:44
