model_name,trading_date,symbol,predicted_signal,adjusted_signal,sell_probability,hold_probability,buy_probability,encode_sector,sector,close,volume,target_signal,target_return,predicted_signal_score,signal_confidence,buy_sell_margin,created_at
model3,2024-10-23,ABR,HOLD,HOLD,0.2546353,0.4714361,0.27392858,0,0,12.28,13300.0,HOLD,-0.009771986970683932,0.019293278,0.4714361,0.019293278,2026-06-08 20:08:43
model3,2024-10-24,ABR,HOLD,HOLD,0.20651445,0.48806617,0.30541933,0,0,12.4,31500.0,SELL,-0.08870967741935476,0.09890488,0.48806617,0.09890488,2026-06-08 20:08:43
model3,2024-10-25,ABR,HOLD,HOLD,0.27438417,0.5087031,0.21691276,0,0,12.47,1600.0,SELL,-0.15717722534081802,-0.05747141,0.5087031,-0.05747141,2026-06-08 20:08:43
model3,2024-10-28,ABR,HOLD,HOLD,0.22303553,0.55803055,0.21893391,0,0,12.32,13100.0,SELL,-0.17207792207792216,-0.004101619,0.55803055,-0.004101619,2026-06-08 20:08:43
model3,2024-10-29,ABR,HOLD,HOLD,0.15968274,0.5765244,0.2637929,0,0,12.16,14600.0,SELL,-0.12911184210526316,0.10411017,0.5765244,0.10411017,2026-06-08 20:08:43
model3,2024-10-30,ABR,HOLD,HOLD,0.19392033,0.5974755,0.20860414,0,0,12.16,1500.0,SELL,-0.1546052631578948,0.014683813,0.5974755,0.014683813,2026-06-08 20:08:43
model3,2024-11-04,ABR,BUY,HOLD,0.31824204,0.32982266,0.3519353,0,0,11.3,7400.0,SELL,-0.08318584070796475,0.033693254,0.3519353,0.033693254,2026-06-08 20:08:43
model3,2024-11-05,ABR,BUY,HOLD,0.1738534,0.23737322,0.5887734,0,0,10.51,1200.0,HOLD,-0.014272121788772685,0.41492003,0.5887734,0.41492003,2026-06-08 20:08:43
model3,2024-11-06,ABR,BUY,HOLD,0.24937181,0.29050025,0.4601279,0,0,10.2,1400.0,HOLD,0.015686274509803866,0.21075608,0.4601279,0.21075608,2026-06-08 20:08:43
model3,2024-11-08,ABR,BUY,HOLD,0.2865369,0.31090724,0.4025559,0,0,10.59,200.0,SELL,-0.08498583569405105,0.11601901,0.4025559,0.11601901,2026-06-08 20:08:43
model3,2024-11-13,ABR,HOLD,HOLD,0.25983146,0.38747707,0.35269147,0,0,10.28,1600.0,HOLD,0.0,0.09286001,0.38747707,0.09286001,2026-06-08 20:08:43
model3,2024-11-15,ABR,BUY,HOLD,0.2892789,0.334568,0.3761531,0,0,10.36,100.0,HOLD,-0.007722007722007707,0.08687422,0.3761531,0.08687422,2026-06-08 20:08:43
model3,2024-11-18,ABR,HOLD,HOLD,0.25310525,0.3969062,0.34998855,0,0,10.36,500.0,HOLD,-0.007722007722007707,0.0968833,0.3969062,0.0968833,2026-06-08 20:08:43
model3,2024-11-19,ABR,HOLD,HOLD,0.30559176,0.38048,0.31392828,0,0,10.36,100.0,HOLD,0.022200772200772212,0.008336514,0.38048,0.008336514,2026-06-08 20:08:43
model3,2024-11-20,ABR,BUY,HOLD,0.18380322,0.2208792,0.59531754,0,0,9.69,1100.0,BUY,0.09287925696594423,0.41151434,0.59531754,0.41151434,2026-06-08 20:08:43
model3,2024-11-21,ABR,HOLD,HOLD,0.33541703,0.33812436,0.3264586,0,0,10.28,700.0,HOLD,0.0077821011673151474,-0.008958429,0.33812436,-0.008958429,2026-06-08 20:08:43
model3,2024-11-25,ABR,HOLD,HOLD,0.2965345,0.36817324,0.33529225,0,0,10.28,300.0,HOLD,0.0077821011673151474,0.03875774,0.36817324,0.03875774,2026-06-08 20:08:43
model3,2024-11-26,ABR,HOLD,HOLD,0.34183788,0.35359243,0.3045697,0,0,10.28,600.0,HOLD,0.014591439688715901,-0.03726819,0.35359243,-0.03726819,2026-06-08 20:08:43
model3,2024-11-28,ABR,SELL,HOLD,0.43584603,0.33087364,0.2332803,0,0,10.59,100.0,HOLD,-0.01510859301227574,-0.20256573,0.43584603,-0.20256573,2026-06-08 20:08:43
model3,2024-11-29,ABR,SELL,HOLD,0.37881202,0.3409402,0.28024775,0,0,10.59,100.0,BUY,0.05193578847969782,-0.09856427,0.37881202,-0.09856427,2026-06-08 20:08:43
model3,2024-12-03,ABR,HOLD,HOLD,0.25424215,0.4504281,0.29532978,0,0,10.36,500.0,BUY,0.14382239382239392,0.041087627,0.4504281,0.041087627,2026-06-08 20:08:43
model3,2024-12-05,ABR,HOLD,HOLD,0.21606395,0.4523558,0.33158028,0,0,10.43,200.0,BUY,0.13998082454458305,0.115516335,0.4523558,0.115516335,2026-06-08 20:08:43
model3,2024-12-06,ABR,HOLD,HOLD,0.19593106,0.47683027,0.32723865,0,0,10.43,200.0,BUY,0.06040268456375841,0.13130759,0.47683027,0.13130759,2026-06-08 20:08:43
model3,2024-12-09,ABR,SELL,HOLD,0.53931326,0.24451904,0.21616766,0,0,11.14,6800.0,HOLD,-0.024236983842010895,-0.3231456,0.53931326,-0.3231456,2026-06-08 20:08:43
model3,2024-12-10,ABR,SELL,HOLD,0.4642472,0.25293627,0.28281656,0,0,11.85,4100.0,SELL,-0.05316455696202527,-0.18143064,0.4642472,-0.18143064,2026-06-08 20:08:43
model3,2024-12-11,ABR,SELL,HOLD,0.59916556,0.17721675,0.22361764,0,0,12.63,8400.0,SELL,-0.16785431512272375,-0.37554792,0.59916556,-0.37554792,2026-06-08 20:08:43
